,μ04779,μυσαχνός,a,aps---mn1-,μυσαχνός μυσαχνή μυσαχνόν,,,,,0
68594,ο00141,ὀδμήεις,a,aps---mn4i,ὀδμήεις ὀδμήεσσα ὀδμήεν,,,,,0
68595,ο00142,ὁδό,n,----------,,,,,,0
68596,ο00143,ὁδοιδοκέω,v,----------,,,,,,0
68597,ο00144,ὁδοιδόκος,n,n-s---mn2-,ὁδοιδόκου,,,,,0
68598,ο00145,ὁδοιπλανέω,v,----------,,,,,,0
68600,ο00147,ὁδοιπλανία,n,n-s---fn1l,ὁδοιπλανίας,,,,,0
68601,ο00148,ὁδοιπορέω,v,----------,,,,,,0
68602,ο00149,ὁδοιπορία,n,n-s---fn1l,ὁδοιπορίας,,,,,0
68603,ο00150,ὁδοιπορικός,a,aps---mn1-,ὁδοιπορικός ὁδοιπορική ὁδοιπορικόν,,,,,0
68604,ο00151,ὁδοιπορινός,a,aps---mn1-,ὁδοιπορινός ὁδοιπορινή ὁδοιπορινόν,,,,,0
68605,ο00152,ὁδοιπόριον,n,n-s---nn2-,ὁδοιπορίου,,,,,0
68606,ο00153,ὁδοίπορος,n,n-s---mn2-,ὁδοιπόρου,,,,,0
68607,ο00154,ὁδόμετρον,n,n-s---nn2-,ὁδομέτρου,,,,,0
68608,ο00155,ὀδοντάγρα,n,n-s---fn1l,ὀδοντάγρας,,,,,0
68609,ο00156,ὀδονταγωγόν,n,----------,,,,,,0
68611,ο00158,ὀδονταλγία,n,n-s---fn1l,ὀδονταλγίας,,,,,0
68612,ο00159,ὀδοντάριον,n,n-s---nn2-,ὀδονταρίου,,,,,0
68613,ο00188,ὀδοντᾶς,n,n-s---mn2c,ὀδοντᾶ,,,,,0
68614,ο00160,ὀδοντίας,n,n-s---mn1a,ὀδοντίου,,,,,0
68615,ο00161,ὀδοντίασις,n,n-s---fn3v,ὀδοντιασέως,,,,,0
68616,ο00162,ὀδοντιάω,v,----------,,,,,,0
68617,ο00163,ὀδοντίζω,v,----------,,,,,,0
68620,ο00166,ὀδόντισμα,n,n-s---nn3t,ὀδοντίσματος,,,,,0
68621,ο00167,ὀδοντισμός,n,----------,,,,,,0
68622,ο00168,ὀδοντοβολέω,v,----------,,,,,,0
68624,ο00170,ὀδοντόκερας,n,----------,,,,,,0
68625,ο00171,ὀδοντόκυνες,n,----------,,,,,,0
68626,ο00172,ὀδοντομάχης,n,n-s---mn1e,ὀδοντομάχου,,,,,0
68627,ο00173,ὀδοντοξέστης,n,n-s---mn1e,ὀδοντοξέστου,,,,,0
68628,ο00174,ὀδοντοξυστήρ,n,n-s---mn3r,ὀδοντοξυστῆρος,,,,,0
68629,ο00175,ὀδοντόομαι,v,----------,,,,,,0
68630,ο00176,ὀδοντοποιέω,v,----------,,,,,,0
68631,ο00177,ὀδοντοπονία,n,----------,,,,,,0
68632,ο00178,ὀδοντόσμηγμα,n,n-s---nn3t,ὀδοντοσμήγματος,,,,,0
68634,ο00180,ὀδοντοτύραννος,n,n-s---mn2-,ὀδοντοτυράννου,,,,,0
68635,ο00181,ὀδοντοφόρος,a,aps---cn2-,ὀδοντοφόρος ὀδοντοφόρος ὀδοντοφόρον,,,,,0
68636,ο00182,ὀδοντοφυέω,v,----------,,,,,,0
68585,ο00131,ὁδηγός,n,----------,,,,,,0
68639,ο00185,ὀδοντοφυί̈α,n,n-s---fn1l,ὀδοντοφυί̈ας,,,,,0
68641,ο00187,ὀδοντόφυτος,a,aps---cn2-,ὀδοντόφυτος ὀδοντόφυτος ὀδοντόφυτον,,,,,0
68642,ο00189,ὀδοντωτός,a,aps---mn1-,ὀδοντωτός ὀδοντωτή ὀδοντωτόν,,,,,0
68643,ο00190,ὁδοποιέω,v,----------,,,,,,0
68644,ο00191,ὁδοποίησις,n,n-s---fn3v,ὁδοποιησέως,,,,,0
68645,ο00192,ὁδοποιητικός,a,aps---mn1-,ὁδοποιητικός ὁδοποιητική ὁδοποιητικόν,,,,,0
68646,ο00193,ὁδοποιία,n,n-s---fn1l,ὁδοποιίας,,,,,0
68647,ο00194,ὁδοποιός,n,----------,,,,,,0
68648,ο00195,ὀδός,n,----------,,,,,,0
68649,ο00196,ὁδός,n,n-s---fn2-,ὁδοῦ,,,/ho.dós/,,0
68650,ο00197,ὁδοσκοπέω,v,----------,,,,,,0
68651,ο00198,ὁδοστρωσία,n,n-s---fn1l,ὁδοστρωσίας,,,,,0
68652,ο00199,ὁδουρέω,v,----------,,,,,,0
68653,ο00200,ὁδουρός,n,----------,,,,,,0
68654,ο00201,ὀδούς,n,n-s---mn3t,ὀδόντος,,,/o.dǒːs/,,0
68657,ο00204,ὁδοχνοῦς,n,----------,,,,,,0
68658,ο00205,ὁδόω,v,----------,,,,,,0
68659,ο00206,ὀδυναίτερος,a,aps---mn1-,ὀδυναίτερος ὀδυναίτερα ὀδυναίτερον,,,,,0
68660,ο00207,ὀδυνάω,v,----------,,,,,,0
68661,ο00208,ὀδύνη,n,n-s---fn1e,ὀδύνης,,,,,0
68662,ο00209,ὀδύνημα,n,n-s---nn3t,ὀδυνήματος,,,,,0
68664,ο00211,ὀδυνήφατος,a,aps---cn2-,ὀδυνήφατος ὀδυνήφατος ὀδυνήφατον,,,,,0
68665,ο00212,ὀδυνηφόρος,a,aps---cn2-,ὀδυνηφόρος ὀδυνηφόρος ὀδυνηφόρον,,,,,0
68666,ο00213,ὀδυνοσπάς,n,n-s---fn3d,ὀδυνοσπάδος,,,,,0
68667,ο00214,ὀδυνώδης,a,aps---cn3s,ὀδυνώδης ὀδυνώδης ὀδυνώ͂δες,,,,,0
68668,ο00215,ὄδυρμα,n,n-s---nn3t,ὀδύρματος,,,,,0
68669,ο00216,ὀδυρμός,n,----------,,,,,,0
68670,ο00217,ὀδύρομαι,v,----------,,,,,,0
68671,ο00218,ὀδυρτέον,a,----------,,,,,,0
68672,ο00219,ὀδύρτης,n,n-s---mn1e,ὀδύρτου,,,,,0
68674,ο00221,ὀδυρτός,a,aps---cn2-,ὀδυρτός ὀδυρτός ὀδυρτόν,,,,,0
68675,,Ὀδύσσεια,n,n-s---fn1s,Ὀδύσσειας,,,/o.dýs.seː.a/,,0
68676,,Ὀδύσσειος,n,----------,,,,,,0
68678,ο00222,ὀδύσσομαι,v,----------,,,,,,0
68679,ο00223,ὄδωδα,n,----------,,,,,,0
68680,ο00224,ὀδωδή,n,n-s---fn1e,ὀδωδῆς,,,,,0
68681,ο00225,ὀδών,n,n-s---mn3t,,,,/o.dɔ̌ːn/,,0
68682,ο00226,ὁδωτός,a,aps---mn1-,ὁδωτός ὁδωτή ὁδωτόν,,,,,0
68683,ο00227,ὀειδής,a,aps---cn5s,ὀειδής ὀειδής ὀειδές,,,,,0
68684,ο00228,ὄζαινα,n,n-s---fn1s,ὄζαινας,,,,,0
68685,ο00229,ὀζαινικός,a,aps---mn1-,ὀζαινικός ὀζαινική ὀζαινικόν,,,,,0
68686,ο00230,ὀζαινίτης,n,n-s---mn1e,ὀζαινίτου,,,,,0
68687,ο00231,ὀζαίνομαι,v,----------,,,,,,0
68689,ο00233,ὄζη,n,n-s---fn1e,ὄζης,,,,,0
68638,ο00184,ὀδοντοφύησις,n,n-s---fn3v,ὀδοντοφυησέως,,,,,0
68692,ο00235,ὀζομενία,n,n-s---fn1l,ὀζομενίας,,,,,0
68693,ο00236,ὀζόομαι,v,----------,,,,,,0
68694,ο00238,ὄζος,n,----------,,,,,,0
68695,ο00237,ὄζος,n,n-s---mn2-,ὄζου,,,,,0
68697,ο00240,ὀζόχρωτος,a,aps---cn2-,ὀζόχρωτος ὀζόχρωτος ὀζόχρωτον,,,,,0
68698,ο00241,ὄζω,v,----------,,,,/óz.dɔː/,,0
68699,ο00242,ὀζώδης,a,----------,,,,,,0
68700,ο00243,ὀζώδης,a,aps---cn3s,ὀζώδης ὀζώδης ὀζώ͂δες,,,,,0
68701,ο00244,ὀζωτός,a,aps---mn1-,ὀζωτός ὀζωτή ὀζωτόν,,,,,0
68702,ο00245,ὄη,n,----------,,,,,,0
68703,ο00246,ὅθεν,r,rp--------,ὅθεν,,,/hó.tʰen/,,0
68704,ο00247,ὅθι,r,----------,,,,,,0
68705,ο00248,ὄθλεις,n,----------,,,,,,0
68706,ο00249,ὄθμα,n,n-s---nn3t,ὄθματος,,,,,0
68707,ο00250,ὄθμισμα,n,n-s---nn3t,ὀθμίσματος,,,,,0
68709,ο00252,ὀθνιότυμβος,a,aps---cn2-,ὀθνιότυμβος ὀθνιότυμβος ὀθνιότυμβον,,,,,0
68710,ο00253,ὄθομαι,v,----------,,,,,,0
68711,ο00254,ὀθονείδιον,n,n-s---nn2-,ὀθονειδίου,,,,,0
68712,ο00255,ὀθόνη,n,n-s---fn1e,ὀθόνης,,,,,0
68713,ο00256,ὀθονιακός,n,----------,,,,,,0
68715,ο00258,ὀθόνινος,a,aps---mn1-,ὀθόνινος ὀθονίνη ὀθόνινον,,,,,0
68716,ο00259,ὀθόνιον,n,n-s---nn2-,ὀθονίου,,,,,0
68717,ο00260,ὀθονιοπλόκος,n,n-s---mn2-,ὀθονιοπλόκου,,,,,0
68718,ο00261,ὀθονιοποιός,n,----------,,,,,,0
68719,ο00262,ὀθονιοπώλης,n,n-s---mn1e,ὀθονιοπώλου,,,,,0
68720,ο00263,ὀθόννα,n,n-s---fn1l,ὀθόννας,,,,,0
68721,ο00264,ὀθονοποιός,n,----------,,,,,,0
68722,ο00265,ὁθούνεκα,n,----------,,,,,,0
68724,ο00267,ὄθριξ,n,----------,,,,,,0
68726,ο00268,ὁί̈,n,----------,,,,,,0
68727,ο01886,οἴ,n,----------,,,,,,0
68728,ο02026,οι,n,----------,,,,,,0
68729,ο01887,οἷ,r,rp--------,,,,/hói̯/,,0
68730,ο01921,οἰαδόν,r,----------,,,,,,0
68731,ο01923,οἰακηδόν,r,----------,,,,,,0
68732,ο01924,οἰακίζω,v,----------,,,,,,0
68733,ο01925,οἰάκιον,n,n-s---nn2-,οἰακίου,,,,,0
68735,ο01927,οἰακιστής,n,n-s---mn1e,οἰακιστού,,,,,0
68736,ο01928,οἰακονομέω,v,----------,,,,,,0
68737,ο01929,οἰακονόμος,n,n-s---mn2-,οἰακονόμου,,,,,0
68738,ο01930,οἰακοστροφέω,v,----------,,,,,,0
68740,ο01932,οἰάκωσις,n,n-s---fn3v,οἰακωσέως,,,,,0
68741,ο01933,οἴαξ,n,n-s---mn3e,οἴακος,,,/oí̯.aːks/,,0
68742,ο01936,οἰάτης,n,n-s---mn1e,οἰάτου,,,,,0
68743,ο01940,οἰάω,v,----------,,,,,,0
68745,ο01942,οἶβος,n,n-s---mn2-,οἴβου,,,,,0
68746,ο01945,οἴγω,v,----------,,,,/oí̯.ɡɔː/,,0
68747,ο01946,οἶδα,v,----------,,,,/ói̯.da/,,0
68748,ο01947,οἰδαίνω,v,----------,,,,,,0
68691,ο00234,ὄζολις,n,n-s---fn3d,ὀζόλιδος,,,,,0
68751,ο01962,οἶδαξ,n,n-s---mn3e,οἶδακος,,,,,0
68752,ο01964,οἶδας,n,----------,,,,,,0
68753,ο01984,οἰδέω,v,----------,,,,/oi̯.dé.ɔː/,,0
68754,ο01986,οἴδημα,n,n-s---nn3d,,,,,,0
68756,ο01988,οἴδησις,n,n-s---fn3v,οἰδησέως,,,,,0
68757,ο01989,οἰδήτης,n,n-s---mn1e,οἰδήτου,,,,,0
68758,ο01990,οἴδιον,n,n-s---nn2-,οἰδίου,,,,,0
68759,,Οἰδίπους,n,,,,,/oi̯.dí.poːs/,,0
68760,ο01991,οἰδίσκω,v,----------,,,,,,0
68761,ο01992,οἶδμα,n,n-s---nn3t,οἴδματος,,,,,0
68763,ο01994,οἴδομαι,v,----------,,,,,,0
68764,ο01995,οἰδοποιέω,v,----------,,,,,,0
68765,ο01997,οἶδος,n,n-s---nn3v,οἶδεος,,,,,0
68766,ο02002,οἰέανος,a,aps---cn2-,οἰέανος οἰέανος οἰέανον,,,,,0
68767,ο02004,οἴεος,a,aps---mn1-,οἴεος οἴεα οἴεον,,,,,0
68768,ο02005,οἰέτεας,n,----------,,,,,,0
68769,ϝ00011,ϝοιζηάζω,v,----------,,,,,,0
68770,ο00269,ὀί̈ζυος,a,aps---cn2-,ὀί̈ζυος ὀί̈ζυος ὀί̈ζυον,,,,,0
68771,ο00270,ὀϊζυρός,a,aps---mn1-,ὀϊζυρός ὀϊζυρά ὀϊζυρόν,,,,,0
68772,ο00271,ὀϊζύς,n,n-s---fn3v,ὀϊζύος,,,,,0
68773,ο00272,ὀϊζύω,v,----------,,,,,,0
68774,ο02007,οἴζω,v,----------,,,,,,0
68775,ο02008,οἴη,n,----------,,,,,,0
68776,ο02009,οἴη,n,n-s---fn1e,οἴης,,,,,0
68777,ο02010,οἰήϊον,n,n-s---nn2-,οἰηΐου,,,/oi̯.ɛ̌ː.i.on/,,0
68778,ο02011,οἰηκίζω,v,----------,,,,,,0
68779,ο02012,οἴημα,n,n-s---nn3t,οἰήματος,,,,,0
68780,ο02013,οἰηματίας,n,n-s---mn1a,οἰηματίου,,,,,0
68781,ο02014,οἴηξ,n,n-s---mn3e,οἴηκος,,,,,0
68782,ο02015,οἴησις,n,n-s---fn3v,οἰησέως,,,,,0
68784,ο02017,οἰητέον,a,----------,,,,,,0
68786,ο02019,οἰητικός,a,aps---mn1-,οἰητικός οἰητική οἰητικόν,,,,,0
68787,ο02020,οἰητόν,n,----------,,,,,,0
68788,ο02028,οἶις,n,n-s---fn3d,οἴιδος,,,,,0
68789,ο02033,οἶκα,n,----------,,,,,,0
68790,ο02034,οἴκαδε,r,rp--------,οἴκαδε,,,/oí̯.ka.de/,,0
68791,ο02035,οἴκαδις,n,----------,,,,,,0
68792,ο02036,οἰκάριον,n,n-s---nn2-,οἰκαρίου,,,,,0
68793,ϝ00012,ϝοικέα,n,n-s---fn1l,ϝοικέας,,,,,0
68794,ο02037,οἴκει,r,----------,,,,,,0
68796,ο02039,οἰκειακός,a,aps---mn1-,οἰκειακός οἰκειακή οἰκειακόν,,,,,0
68797,ο02040,οἰκειοποιέω,v,----------,,,,,,0
68798,ο02041,οἰκειοπραγία,n,n-s---fn1l,οἰκειοπραγίας,,,,,0
68800,ο02042,οἰκειότης,n,n-s---fn3t,οἰκειότητος,,,,,0
68801,ο02043,οἰκειοτονέομαι,v,----------,,,,,,0
68802,ο02044,οἰκειοτοπέω,v,----------,,,,,,0
68804,ο02046,οἰκειόω,v,----------,,,,,,0
68805,ο02047,οἰκείω,v,----------,,,,,,0
69064,ο02373,οἰνοποιέω,v,----------,,,,,,0
68750,ο01961,οἰδάνω,v,----------,,,,,,0
68809,ο02051,οἰκειωτικός,a,aps---mn1-,οἰκειωτικός οἰκειωτική οἰκειωτικόν,,,,,0
68810,ο02053,οἰκέσιον,n,----------,,,,,,0
68811,ο02054,οἰκετεία,n,n-s---fn1l,οἰκετείας,,,,,0
68812,ο02055,οἰκετεύω,v,----------,,,,,,0
68813,ο02056,οἰκέτης,n,n-s---mn1e,οἰκέτου,,,/oi̯.ké.tɛːs/,,0
68814,ο02058,οἰκετία,n,n-s---fn1l,οἰκετίας,,,,,0
68816,ο02060,οἴκετις,n,n-s---fn3d,οἰκέτιδος,,,,,0
68817,ο02061,οἰκεύς,n,n-s---mn3u,οἰκέως,,n-s---mg3u=οἰκῆος,,,0
68818,ο02062,οἰκέω,v,----------,,,,/oi̯.ké.ɔː/,,0
68819,ο02063,οἰκήϊος,n,----------,,,,,,0
68820,ο02064,οἴκημα,n,n-s---nn3t,οἰκήματος,,,/oí̯.kɛː.ma/,,0
68821,ο02065,οἰκηματικός,a,aps---mn1-,οἰκηματικός οἰκηματική οἰκηματικόν,,,,,0
68822,ο02066,οἰκημάτιον,n,n-s---nn2-,οἰκηματίου,,,,,0
68824,ο02068,οἴκησις,n,n-s---fn3v,οἰκησέως,,,/oí̯.kɛː.sis/,,0
68825,ο02069,οἰκητήρ,n,n-s---mn3r,οἰκητῆρος,,,,,0
68826,ο02070,οἰκητήριον,n,n-s---nn2-,οἰκητηρίου,,,,,0
68827,ο02071,οἰκητήριος,a,aps---mn1-,οἰκητήριος οἰκητήρια οἰκητήριον,,,,,0
68828,ο02072,οἰκητής,n,n-s---mn1e,οἰκητού,,,,,0
68829,ο02073,οἰκητικός,a,aps---mn1-,οἰκητικός οἰκητική οἰκητικόν,,,/oi̯.kɛː.ti.kós/,,0
68830,ο02074,οἰκητός,a,----------,,,,,,0
68831,ο02075,οἰκήτωρ,n,n-s---mn3r,οἰκήτορος,,,,,0
68832,ο02077,οἰκία,n,n-s---fn1l,οἰκίας,,,/oi̯.kí.aː/,,0
68833,ο02078,οἰκιακός,a,aps---mn1-,οἰκιακός οἰκιακή οἰκιακόν,,,,,0
68834,ϝ00013,ϝοικιάτας,n,----------,,,,,,0
68836,ο02080,οἰκίδιος,a,aps---mn1-,οἰκίδιος οἰκίδια οἰκίδιον,,,,,0
68837,ο02081,οἰκίζω,v,----------,,,,,,0
68838,ο02082,οἰκιήτης,n,----------,,,,,,0
68839,ο02083,οἰκίον,n,n-s---nn2-,οἰκίου,,,,,0
68840,ο02084,οἰκισία,n,n-s---fn1l,οἰκισίας,,,,,0
68841,ο02085,οἴκισις,n,n-s---fn3v,οἰκισέως,,,,,0
68842,ο02086,οἰκίσκη,n,n-s---fn1e,οἰκίσκης,,,,,0
68843,ο02087,οἰκίσκος,n,n-s---mn2-,οἰκίσκου,,,,,0
68844,ο02088,οἰκισμός,n,----------,,,,,,0
68846,ο02090,οἰκιστής,n,n-s---mn1e,οἰκιστού,,,,,0
68848,ο02092,οἰκιτιεύς,n,----------,,,,,,0
68849,ο02094,οἰκοβασιλικόν,n,----------,,,,,,0
68850,ο02095,οἰκόβιος,a,aps---cn2-,οἰκόβιος οἰκόβιος οἰκόβιον,,,,,0
68851,ο02096,οἰκογένεια,n,n-s---fn1s,οἰκογένειας,,,,,0
68853,ο02098,οἰκοδέγμων,n,n-s---mn3n,οἰκοδέγμονος,,,,,0
68854,ο02099,οἰκοδέκτωρ,n,n-s---mn3r,οἰκοδέκτορος,,,,,0
68855,ο02100,οἰκοδεσπόζω,v,----------,,,,,,0
68856,ο02101,οἰκοδέσποινα,n,n-s---fn1s,οἰκοδέσποινας,,,,,0
68857,ο02102,οἰκοδεσποσύνη,n,n-s---fn1e,οἰκοδεσποσύνης,,,,,0
68808,ο02050,οἰκείωσις,n,n-s---fn3v,οἰκειωσέως,,,,,0
68860,ο02105,οἰκοδεσπότης,n,n-s---mn1e,οἰκοδεσπότου,,,,,0
68862,ο02107,οἰκοδεσποτικός,a,aps---mn1-,οἰκοδεσποτικός οἰκοδεσποτική οἰκοδεσποτικόν,,,,,0
68863,ο02108,οἰκοδίαιτος,a,aps---cn2-,οἰκοδίαιτος οἰκοδίαιτος οἰκοδίαιτον,,,,,0
68864,ο02109,οἰκοδομεύς,n,n-s---mn3v,οἰκοδομέως,,,,,0
68865,ο02110,οἰκοδομέω,v,----------,,,,/oi̯.ko.do.mé.ɔː/,,0
68866,ο02111,οἰκοδομή,n,n-s---fn1e,οἰκοδομῆς,,,,,0
68868,ο02113,οἰκοδομημάτιον,n,n-s---nn2-,οἰκοδομηματίου,,,,,0
68869,ο02114,οἰκοδόμησις,n,n-s---fn3v,οἰκοδομησέως,,,,,0
68870,ο02115,οἰκοδομητέον,v,----------,,,,,,0
68872,ο02117,οἰκοδομητός,a,aps---mn1-,οἰκοδομητός οἰκοδομητή οἰκοδομητόν,,,,,0
68873,ο02118,οἰκοδομία,n,n-s---fn1l,οἰκοδομίας,,,,,0
68874,ο02119,οἰκοδομικός,a,aps---mn1-,οἰκοδομικός οἰκοδομική οἰκοδομικόν,,,,,0
68875,ο02120,οἰκοδομιστήριος,a,aps---mn1-,οἰκοδομιστήριος οἰκοδομιστήρια οἰκοδομιστήριον,,,,,0
68876,ο02121,οἰκόδομος,n,n-s---mn2-,οἰκοδόμου,,,,,0
68877,ο02122,οἰκοδοχεύς,n,n-s---mn3v,οἰκοδοχέως,,,,,0
68878,ο02123,οἰκοθαλής,n,----------,,,,,,0
68879,ο02124,οἴκοθεν,r,rp--------,οἴκοθεν,,,/oí̯.ko.tʰen/,,0
68880,ο02125,οἰκόθετος,a,aps---cn2-,οἰκόθετος οἰκόθετος οἰκόθετον,,,,,0
68881,ο02126,οἴκοθι,r,----------,,,,,,0
68882,ο02127,οἰκόθρεπτος,a,aps---cn2-,οἰκόθρεπτος οἰκόθρεπτος οἰκόθρεπτον,,,,,0
68883,ο02128,οἴκοι,r,----------,,,,,,0
68885,ο02130,οἰκοκρατέομαι,v,----------,,,,,,0
68886,ο02131,οἰκομαχία,n,n-s---fn1l,οἰκομαχίας,,,,,0
68887,ο02133,οἶκόνδε,r,rp--------,οἶκόνδε,,,/ói̯.kón.de/,,0
68888,ο02134,οἰκονομέω,v,----------,,,,,,0
68889,ο02135,οἰκονόμημα,n,n-s---nn3t,οἰκονομήματος,,,,,0
68890,ο02136,οἰκονομημένως,r,----------,,,,,,0
68892,ο02138,οἰκονομικός,a,aps---mn1-,οἰκονομικός οἰκονομική οἰκονομικόν,,,,,0
68893,ο02139,οἰκονόμισσα,n,n-s---fn1s,οἰκονόμισσας,,,,,0
68894,ο02140,οἰκόνομος,n,n-s---cn2-,οἰκονόμου,,,,,0
68895,ο02141,οἰκοπεδικὸς,n,----------,,,,,,0
68896,ο02142,οἰκόπεδον,n,n-s---nn2-,οἰκοπέδου,,,,,0
68897,ο02143,οἰκοποιός,a,----------,,,,,,0
68899,ο02145,οἶκος,n,n-s---mn2-,οἴκου,,,,,0
68900,ο02146,οἰκός,n,----------,,,,,,0
68901,ο02147,οἴκοσε,r,----------,,,,,,0
68902,ο02148,οἰκοσιτία,n,n-s---fn1l,οἰκοσιτίας,,,,,0
68903,ο02149,οἰκόσιτος,a,aps---cn2-,οἰκόσιτος οἰκόσιτος οἰκόσιτον,,,,,0
68904,ο02150,οἰκοσκευή,n,----------,,,,,,0
68905,ο02151,οἰκοσκοπικόν,n,----------,,,,,,0
68907,ο02153,οἰκότης,n,n-s---mn1e,οἰκότου,,,,,0
68859,ο02104,οἰκοδεσποτέω,v,----------,,,,,,0
68911,ο02157,οἴκοτριψ,n,n-s---mn3l,οἴκοτριβος,,,,,0
68912,ο02158,οἰκότροφος,a,aps---cn2-,οἰκότροφος οἰκότροφος οἰκότροφον,,,,,0
68913,ο02159,οἰκοτύραννος,n,n-s---mn2-,οἰκοτυράννου,,,,,0
68914,ο02160,οἰκότως,r,----------,,,,,,0
68915,ο02161,οἰκουμένη,n,n-s---fn1e,οἰκουμένης,,,,,0
68916,ο02162,οἰκουμενικός,a,aps---mn1-,οἰκουμενικός οἰκουμενική οἰκουμενικόν,,,/oi̯.koː.me.ni.kós/,,0
68917,ο02164,οἰκουργός,a,aps---cn2-,οἰκουργός οἰκουργός οἰκουργόν,,,,,0
68918,ο02165,οἰκουρέω,v,----------,,,,,,0
68919,ο02166,οἰκούρημα,n,n-s---nn3t,οἰκουρήματος,,,,,0
68920,ο02167,οἰκουρία,n,n-s---fn1l,οἰκουρίας,,,,,0
68921,ο02168,οἰκουρικός,a,aps---mn1-,οἰκουρικός οἰκουρική οἰκουρικόν,,,,,0
68923,ο02170,οἰκουροκαθέδριος,a,----------,,,,,,0
68924,ο02171,οἰκουρός,a,----------,,,,,,0
68925,ο02172,οἰκοφθορέω,v,----------,,,,,,0
68926,ο02173,οἰκοφθορία,n,n-s---fn1l,οἰκοφθορίας,,,,,0
68927,ο02174,οἰκόφθορος,n,n-s---mn2-,οἰκοφθόρου,,,,,0
68929,ο02176,οἰκοφυλακέω,v,----------,,,,,,0
68930,ο02177,οἰκοφυλάκιον,n,n-s---nn2-,οἰκοφυλακίου,,,,,0
68931,ο02178,οἰκοφύλαξ,n,----------,,,,,,0
68932,ο02179,οἰκτειρέω,v,----------,,,,,,0
68933,ο02180,οἰκτείρημα,n,n-s---nn3t,οἰκτειρήματος,,,,,0
68934,ο02181,οἰκτίζω,v,----------,,,,,,0
68935,ο02182,οἰκτικός,a,aps---mn1-,οἰκτικός οἰκτική οἰκτικόν,,,,,0
68936,ο02183,οἰκτιρμός,n,----------,,,,,,0
68939,ο02186,οἰκτίρω,v,----------,,,,,,0
68940,ο02187,οἴκτισμα,n,n-s---nn3t,οἰκτίσματος,,,,,0
68941,ο02188,οἰκτισμός,n,----------,,,,,,0
68942,ο02189,οἴκτιστος,a,aps---mn1-,οἴκτιστος οἰκτίστη οἴκτιστον,,,,,0
68943,ο02190,οἶκτος,n,n-s---mn2-,οἴκτου,,,/ói̯k.tos/,,0
68944,ο02191,οἰκτοσύνη,n,n-s---fn1e,οἰκτοσύνης,,,,,0
68945,ο02192,οἰκτρόβιος,a,aps---cn2-,οἰκτρόβιος οἰκτρόβιος οἰκτρόβιον,,,,,0
68947,ο02194,οἰκτροκέλευθος,a,aps---cn2-,οἰκτροκέλευθος οἰκτροκέλευθος οἰκτροκέλευθον,,,,,0
68948,ο02195,οἰκτρολογία,n,n-s---fn1l,οἰκτρολογίας,,,,,0
68949,ο02196,οἰκτρομέλαθρος,a,aps---cn2-,οἰκτρομέλαθρος οἰκτρομέλαθρος οἰκτρομέλαθρον,,,,,0
68950,ο02197,οἰκτροπαθής,a,aps---cn5s,οἰκτροπαθής οἰκτροπαθής οἰκτροπαθές,,,,,0
68951,ο02198,οἰκτρός,a,aps---mn1-,οἰκτρός οἰκτρά οἰκτρόν,,,,,0
68952,ο02199,οἰκτρότης,n,n-s---fn3t,οἰκτρότητος,,,,,0
68953,ο02200,οἰκτρόφωνος,a,aps---cn2-,οἰκτρόφωνος οἰκτρόφωνος οἰκτρόφωνον,,,,,0
68954,ο02201,οἰκτροχοέω,v,----------,,,,,,0
68955,ο02202,οἴκυλα,n,n-p---nn2-,οἰκύλων,,,,,0
68910,ο02156,οἰκοτριβής,a,aps---cn5s,οἰκοτριβής οἰκοτριβής οἰκοτριβές,,,,,0
68958,ο02093,οἰκῶναξ,n,----------,,,,,,0
68959,ο02204,οἰκώς,n,----------,,,,,,0
68961,ο02206,οἰκωφελία,n,n-s---fn1l,οἰκωφελίας,,,,,0
68962,,Ὀϊλεύς,n,n-s---mn3v,Ὀϊλέως,,,/o.iː.leú̯s/,,0
68963,ο02268,οἶμα,n,n-s---nn3t,οἴματος,,,,,0
68964,ο02269,οἶμαι,v,v1spim----,,,,/ói̯.mai̯/,,0
68965,ο02270,οἰμάω,v,----------,,,,,,0
68966,ο02272,οἴμη,n,n-s---fn1e,οἴμης,,,,,0
68968,ο02274,οἴμοι,n,,,,,,,0
68969,ο02275,οἶμος,n,n-s---cn2-,οἴμου,,,,,0
68970,ο02276,οἰμωγή,n,n-s---fn1e,οἰμωγῆς,,,,,0
68971,ο02277,οἴμωγμα,n,n-s---nn3t,οἰμώγματος,,,,,0
68972,ο02278,οἰμωγμός,n,----------,,,,,,0
68973,ο02279,οἰμώζω,v,----------,,,,,,0
68974,ο02280,οἰμωκτί,r,----------,,,,,,0
68975,ο02281,οἰμωκτία,n,n-s---fn1l,οἰμωκτίας,,,,,0
68978,ο02284,οἰμωξία,n,n-s---fn1l,οἰμωξίας,,,,,0
68979,ο02285,οἰμώσσω,v,----------,,,,,,0
68980,ο02288,οἰναγγεῖον,n,n-s---nn2-,οἰναγγείου,,,,,0
68981,ο02289,οἰναγωγός,a,aps---cn2-,οἰναγωγός οἰναγωγός οἰναγωγόν,,,,,0
68982,ο02290,οἰναδοθήρας,n,n-s---mn1a,οἰναδοθήρου,,,,,0
68983,,Οἰναῖος,n,----------,,,,,,0
68984,ο02291,οἰνάλμη,n,n-s---fn1e,οἰνάλμης,,,,,0
68985,ο02292,οἰνανθάριον,n,n-s---nn2-,οἰνανθαρίου,,,,,0
