,α12264,ἀπογραφεύς,n,n-s---mn3v,ἀπογραφέως,,,,,0
14400,α14940,ἄρκυς,n,----------,,,,,,0
14401,α14941,ἀρκυστασία,n,n-s---fn1l,ἀρκυστασίας,,,,,0
14402,α14942,ἀρκύστατος,a,aps---mn1-,ἀρκύστατος ἀρκυστάτη ἀρκύστατον,,,,,0
14403,α14943,ἀρκυωρέω,v,----------,,,,,,0
14404,α14944,ἀρκυωρός,n,----------,,,,,,0
14405,α14947,ἅρμα,n,n-s---nn3t,ἅρματος,,,/hár.ma/,,0
14406,α14945,ἄρμα,n,----------,,,,,,0
14407,α14946,ἄρμα,n,n-s---nn3t,ἄρματος,,,,,0
14408,α14948,ἁρμαλά,n,n-s----n--,,,,,,0
14409,α14949,ἁρμαλιά,n,----------,,,,,,0
14411,α14951,ἁρμάμαξα,n,n-s---fn1s,ἁρμάμαξας,,,/har.má.mak.sa/,,0
14412,α14952,ἁρμαρίτης,n,n-s---mn1e,ἁρμαρίτου,,,,,0
14466,α15002,ἁρμολογέω,v,----------,,,,,,0
14359,α14902,ἀρκέσιμος,a,aps---mn1-,ἀρκέσιμος ἀρκεσίμη ἀρκέσιμον,,,,,0
14415,α14955,ἁρματαρχία,n,n-s---fn1l,ἁρματαρχίας,,,,,0
14417,α14957,ἁρματεύω,v,----------,,,,,,0
14418,α14958,ἁρματηγός,a,aps---cn2-,ἁρματηγός ἁρματηγός ἁρματηγόν,,,,,0
14419,α14959,ἁρματηλασία,n,n-s---fn1l,ἁρματηλασίας,,,,,0
14420,α14960,ἁρματηλατέω,v,----------,,,,,,0
14421,α14961,ἁρματηλάτης,n,n-s---mn1e,ἁρματηλάτου,,,,,0
14423,α14963,ἁρματήλατος,a,aps---cn2-,ἁρματήλατος ἁρματήλατος ἁρματήλατον,,,,,0
14424,α14964,ἁρματίζομαι,v,----------,,,,,,0
14425,α14965,ἁρμάτιον,n,n-s---nn2-,ἁρματίου,,,,,0
14426,α14966,ἁρματίτης,n,n-s---mn1e,ἁρματίτου,,,,,0
14427,α14967,ἁρματοδρομέω,v,----------,,,,,,0
14428,α14968,ἁρματοδρομία,n,n-s---fn1l,ἁρματοδρομίας,,,(1 CE Egyptian) IPA: /(h)ar.ma.to.droˈmi.a/,,0
14429,α14969,ἁρματοδρόμος,a,aps---cn2-,ἁρματοδρόμος ἁρματοδρόμος ἁρματοδρόμον,,,,,0
14430,α14970,ἁρματόεις,a,aps---mn4i,ἁρματόεις ἁρματόεσσα ἁρματόεν,,,,,0
14431,α14971,ἁρματόεργος,a,aps---cn2-,ἁρματόεργος ἁρματόεργος ἁρματόεργον,,,,,0
14432,α14972,ἁρματοθεσία,n,n-s---fn1l,ἁρματοθεσίας,,,,,0
14433,α14973,ἁρματόκτυπος,a,----------,,,,,,0
14434,α14974,ἁρματομαχέω,v,----------,,,,,,0
14435,α14975,ἁρματοπηγέω,v,----------,,,,,,0
14438,α14978,ἁρματοποιέω,v,----------,,,,,,0
14439,α14979,ἁρματοποιός,a,aps---cn2-,ἁρματοποιός ἁρματοποιός ἁρματοποιόν,,,,,0
14440,α14980,ἁρματοτροφέω,v,----------,,,,,,0
14441,α14981,ἁρματοτροφία,n,n-s---fn1l,ἁρματοτροφίας,,,,,0
14442,α14982,ἁρματοτροχιά,n,n-s---fn1l,ἁρματοτροχιᾶς,,,,,0
14443,α14983,ἁρματωλία,n,n-s---fn1l,ἁρματωλίας,,,,,0
14444,α14984,ἁρμελατέω,v,----------,,,,,,0
14446,α14986,ἁρμελάτης,v,----------,,,,,,0
14447,α14987,ἄρμενα,n,n-p---nn2-,ἀρμένων,,,,,0
14448,,Ἀρμενία,n,,,,,/ar.me.ní.aː/,,0
14449,,Ἀρμενιάρχης,n,n-s---mn1e,Ἀρμενιάρχου,,,,,0
14450,,Ἀρμενιστί,r,----------,,,,,,0
14451,α14988,ἀρμενίζω,v,----------,,,,,,0
14452,,Ἀρμένιον,n,n-s---nn2-,Ἀρμενίου,,,,,0
14454,α14990,ἄρμενον,n,----------,,,,,,0
14455,α14991,ἀρμενοποιέω,v,----------,,,,,,0
14456,α14992,ἀρμένος,n,----------,,,,,,0
14457,α14993,ἀρμενοφόρος,n,----------,,,,,,0
14458,α14994,ἁρμή,n,n-s---fn1e,ἁρμῆς,,,,,0
14459,α14996,ἁρμογή,n,n-s---fn1e,ἁρμογῆς,,,,,0
14460,α14997,ἁρμόδιος,a,aps---mn1-,ἁρμόδιος ἁρμόδια ἁρμόδιον,,,,,0
14462,α14999,ἁρμοζόντως,r,----------,,,,,,0
14463,α15000,ἁρμόζω,v,----------,,,,/har.móz.dɔː/,,0
14464,α14995,ἁρμοῖ,r,----------,,,,,,0
14414,α14954,ἁρματάρακτα,n,n-p---nn2-,ἁρματαράκτων,,,,,0
14469,α15005,ἁρμονία,n,n-s---fn1l,ἁρμονίας,,,/har.mo.ní.aː/,,0
14470,,Ἁρμονίδης,n,n-s---mn1e,Ἁρμονίδου,,,,,0
14471,,Ἁρμονίζω,v,----------,,,,,,0
14473,,Ἁρμόνιος,a,aps---cn2-,Ἁρμόνιος Ἁρμόνιος Ἁρμόνιον,,,,,0
14475,α15006,ἁρμοποιός,a,aps---cn2-,ἁρμοποιός ἁρμοποιός ἁρμοποιόν,,,,,0
14476,α15007,ἁρμός,n,n-s---mn2-,ἁρμοῦ,,,/har.mós/,,0
14477,α15008,ἅρμοσις,n,n-s---fn3v,ἁρμοσέως,,,,,0
14478,α15009,ἅρμοσμα,n,n-s---nn3t,ἁρμόσματος,,,,,0
14479,α15010,ἁρμοστέον,v,----------,,,,,,0
14480,α15011,ἁρμοστήρ,n,n-s---mn3r,ἁρμοστῆρος,,,,,0
14481,α15012,ἁρμοστής,n,n-s---mn1e,ἁρμοστού,,,,,0
14482,α15013,ἁρμοστικός,a,aps---mn1-,ἁρμοστικός ἁρμοστική ἁρμοστικόν,,,,,0
14483,α15014,ἁρμοστός,a,aps---mn1-,ἁρμοστός ἁρμοστή ἁρμοστόν,,,,,0
14484,α15015,ἅρμοστρα,n,n-p---nn2-,ἁρμόστρων,,,,,0
14485,α15016,ἁρμόστωρ,n,n-s---mn3r,ἁρμόστορος,,,,,0
14486,α15017,ἁρμόττω,v,----------,,,,,,0
14487,α15018,ἄρμυλα,n,n-p---nn2-,ἀρμύλων,,,,,0
14488,α15019,ἄρνα,n,----------,,,,,,0
14489,α15020,ἀρναβώ,n,----------,,,,,,0
14491,α15023,ἀρνέα,n,n-s---fn1l,ἀρνέας,,,,,0
14492,α15024,ἄρνειος,a,aps---mn1-,ἄρνειος ἄρνεια ἄρνειον,,,,,0
14493,κ07674,κρέα,n,----------,,,,,,0
14494,α15025,ἀρνειός,n,----------,,,,,,0
14496,α15027,ἀρνέομαι,v,----------,,,,/ar.né.o.mai̯/,,0
14497,α15028,ἀρνεός,n,----------,,,,,,0
14498,α15029,ἀρνευτήρ,n,n-s---mn3r,ἀρνευτῆρος,,,,,0
14499,α15030,ἀρνευτήρια,n,n-p---nn2-,ἀρνευτηρίων,,,,,0
14501,α15032,ἀρνεύω,v,----------,,,,,,0
14502,α15033,ἀρνεώς,n,----------,,,,,,0
14503,α15034,ἀρνηάς,n,n-s---fn3d,ἀρνηάδος,,,,,0
14504,α15035,ἀρνηί̈ς,n,----------,,,,,,0
14505,,Ἀρνῆος,n,----------,,,,,,0
14506,α15036,ἀρνήσιμος,a,aps---cn2-,ἀρνήσιμος ἀρνήσιμος ἀρνήσιμον,,,,,0
14507,α15037,ἄρνησις,n,n-s---fn3v,ἀρνησέως,,,,,0
14508,α15038,ἀρνητέον,a,----------,,,,,,0
14510,α15040,ἀρνίον,n,n-s---nn2-,ἀρνίου,,,/ar.ní.on/,,0
14511,α15041,ἀρνίς,n,n-s---fn3d,ἀρνίδος,,,,,0
14512,α15042,ἀρνόγλωσσον,n,n-s---nn2-,ἀρνογλώσσου,,,,,0
14513,α15043,ἀρνοκόμης,n,n-s---mn1e,ἀρνοκόμου,,,,,0
14514,α15044,ἀρνοπολέμιον,n,n-s---nn2-,ἀρνοπολεμίου,,,,,0
14515,α15045,ἀρνός,n,----------,,,,/ar.nós/,,0
14517,α15047,ἀρνοφάγος,n,----------,,,,,,0
14518,α15048,ἄρνυμαι,v,----------,,,,/ár.ny.mai̯/,,0
14519,α15022,ἀρνῳδός,n,----------,,,,,,0
14520,α15049,ἄρξ,n,----------,,,,,,0
14521,α15050,ἄρξιφος,n,----------,,,,,,0
14522,α15051,ἄροκλον,n,n-s---nn2-,ἀρόκλου,,,,,0
14468,α15004,ἁρμολόγος,a,aps---cn2-,ἁρμολόγος ἁρμολόγος ἁρμολόγον,,,,,0
14525,α15054,ἄρος,n,----------,,,,,,0
14526,α15055,ἀρόσιμος,a,----------,,,,,,0
14527,α15056,ἄροσις,n,n-s---fn3v,ἀροσέως,,,,,0
14528,α15057,ἀροσμός,n,----------,,,,,,0
14530,α15059,ἀρότης,n,n-s---mn1e,ἀρότου,,,,,0
14531,α15060,ἀροτήσιος,a,aps---cn2-,ἀροτήσιος ἀροτήσιος ἀροτήσιον,,,,,0
14532,α15061,ἀροτικός,a,aps---mn1-,ἀροτικός ἀροτική ἀροτικόν,,,,,0
14533,α15062,ἄροτος,v,----------,,,,,,0
14534,α15063,ἀροτός,a,aps---mn1-,ἀροτός ἀροτή ἀροτόν,,,,,0
14535,α15064,ἀροτραῖος,a,----------,,,,,,0
14536,α15065,ἀρότρευμα,n,n-s---nn3t,ἀροτρεύματος,,,,,0
14537,α15066,ἀροτρεύς,n,n-s---mn3v,ἀροτρέως,,,,,0
14538,α15067,ἀροτρευτήρ,n,n-s---mn3r,ἀροτρευτῆρος,,,,,0
14539,α15068,ἀροτρεύω,v,----------,,,,,,0
14541,α15070,ἀροτριάζω,v,----------,,,,,,0
14542,α15071,ἀροτρίαμα,n,n-s---nn3t,ἀροτριάματος,,,,,0
14544,α15073,ἀροτριασμός,n,----------,,,,,,0
14545,α15074,ἀροτριαστής,n,n-s---mn1e,ἀροτριαστού,,,,,0
14546,α15075,ἀροτριάω,v,----------,,,,,,0
14548,α15077,ἀροτριόω,v,----------,,,,,,0
14549,α15078,ἀροτρίτης,n,----------,,,,,,0
14550,α15079,ἀροτροδίαυλος,n,n-s---mn2-,ἀροτροδιαύλου,,,,,0
14552,α15081,ἄροτρον,n,n-s---nn2-,ἀρότρου,,,/á.ro.tron/,,0
14553,α15082,ἀροτροπόνος,a,----------,,,,,,0
14554,α15083,ἀροτρόπους,n,n-s---mn3d,ἀροτρόποδος,,,,,0
14555,α15084,ἀροτροφορέω,v,----------,,,,,,0
14556,α15085,ἀρότται,n,----------,,,,,,0
14557,α15086,ἄρουρα,n,n-s---fn1s,ἄρουρας,,,,,0
14558,α15087,ἀρουραβάτης,n,n-s---mn1e,ἀρουραβάτου,,,,,0
14559,α15088,ἀρουραῖος,a,----------,,,,,,0
14561,α15090,ἀρουρηδόν,n,----------,,,,,,0
14562,α15091,ἀρούριον,n,n-s---nn2-,ἀρουρίου,,,,,0
14563,α15092,ἀρουρισμός,n,----------,,,,,,0
14564,α15093,ἀρουρίτης,n,----------,,,,,,0
14565,α15094,ἀρουροπόνος,n,----------,,,,,,0
14566,α15095,ἀρόω,v,----------,,,,/a.ró.ɔː/,,0
14567,α15096,ἁρπάγδην,r,----------,,,,,,0
14568,α15097,ἁρπαγεύς,n,----------,,,,,,0
14571,α15100,ἁρπαγιμαῖος,a,aps---mn1-,ἁρπαγιμαῖος ἁρπαγιμαῖα ἁρπαγιμαῖον,,,,,0
14572,α15101,ἁρπάγιμος,a,aps---mn1-,ἁρπάγιμος ἁρπαγίμη ἁρπάγιμον,,,,,0
14573,α15102,ἁρπάγιον,n,n-s---nn2-,ἁρπαγίου,,,,,0
14574,α15103,ἅρπαγμα,n,n-s---nn3t,ἁρπάγματος,,,,,0
14575,α15104,ἁρπαγμός,n,----------,,,,,,0
14576,α15105,ἅρπαγος,n,n-s---mn2-,ἁρπάγου,,,,,0
14577,α15106,ἁρπάζω,v,----------,,,,/har.páz.dɔː/,,0
14524,α15053,ἄρον,n,n-s---nn2-,ἄρου,,,,,0
14582,α15111,ἁρπακτί,r,----------,,,,,,0
14583,α15112,ἁρπακτικός,a,aps---mn1-,ἁρπακτικός ἁρπακτική ἁρπακτικόν,,,,,0
14584,α15113,ἁρπακτός,a,aps---mn1-,ἁρπακτός ἁρπακτή ἁρπακτόν,,,,,0
14585,α15114,ἁρπακτύς,n,n-s---fn3v,ἁρπακτύος,,,,,0
14586,α15115,ἁρπάλαγος,n,n-s---mn2-,ἁρπαλάγου,,,,,0
14587,α15116,ἁρπαλέος,a,aps---mn1-,ἁρπαλέος ἁρπαλέα ἁρπαλέον,,,,,0
14588,α15117,ἁρπαλίζω,v,----------,,,,,,0
14590,α15119,ἁρπάμενος,a,aps---mn1-,ἁρπάμενος ἁρπαμένη ἁρπάμενον,,,,,0
14591,α15120,ἅρπαξ,n,----------,,,,,,0
14592,α15121,ἁρπάξανδρος,a,aps---mn1-,ἁρπάξανδρος ἁρπάξανδρα ἁρπάξανδρον,,,,,0
14593,α15122,ἁρπαξίβιος,a,----------,,,,,,0
14594,α15123,ἁρπαξομίλης,n,n-s---mn1e,ἁρπαξομίλου,,,,,0
14595,α15124,ἅρπασις,n,n-s---fn3v,ἁρπασέως,,,,,0
14596,α15125,ἅρπασμα,n,n-s---nn3t,ἁρπάσματος,,,,,0
14597,α15126,ἁρπασμός,n,----------,,,,,,0
14598,α15127,ἅρπασος,n,n-s---mn2-,ἁρπάσου,,,,,0
14600,α15129,ἁρπάστιον,n,----------,,,,,,0
14602,α15131,ἁρπεδής,a,aps---cn5s,ἁρπεδής ἁρπεδής ἁρπεδές,,,,,0
14603,α15132,ἁρπεδόεις,a,aps---mn4i,ἁρπεδόεις ἁρπεδόεσσα ἁρπεδόεν,,,,,0
14604,α15133,ἁρπεδονάπται,n,n-p---mn1s,ἁρπεδονάπτων,,,,,0
14605,α15134,ἁρπεδόνη,n,n-s---fn1e,ἁρπεδόνης,,,,,0
14606,α15135,ἁρπεδονίζω,v,----------,,,,,,0
14607,α15136,ἁρπεδών,n,n-s---fn3n,ἁρπεδόνος,,,,,0
14608,α15137,ἅρπεζα,n,n-s---fn1l,ἁρπέζας,,,,,0
14609,α15138,ἅρπη,n,n-s---fn1e,ἅρπης,,,/hár.pɛː/,,0
14610,α15140,ἁρπίς,n,n-s---fn3d,ἁρπῖδος,,,,,0
14611,α15139,ἀρπίαθος,n,----------,,,,,,0
14612,,Ἅρπυιαι,n,n-p---fn1l,Ἁρπυιῶν,,,/hár.pyː.a/,,0
14614,,Ἅρπυς,n,----------,,,,,,0
14615,α15141,ἀρρ,n,----------,,,,,,0
14616,α15142,ἀρραβάσσω,v,----------,,,,,,0
14617,α15143,ἀρράβδωτος,a,aps---cn2-,ἀρράβδωτος ἀρράβδωτος ἀρράβδωτον,,,,,0
14618,α15144,ἀρραβών,n,n-s---mn3n,ἀρραβῶνος,,,,,0
14619,α15145,ἀρραγάδωτος,a,aps---cn2-,ἀρραγάδωτος ἀρραγάδωτος ἀρραγάδωτον,,,,,0
14620,α15146,ἀρραγής,a,aps---cn5s,ἀρραγής ἀρραγής ἀρραγές,,,,,0
14621,α15147,ἀρράζω,v,----------,,,,,,0
14622,α15148,ἄρραιστος,a,aps---cn2-,ἄρραιστος ἄρραιστος ἄρραιστον,,,,,0
14623,α15149,ἄρραντος,a,aps---cn2-,ἄρραντος ἄρραντος ἄρραντον,,,,,0
14624,α15150,ἄρρατος,a,aps---cn2-,ἄρρατος ἄρρατος ἄρρατον,,,,,0
14626,α15152,ἄρραφος,a,aps---cn2-,ἄρραφος ἄρραφος ἄρραφον,,,,,0
14627,α15153,ἄρρεκτος,a,aps---cn2-,ἄρρεκτος ἄρρεκτος ἄρρεκτον,,,,,0
14628,α15154,ἀρρεν,n,----------,,,,,,0
14629,α15155,ἀρρενική,n,----------,,,,,,0
14581,α15110,ἁρπακτής,n,n-s---mn1e,ἁρπακτού,,,,,0
14634,α15160,ἀρρενογόνος,a,aps---cn2-,ἀρρενογόνος ἀρρενογόνος ἀρρενογόνον,,,,,0
14635,α15161,ἀρρενοκοίτης,n,n-s---mn1e,ἀρρενοκοίτου,,,,,0
14636,α15162,ἀρρενοκυέω,v,----------,,,,,,0
14637,α15163,ἀρρενομανής,a,----------,,,,,,0
14638,α15164,ἀρρενομίκτης,n,n-s---mn1e,ἀρρενομίκτου,,,,,0
14639,α15165,ἀρρενομιξία,n,n-s---fn1l,ἀρρενομιξίας,,,,,0
14640,α15166,ἀρρενόομαι,v,----------,,,,,,0
14641,α15167,ἀρρενόπαις,n,----------,,,,,,0
14642,α15168,ἀρρενοπίπης,a,----------,,,,,,0
14643,α15169,ἀρρενοποιέω,v,----------,,,,,,0
14645,α15171,ἀρρενοπρεπής,a,aps---cn5s,ἀρρενοπρεπής ἀρρενοπρεπής ἀρρενοπρεπές,,,,,0
14646,α15172,ἀρρενότης,n,n-s---fn3t,ἀρρενότητος,,,,,0
14647,α15173,ἀρρενοτοκέω,v,----------,,,,,,0
14648,α15174,ἀρρενοτοκία,n,n-s---fn1l,ἀρρενοτοκίας,,,,,0
14649,α15175,ἀρρενοτόκιον,n,n-s---nn2-,ἀρρενοτοκίου,,,,,0
14651,α15177,ἀρρενουργός,a,aps---cn2-,ἀρρενουργός ἀρρενουργός ἀρρενουργόν,,,,,0
14653,α15179,ἀρρενοφθορία,n,n-s---fn1l,ἀρρενοφθορίας,,,,,0
14654,α15180,ἀρρενόφρων,a,aps---cn3n,ἀρρενόφρων ἀρρενόφρων ἀρρενόφρον,,,,,0
14655,α15181,ἀρρέντερος,n,----------,,,,,,0
14656,α15182,ἀρρενώδης,a,aps---cn3s,ἀρρενώδης ἀρρενώδης ἀρρενώ͂δες,,,,,0
14657,α15183,ἀρρενωνυμέω,v,----------,,,,,,0
14658,α15184,ἀρρενωπία,n,n-s---fn1l,ἀρρενωπίας,,,,,0
14659,α15185,ἀρρενωπός,a,----------,,,,,,0
14660,α15186,ἀρρεπής,a,aps---cn5s,ἀρρεπής ἀρρεπής ἀρρεπές,,,,,0
14661,α15187,ἀρρευμάτιστος,a,----------,,,,,,0
14662,α15188,ἄρρευστος,a,aps---cn2-,ἄρρευστος ἄρρευστος ἄρρευστον,,,,,0
14663,α15189,ἀρρεψία,n,n-s---fn1l,ἀρρεψίας,,,,,0
14664,α15190,ἀρρήδην,r,----------,,,,,,0
14666,α15192,ἀρρήμων,a,aps---cn3n,ἀρρήμων ἀρρήμων ἀρρήμον,,,,,0
14667,α15193,ἄρρην,a,aps---cn5n,,,,/ár̥.r̥ɛːn/,,0
14668,α15194,ἀρρηνής,a,aps---cn5s,ἀρρηνής ἀρρηνής ἀρρηνές,,,,,0
14669,α15195,ἄρρης,n,----------,,,,,,0
14670,α15196,ἀρρησία,n,n-s---fn1l,ἀρρησίας,,,,,0
14671,α15197,ἀρρητοποιέω,v,----------,,,,,,0
14672,α15198,ἀρρητοποιός,a,aps---cn2-,ἀρρητοποιός ἀρρητοποιός ἀρρητοποιόν,,,,,0
14675,α15201,ἀρρητουργέω,v,----------,,,,,,0
14676,α15202,ἀρρητουργία,n,n-s---fn1l,ἀρρητουργίας,,,,,0
14677,α15203,ἀρρητοφόρια,n,n-p---nn2-,ἀρρητοφορίων,,,,,0
14678,α15204,ἀρρητοφόρος,n,----------,,,,,,0
14679,α15205,ἀρρηφορέω,v,----------,,,,,,0
14680,α15207,ἀρρηφορία,n,n-s---fn1l,ἀρρηφορίας,,,,,0
14632,α15158,ἀρρενογονέω,v,----------,,,,,,0
14683,α15209,ἀρριγής,r,----------,,,,,,0
14685,α15211,ἄρριγος,a,aps---cn2-,ἄρριγος ἄρριγος ἄρριγον,,,,,0
14686,α15212,ἄρριζος,a,aps---cn2-,ἄρριζος ἄρριζος ἄρριζον,,,,,0
14687,α15213,ἀρρίζωτος,a,----------,,,,,,0
14688,α15214,ἄρρινον,n,n-s---nn2-,ἀρρίνου,,,,,0
14689,α15215,ἀρρίπιστος,a,----------,,,,,,0
14690,α15216,ἄρρις,n,----------,,,,,,0
14691,α15217,ἀρριχάομαι,v,----------,,,,,,0
14692,α15218,ἀρριχίς,n,n-s---fn3d,ἀρριχίδος,,,,,0
14693,α15219,ἄρριχος,n,----------,,,,,,0
14694,α15220,ἄρροια,n,n-s---fn1s,ἄρροιας,,,,,0
14696,α15222,ἄρρυ,n,----------,,,,,,0
14697,α15223,ἀρρυθμέω,v,----------,,,,,,0
14698,α15224,ἀρρυθμία,n,n-s---fn1l,ἀρρυθμίας,,,/ar̥.r̥ytʰ.mí.aː/,,0
14699,α15225,ἀρρύθμιστος,a,aps---cn2-,ἀρρύθμιστος ἀρρύθμιστος ἀρρύθμιστον,,,,,0
14700,α15226,ἀρρυθμοπότης,n,n-s---mn1e,ἀρρυθμοπότου,,,,,0
14701,α15227,ἄρρυθμος,a,aps---cn2-,ἄρρυθμος ἄρρυθμος ἄρρυθμον,,,/ár̥.r̥ytʰ.mos/,,0
14702,α15228,ἀρρύπαντος,a,----------,,,,,,0
14703,α15229,ἄρρυπος,a,aps---cn2-,ἄρρυπος ἄρρυπος ἄρρυπον,,,,,0
14705,α15231,ἀρρύπωτος,n,----------,,,,,,0
14707,α15233,ἀρρύσιος,a,aps---cn2-,ἀρ<ρ>ύσιος ἀρ<ρ>ύσιος ἀρ<ρ>ύσιον,,,,,0
14708,α15234,ἀρρύσωτος,a,aps---cn2-,ἀρρύσωτος ἀρρύσωτος ἀρρύσωτον,,,,,0
14709,α15235,ἀρρυτίδωτος,a,----------,,,,,,0
14710,α15236,ἀρρωδέω,v,----------,,,,,,0
14711,α15237,ἀρρώξ,n,----------,,,,,,0
14712,α15238,ἀρρωστέω,v,----------,,,,,,0
14713,α15239,ἀρρώστημα,n,n-s---nn3t,ἀρρωστήματος,,,,,0
14715,α15241,ἀρρωστήμων,a,aps---cn3n,ἀρρωστήμων ἀρρωστήμων ἀρρωστήμον,,,,,0
14716,α15242,ἀρρωστία,n,n-s---fn1l,ἀρρωστίας,,,,,0
14717,α15243,ἄρρωστος,a,aps---cn2-,ἄρρωστος ἄρρωστος ἄρρωστον,,,/ár̥.r̥ɔːs.tos/,,0
14718,α15244,ἄρσαι,n,----------,,,,,,0
14719,α15245,ἀρσενάκανθον,n,----------,,,,,,0
14720,α15246,ἀρσενίκιον,n,n-s---nn2-,ἀρσενικίου,,,,,0
14721,α15247,ἀρσενικόν,n,----------,,,,,,0
14722,α15248,ἀρσενικός,n,----------,,,,,,0
14723,α15249,ἀρσένιον,n,n-s---nn2-,ἀρσενίου,,,,,0
14724,α15250,ἀρσένιος,n,----------,,,,,,0
14726,α15252,ἀρσενόθηλυς,a,----------,,,,,,0
14727,α15253,ἀρσενόθυμος,a,aps---cn2-,ἀρσενόθυμος ἀρσενόθυμος ἀρσενόθυμον,,,,,0
14728,α15254,ἀρσενοκοίτης,n,n-s---mn1e,ἀρσενοκοίτου,,,(1 CE Egyptian) IPA: /ar.sɛ.noˈky.tes/,,0
14729,α15255,ἀρσενομίκτης,n,----------,,,,,,0
14731,α15257,ἀρσενοπληθὴς,n,----------,,,,,,0
14732,α15258,ἀρσένωμα,n,n-s---nn3t,ἀρσενώματος,,,,,0
14682,α15208,ἀρρηφόρος,n,----------,,,,,,0
14736,,Ἀρσινόεια,n,n-p---nn2-,Ἀρσινοείων,,,,,0
14737,α15262,ἄρσιος,a,aps---cn2-,ἄρσιος ἄρσιος ἄρσιον,,,,,0
14738,α15263,ἀρσίπους,a,----------,,,,,,0
14739,α15264,ἄρσις,n,n-s---fn3v,ἄρσεως,,,/ár.sis/,,0
14740,α15265,ἄρσιχος,n,----------,,,,,,0
14741,α15266,ἄρσος,n,n-s---nn3v,ἄρσεος,,,,,0
14742,α15267,ἄρσω,v,----------,,,,,,0
14743,α15268,ἀρτάβη,n,n-s---fn1e,ἀρτάβης,,,,,0
14745,α15270,ἀρταμέω,v,----------,,,,,,0
14747,,Ἄρταμις,n,----------,,,,,,0
14748,α15272,ἄρταμος,n,n-s---mn2-,ἀρτάμου,,,,,0
14749,α15273,ἀρτάνη,n,n-s---fn1e,ἀρτάνης,,,,,0
14750,α15274,ἀρτάρια,n,n-p---nn2-,ἀρταρίων,,,,,0
14751,α15275,ἀρτάω,v,----------,,,,,,0
14752,α15276,ἀρτεμέω,v,----------,,,,,,0
14754,α15278,ἀρτεμία,n,n-s---fn1l,ἀρτεμίας,,,,,0
14755,α15279,ἀρτεμίδιον,n,----------,,,,,,0
14756,,Ἀρτεμιδόβλητος,a,aps---cn2-,Ἀρτεμιδόβλητος Ἀρτεμιδόβλητος Ἀρτεμιδόβλητον,,,,,0
14757,,Ἄρτεμις,n,n-s---fn3-,Ἀρτέμιδος,,,/ár.te.mis/,,0
14758,α15280,ἀρτεμισία,n,n-s---fn1l,ἀρτεμισίας,,,,,0
14759,,Ἀρτεμισιασταί,n,n-p---mn2-,Ἀρτεμισιαστῶν,,,,,0
14760,,Ἀρτεμίσιον,n,,,,,/ar.te.mǐː.si.on/,,0
14761,,Ἀρτεμίσιος,n,----------,,,,,,0
14762,α15281,ἀρτέμων,n,n-s---mn3n,ἀρτέμονος,,,,,0
14764,α15283,ἀρτέομαι,v,----------,,,,,,0
14765,α15284,ἀρτέον,v,----------,,,,,,0
14766,,Ἀρτεπίβουλος,n,n-s---mn2-,Ἀρτεπιβούλου,,,,,0
14767,α15285,ἄρτημα,n,n-s---nn3t,ἀρτήματος,,,/ár.tɛː.ma/,,0
14768,α15286,ἀρτήρ,n,n-s---mn3r,ἀρτῆρος,,,,,0
14769,α15287,ἀρτηρία,n,n-s---fn1l,ἀρτηρίας,,,/ar.tɛː.rí.aː/,,0
14771,α15289,ἀρτηρίασις,n,n-s---fn3v,ἀρτηριασέως,,,,,0
14772,α15290,ἀρτηριοτομέω,v,----------,,,,,,0
14773,α15291,ἀρτηριοτομία,n,n-s---fn1l,ἀρτηριοτομίας,,,,,0
14774,α15292,ἀρτηριώδης,a,aps---cn3s,ἀρτηριώδης ἀρτηριώδης ἀρτηριώ͂δες,,,,,0
14775,α15293,ἄρτησις,n,n-s---fn3v,ἀρτησέως,,,,,0
14776,α15294,ἀρτησμός,n,----------,,,,,,0
14777,α15295,ἀρτητός,a,aps---cn2-,ἀρτητός ἀρτητός ἀρτητόν,,,,,0
14778,α15296,ἄρτι,r,rp--------,ἄρτι,,,/ár.ti/,,0
14779,α15297,ἀρτιάζω,v,----------,,,,,,0
14780,α15298,ἀρτιάκις,r,----------,,,,,,0
14782,α15300,ἀρτίαλα,n,n-p---nn2-,ἀρτιάλων,,,,,0
14783,α15301,ἀρτιάλωτος,a,aps---cn2-,ἀρτιάλωτος ἀρτιάλωτος ἀρτιάλωτον,,,,,0
14784,α15302,ἀρτιασμός,n,----------,,,,,,0
14785,α15303,ἀρτιβλαστής,a,aps---cn5s,ἀρτιβλαστής ἀρτιβλαστής ἀρτιβλαστές,,,,,0
14786,α15304,ἀρτίβλαστος,a,aps---cn2-,ἀρτίβλαστος ἀρτίβλαστος ἀρτίβλαστον,,,,,0
14735,α15261,ἄρσηνος,n,----------,,,,,,0
14789,α15307,ἀρτιγάλακτος,a,----------,,,,,,0
14790,α15308,ἀρτιγάλαξ,n,----------,,,,,,0
14791,α15309,ἀρτίγαμος,a,aps---cn2-,ἀρτίγαμος ἀρτίγαμος ἀρτίγαμον,,,,,0
14792,α15310,ἀρτιγένεθλος,a,aps---cn2-,ἀρτιγένεθλος ἀρτιγένεθλος ἀρτιγένεθλον,,,,,0
14793,α15311,ἀρτιγένειος,a,aps---cn2-,ἀρτιγένειος ἀρτιγένειος ἀρτιγένειον,,,,,0
