0448605,a,9,excessively and uncomfortably conscious of your appearance or behavior; 'self-conscious teenagers'; 'wondered if she could ever be untidy without feeling self-conscious about it',
82096,00666199,a,9,(of the voice) altered in tone or pitch; 'his southern Yorkshire voice was less inflected and singing than her northern one',
82097,00666397,a,9,altered in volume as well as tone or pitch,
82098,00666495,a,9,(of the voice) not inflected; 'uninflected words'; 'a monotonic uninflected voice',
82099,00666635,a,9,precise; explicit and clearly defined; 'I want a definite answer'; 'a definite statement of the terms of the will'; 'a definite amount'; 'definite restrictions on the sale of alcohol'; 'the wedding date is now definite'; 'a definite drop in attendance',
82100,00667086,a,9,definite but not specified or identified; 'set aside a certain sum each week'; 'to a certain degree'; 'certain breeds do not make good pets'; 'certain members have not paid their dues'; 'a certain popular teacher'; 'a certain Mrs. Jones',
82101,00667380,a,9,unmistakable; 'had a decisive lead in the polls',
82102,00667483,a,9,clearly defined; 'I have no formed opinion about the chances of success',
82103,00667628,a,9,recognizable; marked; 'noticed a distinct improvement'; 'at a distinct (or decided) disadvantage',
82104,00667790,a,9,vague or not clearly defined or stated; 'must you be so indefinite?'; 'amorphous blots of color having vague and indefinite edges'; 'he would not answer so indefinite a proposal',
82105,00668151,a,9,showing marked and often playful or irritating evasiveness or reluctance to make a definite or committing statement; 'a politician coy about his intentions',
82106,00668357,a,9,not clearly defined; 'indecisive boundaries running through mountains',
82107,00668484,a,9,lacking definition or definite content; 'nebulous reasons'; 'unfixed as were her general notions of what men ought to be'- Jane Austen,
82108,00668683,a,9,indefinite in time or position; 'he will come one day'; 'one place or another',
82109,00668814,a,9,(of e.g. fruits and anthers) opening spontaneously at maturity to release seeds,
82110,00668967,a,9,(of e.g. fruits) not opening spontaneously at maturity to release seeds,
82112,00669371,a,9,(archaic) utterly cast down,
82113,00669450,a,9,brought low in spirit; 'left us fatigued and deflated spiritually',
82115,00669950,a,9,reflecting gloom; 'gloomy faces',
82116,00670055,a,9,marked by dejection from being alone; 'felt sad and lonely'; 'the loneliest night of the week'; 'lonesome when her husband is away'; 'spent a lonesome hour in the bar',
82117,00670286,a,9,exultantly proud and joyful; in high spirits; 'the elated winner'; 'felt elated and excited',
82118,00670575,a,9,joyful and proud especially because of triumph or success; 'rejoicing crowds filled the streets on VJ Day'; 'a triumphal success'; 'a triumphant shout',
82119,00670851,a,9,made joyful; 'the sun and the wind on his back made him feel exhilarated--happy to be alive',
82120,00671013,a,9,excited as if by alcohol or drugs,
82121,00671115,a,9,(archaic) lifted up or set high; 'their hearts were jocund and sublime'- Milton,
82122,00671248,a,9,(archaic) exalted emotionally especially with pride,
82123,00671354,a,9,exquisitely fine and subtle and pleasing; susceptible to injury; 'a delicate violin passage'; 'delicate china'; 'a delicate flavor'; 'the delicate wing of a butterfly',
82124,00671810,a,9,of delicate composition and artistry; 'a dainty teacup'; 'an exquisite cameo'; 'fine china and crystal',
82125,00671985,a,9,characterized by unusual lightness and delicacy; 'this smallest and most ethereal of birds'; 'gossamer shading through his playing',
82126,00672182,a,9,vulnerably delicate; 'she has the fragile beauty of youth',
82127,00672294,a,9,(of plants) requiring protection from frost; 'half-hardy annuals',
82128,00672416,a,9,having a metaphorically delicate touch; 'the translation is...light-handed...and generally unobtrusive'- New Yorker,
82129,00672590,a,9,extremely delicate; 'an overdelicate digestive system',
82130,00672703,a,9,lacking in body or vigor; 'faded pastel charms of the naive music',
82131,00672822,a,9,faint and difficult to analyze; 'subtle aromas',
82132,00672922,a,9,(of plants) not hardy; easily killed by adverse growing condition; 'tender green shoots',
82133,00673063,a,9,sturdy and strong in constitution or construction; enduring; 'a rugged trapper who spent months in the winderness'; 'those that survive are stalwart rugged men'; 'with a house full of boys you have to have rugged furniture',
82134,00673483,a,9,able to survive under unfavorable conditions; 'strawberries are hardy and easy to grow'; 'camels are tough and hardy creatures',
82135,00673662,a,9,suitable for rough use; 'a knockabout overcoat'; 'a knockabout old car',
82136,00673790,a,9,substantially made or constructed; 'sturdy steel shelves'; 'sturdy canvas'; 'a tough all-weather fabric'; 'some plastics are as tough as metal',
82137,00673994,a,9,capable of being broken or damaged; 'earthenware pottery is breakable'; 'breakable articles should be packed carefully',
82138,00674295,a,9,having little elasticity; hence easily cracked or fractured or snapped; 'brittle bones'; 'glass is brittle'; '`brickle' and `brickly' are dialectal',
82139,00674517,a,9,apt to break into small fragments or disintegrate; 'crumbly cookies',
82140,00674639,a,9,easily broken into small fragments or reduced to powder; 'friable sandstone'; 'friable carcinomatous tissue'; 'friable curds formed in the stomach',
82141,00674840,a,9,easily broken or damaged or destroyed; 'a kite too delicate to fly safely'; 'fragile porcelain plates'; 'fragile old bones'; 'a frail craft',
82142,00675053,a,9,capable of being broken; 'the museum stored all frangible articles in locked showcases',
82143,00675196,a,9,subject to breaking into sharp slender pieces,
82144,00675297,a,9,impossible to break especially under ordinary usage; 'unbreakable plastic dinnerwear',
82145,00675494,a,9,difficult or impossible to break or separate into parts; 'an infrangible series',
82146,00675632,a,9,resistant to shattering or splintering; 'shatterproof automobile windows',
82147,00675795,a,9,requiring more than usually expected or thought due; especially great patience and effort and skill; 'found the job very demanding'; 'a baby can be so demanding',
82148,00676120,a,9,requiring precise accuracy; 'an exacting job'; 'became more exigent over his pronunciation',
82149,00676276,a,9,of persons; 'his father was a hard-to-please taskmaster'; 'was very hard to please',
82150,00676443,a,9,demanding strict attention to rules and procedures; 'rigorous discipline'; 'tight security'; 'stringent safety measures',
82151,00676638,a,9,severe and unremitting in making demands; 'an exacting instructor'; 'a stern disciplinarian'; 'strict standards',
82152,00676822,a,9,made tighter or more stringent; 'endured tightened economic controls',
82153,00676947,a,9,not demanding; requiring little if any patience or effort or skill; 'the pay was adequate and the job undemanding'; 'simple undemanding affection'; 'an undemanding boss',
82155,00677389,a,9,not stressful; 'an easygoing life as a parttime consultant',
82156,00677504,a,9,demanding little effort; not burdensome; 'light housework'; 'light exercise',
82157,00677632,a,9,not rigorous; 'relaxed and unexacting standards',
82159,00678047,a,9,containing a solemn charge or command,
82160,00678141,a,9,demanding attention; 'clamant needs'; 'a crying need'; 'regarded literary questions as exigent and momentous'- H.L.Mencken; 'insistent hunger'; 'an instant need',
82161,00678397,a,9,not allowing contradiction or refusal; 'spoke in commanding (or peremptory) tones'; 'peremptory commands',
82162,00678572,a,9,showing extreme urgency or intensity especially because of great need or desire; 'felt a desperate urge to confess'; 'a desperate need for recognition',
82163,00678779,a,9,compelling immediate action; 'too pressing to permit of longer delay'; 'the urgent words `Hurry! Hurry!''; 'bridges in urgent need of repair',
82164,00678984,a,9,begging,
82165,00679156,a,9,earnestly or solemnly entreating; 'in adjuratory terms',
82166,00679268,a,9,"expressing earnest entreaty; 'the appealing and frightened look worn by an injured dog'; 'she holds out her hand for money, importunate, insistent'; 'a pleading note in her voice'",
82167,00679540,a,9,practicing beggary; 'mendicant friars',
82168,00679634,a,9,of the nature of or expressing a petition; 'the petitionary procedure had a quality of indecisiveness',
82169,00679794,a,9,expressing entreaty or supplication; 'precatory overtures',
82170,00679920,a,9,humbly entreating; 'a suppliant sinner seeking forgiveness',
82171,00680063,a,9,characterized by or advocating or based upon the principles of democracy or social equality; 'democratic government'; 'a democratic country'; 'a democratic scorn for bloated dukes and lords'- George du Maurier,
82172,00680509,a,9,opposed to authoritarianism,
82173,00680600,a,9,favoring social equality; 'a classless society',
82174,00680717,a,9,effected directly by action of the voters rather than through elected representatives; 'many people favor direct election of the President rather than election by the Electoral College',
82175,00680955,a,9,having the supreme legislative power resting with a body of cabinet ministers chosen from and responsible to the legislature or parliament; 'parliamentary government',
82176,00681181,a,9,in accord with rules and customs of a legislative or deliberative assembly; 'parliamentary law',
82177,00681336,a,9,affording the opportunity for individual participation; 'participatory democracy',
82178,00681477,a,9,carried on by or for the people (or citizens) at large; 'the popular vote'; 'popular representation'; 'institutions of popular government',
82179,00681669,a,9,"being or characteristic of government by representation in which citizens exercise power through elected officers and representatives; 'representative government as defined by Abraham Lincoln is government of the people, by the people, for the people'",
82181,00682488,a,9,not in agreement with or according to democratic doctrine or practice or ideals; 'the union broke with its past undemocratic procedures',
82182,00682755,a,9,characteristic of an absolute ruler or absolute rule; having absolute sovereignty; 'an authoritarian regime'; 'autocratic government'; 'despotic rulers'; 'a dictatorial rule that lasted for the duration of the war'; 'a tyrannical government',
82183,00683107,a,9,ruled by or characteristic of a despot; 'moved from a feudal to a despotic order'; 'his administration was arrogant and despotic',
82184,00683291,a,9,ruled by or having the supreme power resting with a monarch; 'monarchal government'; 'monarchical systems',
82185,00683479,a,9,"characterized by a government in which the political authority exercises absolute and centralized control; 'a totalitarian regime crushes all autonomous institutions in its drive to seize the human soul'- Arthur M.Schlesinger, Jr.",
82186,00683768,a,9,based on or subject to individual discretion or preference or sometimes impulse or caprice; 'an arbitrary decision'; 'the arbitrary rule of a dictator';'an arbitrary penalty'; 'of arbitrary size and shape'; 'an arbitrary choice'; 'arbitrary division of the group into halves',
82187,00684153,a,9,not limited by law; 'an absolute monarch',
82188,00684249,a,9,determined by chance or impulse or whim rather than by necessity or reason; 'a capricious refusal'; 'authoritarian rulers are frequently capricious'; 'the victim of whimsical persecutions',
82189,00684518,a,9,having or using the ability to act or decide according to your own discretion or judgment; 'The commission has discretionary power to award extra funds',
82190,00684745,a,9,not subject to individual determination,
82191,00684875,a,9,set down as a rule or guide,
82193,00685151,a,9,extravagantly demonstrative; 'insincere and effusive demonstrations of sentimental friendship'; 'a large gushing female'; 'write unrestrained and gushy poetry',
82194,00685398,a,9,not given to open expression of emotion,
82195,00685535,a,9,cool and formal in manner,
82196,00685653,a,9,capable of being denied or contradicted,
82197,00685783,a,9,possible to disavow,
82198,00685860,a,9,able to be refuted,
82199,00685949,a,9,not possible to deny,
82200,00686080,a,9,not open to question; obviously true; 'undeniable guilt'; 'indisputable evidence of a witness',
82201,00686264,a,9,impossible to deny or disprove; 'incontrovertible proof of the defendant's innocence'; 'proof positive'; 'an irrefutable argument',
82202,00686482,a,9,having the power of explicitly denoting or designating or naming,
82203,00686722,a,9,inclined to or serving for the giving of names; 'the appellative faculty of children'; 'the appellative function of some primitive rites',
82204,00686929,a,9,serving to designate,
82205,00687007,a,9,(logic) used of the class of entities to which a given word correctly applies,
82206,00687142,a,9,designated by or expressed in numbers; 'numerical symbols'; 'a very simple numeric code'; 'numerical equations',
82207,00687319,a,9,referring or pointing to something; 'symbols are inherently referential',
82208,00687449,a,9,having the power of implying or suggesting something in addition to what is explicit,
82209,00687681,a,9,of or relating to a connotation,
82210,00687792,a,9,tending to suggest or imply; 'artifacts suggestive of an ancient society'; 'an implicative statement',
82211,00687999,a,9,derived or capable of being derived by inference,
82212,00688105,a,9,(logic) used of the set of attributes that distinguish the referents of a given word,
82213,00688247,a,9,worthy of reliance or trust; 'a reliable source of information'; 'a dependable worker',
82215,00688741,a,9,consistently reliable or dependable; 'a faithful old car that always gets us home',
82216,00688878,a,9,reliable in matters of fact; 'he was always straight with me',
82217,00688994,a,9,tested and proved to be reliable,
82218,00689118,a,9,reliable as a basis for action; 'a true prophesy',
82219,00689218,a,9,used of values and principles; not subject to change; steady; 'undeviating loyalty',
82220,00689359,a,9,not worthy of reliance or trust; 'in the early 1950s computers were large and expensive and unreliable'; 'an undependable assistant',
82222,00689948,a,9,not consistent or dependable; 'an uncertain recollection of events'; 'a gun with a rather uncertain trigger',
82223,00690112,a,9,of e.g. advice,
82224,00690180,a,9,not independent; 'dependent children',
82225,00690453,a,9,like a baby especially in dependence; 'babelike innocence and dependence',
82226,00690581,a,9,unable to manage independently; 'as helpless as a baby',
82227,00690691,a,9,mutually dependent,
82228,00690804,a,9,(biology) used or benefited by ants through sharing their nest,
82229,00690927,a,9,of plants or persons; having the nature or habits of a parasite or leech; living off another; 'a wealthy class parasitic upon the labor of the masses'; 'parasitic vines that strangle the trees'; 'bloodsucking blackmailer'; 'his indolent leechlike existence',
82230,00691281,a,9,relying on another for support; 'dependent on Middle Eastern oil',
82231,00691434,a,9,(biology; used of organisms (especially of different species)) living together but not necessarily in a relationship beneficial to each,
82232,00691625,a,9,dependent by virtue of youth,
82233,00691708,a,9,free from external control and constraint; 'an independent mind'; 'a series of independent judgments'; 'fiercely independent individualism'; 'an independent republic',
82234,00692238,a,9,of countries; not relying on imports,
82235,00692342,a,9,of persons; free from external control and constraint in e.g. action and judgment,
82236,00692511,a,9,existing as an independent entity; 'the partitioning of India created two separate and autonomous jute economies',
82237,00692681,a,9,having separated or advocating separation from another entity or policy or attitude; 'a breakaway faction',
82238,00692856,a,9,(mathematics) of a binary operation; independent of order; as in e.g. 'a x b = b x a',
82239,00692999,a,9,(biology) not parasitic on another organism,
82241,00693323,a,9,responsible for yourself; 'now out of college and on their own',
82242,00693515,a,9,able to provide for your own needs without help from others; 'a self-sufficing economic unit',
82243,00693705,a,9,financially independent; 'now that my children are self-supporting',
82244,00693834,a,9,without help from others; 'a single-handed accomplishment',
82245,00693952,a,9,marked by vigorous independence of thought and judgment,
82246,00694067,a,9,not affiliated,
82247,00694140,a,9,not contingent; not determined or influenced by someone or something else,
82249,00694512,a,9,(grammar) of a clause; unable to stand alone syntactically as a complete sentence; 'a subordinate (or dependent) clause functions as a noun or adjective or adverb within a sentence',
82250,00694763,a,9,devoted to a cause or party,
82251,00694946,a,9,used of independent armed resistance forces; 'guerrilla warfare'; 'partisan forces',
82252,00695128,a,9,excessively devoted to one faction,
82253,00695227,a,9,based upon or representing political parties; 'party politics'; 'party leaders',
82254,00695361,a,9,devoted to a political party,
82255,00695450,a,9,having or marked by a strong tendency especially a controversial one; 'a tendentious account of recent elections'; 'distinguishing between verifiable fact and tendentious assertion',
82256,00695703,a,9,free from party affiliation or bias,
82257,00695882,a,9,supported by both sides; 'a two-way treaty',
82258,00696017,a,9,not controlled by a party or interest group,
82259,00696118,a,9,not based upon or representing political parties; 'a nonparty regime',
82260,00696242,a,9,without bias,
82261,00696321,a,9,"brought into agreement or cooperation on the side of a faction, party, or cause",
82262,00696490,a,9,joined by treaty or agreement,
82263,00696572,a,9,affiliated with one party or faction,
82264,00696663,a,9,"not affiliated with any faction, party, or cause",
82265,00696804,a,9,"not supporting or favoring either side in a war, dispute, or contest",
82266,00696926,a,9,not affiliated with any one party,
82267,00697017,a,9,(of spatial position) in or brought into line with or into proper relative position; 'well-aligned wheels',
82268,00697204,a,9,beside one another in a row or rank; 'they came down the street two abreast',
82269,00697341,a,9,(of spatial position) out of line with or not in proper relative position,
82270,00697470,a,9,(grammar) describing the structure of a language; 'descriptive linguistics simply describes language',
82271,00697629,a,9,(grammar) giving directives or rules; 'prescriptive grammar is concerned with norms of or rules for correct usage',
82272,00697814,a,9,serving to describe or inform or characterized by description; 'the descriptive variable'; 'a descriptive passage',
82273,00697986,a,9,not successful in describing',
82274,00698075,a,9,worth having or seeking or achieving; 'a desirable job'; 'computer with many desirable features'; 'a desirable outcome',
82275,00698394,a,9,likely to be of benefit or advantage; 'in an advantageous position',
82276,00698520,a,9,greatly desired,
82277,00698629,a,9,capable of arousing desire; 'the delectable Miss Haynes',
82278,00698764,a,9,causing envy; 'an enviable position',
82279,00698855,a,9,(informal) 'a plummy leading role',
82280,00698942,a,9,more desirable than another; 'coffee is preferable to tea'; 'Danny's preferred name is 'Dan'',
82281,00699104,a,9,not desirable; 'undesirable impurities in steel'; 'legislation excluding undesirable aliens',
82282,00699326,a,9,so undesirable as to be incapable of arousing envy; 'unenviable notoriety',
82283,00699457,a,9,interfering; 'unwanted shadows distort the picture'; 'removed the unwanted vegetation',
82284,00699598,a,9,spoiled or ruined or demolished; 'war left many cities destroyed'; 'Alzheimer's is responsible for her destroyed mind',
82285,00700096,a,9,destroyed completely,
82286,00700204,a,9,made uninhabitable; 'upon this blasted heath'- Shakespeare; 'a wasted landscape',
82287,00700402,a,9,affected by blight--anything that mars or events growth or prosperity; 'a blighted rose'; 'blighted urtan districts',
82288,00700582,a,9,reduced to nothingness,
82289,00700689,a,9,destroyed financially; 'the broken fortunes of the family',
82290,00700830,a,9,destroyed or badly damaged by fire; 'a row of burned houses'; 'a charred bit of burnt wood'; 'barricaded the street with burnt-out cars',
82293,00701326,a,9,(informal) destroyed or killed; 'we are gone geese',
82294,00701456,a,9,(psychology) of a conditioned response; caused to die out because of the absence or withdrawal of reinforcement,
82295,00701626,a,9,having fallen in or collapsed; 'a fallen building',
82297,00701941,a,9,having everything destroyed so nothing is left salvageable by an enemy; 'Sherman's scorched earth policy',
82298,00702101,a,9,ruined or disrupted; 'our shattered dreams of peace and prosperity'; 'a tattered remnant of its former strength'; 'my torn and tattered past',
82299,00702309,a,9,used of automobiles; completely demolished; 'the insurance adjuster declared the automobile totaled',
82300,00702463,a,9,laid waste by war,
82301,00702546,a,9,destroyed in an accident; 'a wrecked ship'; 'a highway full of wrecked cars',
82302,00702676,a,9,kept intact or in a particular condition,
82303,00702862,a,9,protected from harm or loss,
82304,00702945,a,9,kept in good condition,
82305,00703049,a,9,capable of being preserved,
82306,00703133,a,9,guarded from injury or destruction,
82307,00703231,a,9,continued in your keeping or use or memory; 'in...the retained pattern of dancers and guests remembered',
82308,00703403,a,9,easily destroyed; 'destructible glassware',
82309,00703558,a,9,capable of being abolished,
82310,00703642,a,9,capable of being destroyed,
82311,00703726,a,9,not easily destroyed,
82312,00703843,a,9,not capable of being destroyed,
82313,00703933,a,9,capable of being determined or limited or fixed; determinable velocities'; 'matters determinable by law',
82314,00704168,a,9,capable of being ascertained or found out; 'ascertainable facts',
82315,00704307,a,9,"capable of being defined, limited, or explained; 'definable terms'; 'definable rules'",
82316,00704448,a,9,capable of being judged or decided; 'judicable issues',
82317,00704558,a,9,not capable of being definitely decided or ascertained,
82318,00704780,a,9,not capable of being determined; 'an indeterminate number of plant species in the jungle',
82319,00704929,a,9,not able to be ascertained; resisting discovery,
82320,00705055,a,9,unknown in advance; 'an unpredictable (or indeterminable) future',
82321,00705180,a,9,precisely determined or limited or defined; especially fixed by rule or by a specific and constant cause; 'a determinate distance'; 'a determinate number'; 'determinate variations in animals',
82322,00705447,a,9,(of a number) having a fixed and unchanging value,
82324,00705961,a,9,determining payment based on the actual cost of production plus an agreed-upon fee or rate of profit; 'a cost-plus government contract',
82325,00706152,a,9,allowing for a spontaneous response; 'an open-ended question',
82326,00706270,a,9,(botany) not continuing to grow indefinitely at the apex; 'determinate growth',
82327,00706424,a,9,(botany) having a usually flat-topped flower cluster in which the main and branch stems each end in a flower that opens before those below it or to its side,
82328,00706633,a,9,(botany) having a capacity for continuing to grow at the apex; 'an indeterminate stem',
82329,00706797,a,9,(botany) having stalked flowers along an elongated stem that continue to open in succession from below as the stem continues to grow; 'lilies of the valley are racemose',
82330,00707021,a,9,being changed over time so as to be e.g. stronger or more complete or more useful; 'the developed qualities of the Hellenic outlook'; 'they have very small limbs with only two fully developed toes on each',
82331,00707336,a,9,fully developed as by discipline or training'a fully formed literary style',
82332,00707464,a,9,devised; developed according to an orderly plan; 'he had well formulated opinions on schooling',
82333,00707616,a,9,fully considered and perfected; 'mature plans',
82334,00707725,a,9,not developed; 'courses in interior design were rare and undeveloped'; 'undeveloped social awareness',
82335,00707938,a,9,beginning to develop; 'a budding genius',
82336,00708032,a,9,lacking in development; 'immature plans'; 'an unformed character',
82337,00708163,a,9,(biology) not fully developed in mature animals; 'rudimentary wings',
82338,00708301,a,9,of or or on the right; 'a dextral gastropod shell with the apex upward has its opening on the right when facing the observer'; 'a dextral flatfish lies with the right eye uppermost',
100706,N0000427,n,10,,
82340,00708709,a,9,(botany) spiraling upward from left to right; 'dextrorse vines',
82342,00709148,a,9,(heraldry) on or starting from the wearer's left; 'bar sinister',
82343,00709267,a,9,(botany) spiraling upward from right to left; 'sinistrorse vines',
82344,00709405,a,9,(physics) involving a transfer of heat; 'a diabatic process',
82345,00709520,a,9,(physics) occurring without loss or gain of heat; 'adiabatic expansion',
82346,00709647,a,9,made different (especially in the course of development) or shown to be different; 'the differentiated markings of butterflies'; 'the regionally differentiated results',
82347,00709894,a,9,set apart from other such things,
82348,00709986,a,9,not differentiated,
82349,00710095,a,9,having experienced or undergone dedifferentiation or the loss of specialization in form or function; 'the hebephrenic--the most severely dedifferentiated of all schizophrenic patients',
82351,00711113,a,9,requiring full use of your abilities or resources; 'ambitious schedule'; 'performed the most challenging task without a mistake',
82352,00711311,a,9,difficult to accomplish; demanding considerable mental effort and skill; 'the arduous work of preparing a dictionary',
82353,00711482,a,9,hard to deal with; especially causing pain or embarrassment; 'awkward (or embarrassing or difficult) moments in the discussion'; 'an awkward pause followed his remark'; 'a sticky question'; 'in the unenviable position of resorting to an act he had planned to save for the climax of the campaign',
82354,00711868,a,9,making great mental demands; hard to comprehend or solve; 'a baffling problem'; 'I faced the knotty problem of what to have for breakfast'; 'a problematic situation at home',
82355,00712135,a,9,having concealed difficulty; 'a catchy question'; 'a tricky recipe to follow',
82356,00712274,a,9,difficult to handle; requiring great tact; 'delicate negotiations with the big powers'; 'hesitates to be explicit on so ticklish a matter',
82357,00712478,a,9,unpredictably difficult in operation; likely to be troublesome; 'rockets were much too fractious to be tested near thigkly populated areas'; 'fractious components of a communication system',
82358,00712723,a,9,requiring great effort; 'a hard-fought primary',
82359,00712828,a,9,of extreme difficulty; requiring the strength of a Hercules; 'a herculean task',
82360,00712975,a,9,exasperatingly difficult to handle or circumvent; 'a nasty problem'; 'a good man to have on your side in a tight situation',
82361,00713158,a,9,full of hardship or trials; 'the rocky road to success'; 'they were having a rough time',
82362,00713306,a,9,very difficult; severely testing stamina or resolution; 'a rugged competitive examination'; 'the rugged conditions of frontier life'; 'the competition was tough'; 'it's a tough life'; 'it was a tough job',
82363,00713571,a,9,requiring effort or concentration; complex and not easy to answer or solve; 'raised serious objections to the proposal'; 'the plan has a serious flaw',
82364,00713775,a,9,difficult to treat or deal with; 'stubborn rust stains'; 'a stubborn case of acne',
82365,00713912,a,9,(informal) impressively difficult; 'a tall order',
82366,00714015,a,9,bristling with perplexities; 'the thorny question of states' rights',
82367,00714136,a,9,difficult to deal with; 'a troublesome infection'; 'a troublesome situation',
82368,00714270,a,9,hard to endure; 'fell upon trying times',
82369,00714363,a,9,causing difficulty in finding an answer or solution; much disputed; 'the vexed issue of priorities'; 'we live in vexed and troubled times',
82370,00714553,a,9,posing no difficulty; requiring little effort; 'an easy job'; 'an easy problem'; 'an easy victory'; 'the house is easy to heat'; 'satisfied with easy answers'; 'took the easy way out of his dilemma',
82371,00715018,a,9,not showing effort or strain; 'a difficult feat performed with casual mastery'; 'careless grace',
82372,00715180,a,9,(informal) not burdensome or demanding; borne or done easily and without hardship; 'what a cushy job!'; 'a soft job',
82373,00715355,a,9,"not involved or complicated; 'an elementary problem in statistics'; 'elementary, my dear Watson'; 'a simple game'; 'found an uncomplicated solution to the problem'",
82374,00715616,a,9,achieved without great effort; 'a hands-down victory',
82375,00715726,a,9,requiring little hard work or exertion; 'a painless solution to the problem',
82376,00715857,a,9,made easy or uncomplicated,
82377,00715940,a,9,lacking obstructions or difficulties; 'the bill's path through the legislature was smooth and orderly',
82378,00716095,a,9,(of mammals) walking on the toes with the posterior part of the foot raised,
82379,00716228,a,9,(of mammals) walking on the whole sole of the foot,
82381,00716649,a,9,refined or imposing in manner or appearance; befitting a royal court; 'a courtly gentleman',
82382,00716823,a,9,used of a person's appearance or behavior; befitting an eminent person; 'his distinguished bearing'; 'the monarch's imposing presence'; 'she reigned in magisterial beauty',
82383,00717079,a,9,lacking dignity,
82384,00717242,a,9,causing awareness of your shortcomings; 'golf is a humbling game',
82385,00717401,a,9,beneath your dignity; 'considered helping with the dishes to be infra dig',
82386,00717534,a,9,inspiring scornful pity; 'how silly an ardent and unsuccessful wooer can be especially if he is getting on in years'- Dashiell Hammett,
82387,00717744,a,9,marked by the qualities of or befitting a statesman; 'a man of statesmanlike judgment'; 'a statesmanlike solution of the present perplexities'-V.L.Parrington,
82388,00718011,a,9,able to take a broad view of negotiations between states,
82389,00718131,a,9,not statesmanlike; 'unstatesmanlike procedure',
82390,00718257,a,9,befitting a president; 'criticized the candidate for not looking presidential',
82391,00718412,a,9,not presidential; 'very unpresidential behavior',
82392,00718539,a,9,(of a flowering plant) having two cotyledons in the seed,
82393,00718656,a,9,(of a flowering plant) having a single cotyledon in the seed as in grasses and lilies,
82394,00718804,a,9,characterized by care and perseverence in carrying out tasks; 'a diligent detective investigates all clues'; 'a diligent search of the files',
82395,00719072,a,9,marked by care and persistent effort; 'her assiduous attempts to learn French'; 'assiduous research'; 'sedulous pursuit of legal and moral principles',
82396,00719289,a,9,characterized by hard work and perseverance,
82397,00719426,a,9,characterized by neglect and undue lack of concern; 'negligent parents'; 'negligent of detail'; 'negligent in his correspondence',
82398,00719719,a,9,failing in what duty requires; 'derelict (or delinquent) in his duty'; 'neglectful of his duties'; 'remiss of you not to pay your bills',
82399,00719945,a,9,lacking in rigor or strictness; 'such lax and slipshod ways are no longer acceptable'; 'lax in attending classes'; 'slack in maintaining discipline',
82400,00720151,a,9,involving a driver of a motor vehicle who leaves the scene of an accident,
82401,00720285,a,9,not showing due care or attention; 'inattentive students'; 'an inattentive babysitter'; 'neglectful parents',
82402,00720464,a,9,reduced in strength or concentration or quality or purity; 'diluted alcohol'; 'a dilute solution'; 'dilute acetic acid',
82403,00720700,a,9,mixed with water; 'sold cut whiskey'; 'a cup of thinned soup',
82404,00720832,a,9,overly diluted; thin and insipid; 'washy coffee'; 'watery milk'; 'weak tea',
82405,00720975,a,9,(of coffee) having cream or milk added,
82406,00721065,a,9,not diluted; 'undiluted milk'; 'an undiluted racial strain',
82407,00721234,a,9,(of coffee) without cream or sugar,
82408,00721320,a,9,of or relating to a solution whose dilution has been reduced,
82409,00721439,a,9,without water; 'took his whiskey neat',
82410,00721555,a,9,(chemistry) used especially of organic compounds; having all available valence bonds filled; 'saturated fats',
82411,00721720,a,9,(chemistry) used of a compound (especially of carbon) containing atoms sharing more than one valence bond; 'unsaturated fats',
82412,00721921,a,9,(of long-chain carbon compounds especially fats) having many unsaturated bonds,
82414,00722288,a,9,being more concentrated than normally possible and therefore not in equilibrium,
82415,00722428,a,9,not saturated; capable of dissolving more of a substance at a given temperature; 'an unsaturated salt solution',
82416,00722597,a,9,skilled in dealing with sensitive matters or people,
82418,00723226,a,9,showing skill and sensitivity in dealing with people; 'by diplomatic conduct he avoided antagonizing anyone'; 'a tactful way of correcting someone',
82419,00723427,a,9,not skilled in dealing with others,
82420,00723520,a,9,overcoming animosity or hostility; 'spoke in a conciliating tone'; 'a conciliatory visit',
82421,00723734,a,9,tending or intended to pacify by acceding to demands or granting concessions; 'the appeasing concessions to the Nazis at Munich'; 'placating (or placative) gestures'; 'an astonishingly placatory speech',
82422,00724031,a,9,intended to reconcile or appease; 'sent flowers as a propitiatory gesture',
82424,00724383,a,9,causing hostility or loss of friendliness; 'her sudden alienating aloofness',
82425,00724516,a,9,direct in spatial dimensions; proceeding without deviation or interruption; straight and short; 'a direct route'; 'a direct flight'; 'a direct hit',
82426,00724878,a,9,of e.g. journeys or deliveries; 'the limousine offers door-to-door service',
82427,00725012,a,9,of a journey especially a flight; 'a nonstop flight to Atlanta',
82428,00725129,a,9,close enough to go straight to the target; 'point-blank range'; 'a point-blank shot',
82429,00725271,a,9,most direct; 'took the shortest and most direct route to town',
82430,00725396,a,9,pointed directly ahead; 'a straightforward gaze',
82432,00725830,a,9,of a route or journey etc; continuing without requiring stops or changes; 'a through street'; 'a through bus'; 'through traffic',
82433,00726016,a,9,not direct in spatial dimension; not leading by a straight line or course to a destination; 'sometimes taking an indirect path saves time'; 'must take an indirect couse in sailing',
82434,00726395,a,9,(used especially of glances) directed to one side with or as if with doubt or suspicion or envy; 'her eyes with their misted askance look'- Elizabeth Bowen; 'sidelong glances',
