nd distinguished pupil of Plato, from Stagira, in Macedonia, teacher of Alexander the Great, and founder of the Peripatetic philosophy",
64697,10771040,n,9,"water containing salts: ""the water in the ocean is all saltwater""",2111
37916,06088087,n,9,"an organization regarded as part of a larger social group: ""the coach said the offensive unit did a good job""; ""after the battle the soldier had trouble rejoining his unit""","1781,1820,2638"
99318,00471468,r,9,"with thickness; in a thick manner: ""spread 1/4 lb softened margarine or cooking fat fairly thickly all over the surface""; ""we were visiting a small, thickly walled and lovely town with straggling outskirt""","1951,2234"
37843,06075183,n,9,"an organization that is a member of another organization (especially a state that belongs to a group of nations); ""the library was a member of the interlibrary loan association""; ""Canada is a member of the United Nations""",1718
38673,06210281,n,9,"the ordinary members of an organization (such as the soldiers excluding the officers of an army); ""the strike was supported by the union rank and file""; ""he rose from the ranks to become a colonel""",1781
64568,10750189,n,9,"(physical chemistry) a sample of matter in which substances in different phases are in equilibrium; ""in a static system oil cannot be replaced by water on a surface""; ""a system generating hydrogen peroxide""",2111
44462,07180689,n,9,"a person who is in a position to give you special assistance: ""he used his business contacts to get an introduction to the governor""",2516
45696,07346178,n,9,"(Old Testament) son of Isaac; brother of Esau; father of the twelve patriarchs of Israel; Jacob wrestled with God and forced God to bless him, so God gave Jacob the new name of Israel (meaning ""one who has been strong against God"")",1565
41169,06667942,n,9,"the solid part of the earth's surface; ""the plane turned away from the sea and moved back over land""; ""the earth shook for several minutes""; ""he dropped the logs on the ground""",2772
55791,09271445,n,9,slime molds; organisms having a noncellular and multinucleate creeping vegetative phase and a propagative spore-producing stage: comprises Myxomycetes and Acrasiomycetes and Plasmodiophoromycetes; in some classifications placed in the kingdom Protoctista,"2158,2172"
7331,01225333,n,9,an unusual ceratopsian dinosaur having many large spikes around the edge of its bony frill and a long nose horn; late Cretaceous,"2158,2188"
7385,01235601,n,9,primitive theropod found in Argentina; early Triassic,"2158,2188"
7444,01245828,n,9,extinct marine reptiles: plesiosaurs; nothosaurs,"2158,2188"
7447,01246301,n,9,extinct marine reptile with a small head on a long neck a short tail and four paddle-shaped limbs; of the Jurassic and Cretaceous,"2158,2188"
7578,01268989,n,9,aggressive cobra widely distributed in Africa; rarely bites but spits venom that may cause blindness,"2158,2188"
10712,01818407,n,9,a family of echinoderms,"2158,2188"
10713,01818549,n,9,a genus of echinoderms,"2158,2188"
10714,01818761,n,9,radially symmetrical marine invertebrates including e.g. starfish and sea urchins and sea cucumbers,"2158,2188"
10715,01819076,n,9,marine invertebrates with tube feet and calcite-covered five-part radially symmetrical bodies,"2158,2188"
10716,01819410,n,9,one of the five areas on the under surface of an echinoderm on which the tube feet are located,2188
10717,01819580,n,9,sea stars,"2158,2188"
10718,01819703,n,9,echinoderms characterized by five arms extending from a central disk,"2158,2188"
10719,01819856,n,9,brittle stars and basket stars,"2158,2188"
10720,01820021,n,9,brittle stars,"2158,2188"
10721,01820149,n,9,an animal resembling a starfish with fragile whiplike arms radiating from a small central disc,"2158,2188"
10722,01820350,n,9,basket stars,"2158,2188"
10725,01820905,n,9,includes many of the basket stars,"2158,2188"
10726,01821054,n,9,a variety of basket star,"2158,2188"
10727,01821165,n,9,basket stars,"2158,2188"
10728,01821282,n,9,sea urchins and sand dollars,"2158,2188"
10729,01821462,n,9,shallow-water echinoderms having soft bodies enclosed in thin spiny globular shells,"2158,2188"
10730,01821675,n,9,a sea urchin that can be eaten,"2158,2188"
10731,01821790,n,9,flat sea urchins,"2158,2188"
10732,01821922,n,9,flattened disklike sea urchins that live on sandy bottoms,"2158,2188"
10733,01822056,n,9,heart-shaped sea urchins,"2158,2188"
10734,01822196,n,9,sea urchin having a heart-shaped body in a rigid spiny shell,"2158,2188"
10735,01822334,n,9,sea lilies,"2158,2188"
10736,01822494,n,9,primitive echinoderms having five or more feathery arms radiating from a central disk,"2158,2188"
10737,01822688,n,9,sea lilies,"2158,2188"
10738,01822814,n,9,crinoid with delicate radiating arms and a stalked body attached to a hard surface,"2158,2188"
10742,01823496,n,9,class of echinoderms including the sea cucumbers,"2158,2188"
10744,01823928,n,9,a family of Holothuroidea,"2158,2188"
10745,01824072,n,9,type genus of the Holothuridae,"2158,2188"
10747,01824376,n,9,any of various organs of locomotion or attachment in invertebrates,"2188,2233"
10749,01824787,n,9,eggs of female fish,"2158,2188"
10750,01824875,n,9,seminal fluid produced by male fish,"2188,2233"
10705,01816880,n,9,any of various mosslike aquatic animals usually forming branching colonies; each polyp having a both mouth and anus within a closed ring of tentacles,"2158,2188"
10757,01826220,n,9,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food,"2158,2188"
10767,01828232,n,9,type genus of the Leporidae: hares,"2158,2188"
10768,01828427,n,9,swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes,"2158,2188"
10770,01828839,n,9,large hare introduced in North America; does not turn white in winter,"2158,2188"
10773,01829412,n,9,the common jackrabbit of grasslands and open areas of western United States; has large black-tipped ears and black streak on the tail,"2158,2188"
10775,01829802,n,9,large large-footed North American hare; white in winter,"2158,2188"
10790,01833283,n,9,originally Old World rats now distributed worldwide; distinguished from the Cricetidae by typically lacking cheek pouches,"2158,2188"
10791,01833646,n,9,type genus of the Muridae: common house mice; upper incisors have a square-notched tip,"2158,2188"
10755,01825890,n,9,hares and rabbits,"2158,2188"
10798,01834808,n,9,common house rats; upper incisors have a beveled edge,"2158,2188"
10756,01826077,n,9,rabbits and hares,"2158,2188"
10758,01826570,n,9,castrated male rabbit,"2158,2188"
10759,01826643,n,9,(usually informal) especially a young rabbit,"2158,2188"
10760,01826754,n,9,Old World rabbits,"2158,2188"
10762,01827234,n,9,North American rabbits,"2158,2188"
10764,01827745,n,9,widely distributed in United States except northwest and far west regions,"2158,2188"
10765,01827907,n,9,of southeastern United States swamps and lowlands,"2158,2188"
10766,01828083,n,9,of marshy coastal areas from North Carolina to Florida,"2158,2188"
10769,01828740,n,9,a young hare especially one in its first year,"2158,2188"
10771,01829005,n,9,large hare of western North America,"2158,2188"
10774,01829633,n,9,large hare of Arctic America almost completely white in winter,"2158,2188"
10777,01830110,n,9,domestic breed with long white silky hair,"2158,2188"
10778,01830220,n,9,pikas and extinct forms,"2158,2188"
10780,01830612,n,9,type genus of the Ochotonidae,"2158,2188"
10781,01830770,n,9,North American pika,"2158,2188"
10782,01830892,n,9,similar to little chief hare and may be same species,"2158,2188"
10784,01831351,n,9,relatively small gnawing animals having a single pair of constantly growing incisor teeth specialized for gnawing,"2158,2188"
10785,01832174,n,9,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails,"2158,2188"
10786,01832457,n,9,true rats and mice and related rodents,"2158,2188"
10787,01832705,n,9,essential equal to suborder Myomorpha with the Dipodidae excluded,"2158,2188"
10788,01832886,n,9,any of various long-tailed rodents similar to but larger than a mouse,"2158,2188"
10789,01833113,n,9,any of various rodents with cheek pouches,"2158,2188"
10792,01833832,n,9,brownish-gray Old World mouse now a common household pest worldwide,"2158,2188"
10793,01833991,n,9,Old World harvest mice,"2158,2188"
10794,01834123,n,9,small reddish-brown Eurasian mouse inhabiting e.g. cornfields,"2158,2188"
10795,01834282,n,9,Old World field mice,"2158,2188"
10796,01834431,n,9,any nocturnal Old World mouse of the genus Apodemus inhabiting woods and fields and gardens,"2158,2188"
10797,01834630,n,9,nocturnal yellowish-brown mouse inhabiting woods and fields and gardens,"2158,2188"
10800,01835173,n,9,brown rat that infests wharves,"2158,2188"
10801,01835259,n,9,brown rat commonly found in sewers,"2158,2188"
10802,01835349,n,9,common household pest originally from Asia that has spread worldwide,"2158,2188"
10803,01835519,n,9,bandicoot rats,"2158,2188"
10804,01835641,n,9,burrowing scaly-tailed rat of India and Ceylon,"2158,2188"
10805,01835777,n,9,jerboa rats,"2158,2188"
10806,01835900,n,9,large Australian rat with hind legs adapted for leaping,"2158,2188"
10807,01836049,n,9,jerboa rats,"2158,2188"
10808,01836168,n,9,leaping rodent of Australian desert areas,"2158,2188"
10809,01836289,n,9,water rats of Australia and New Guinea,"2158,2188"
10810,01836447,n,9,water rats,"2158,2188"
10811,01836567,n,9,any of various amphibious rats,"2158,2188"
10812,01836671,n,9,amphibious rat of Australia and New Guinea,"2158,2188"
10753,01825361,n,9,rabbits; hares; pikas; formerly considered the suborder Duplicidentata of the order Rodentia,"2158,2188"
10813,01836789,n,9,mostly small New World rodents including New World mice and lemmings and voles and hamsters,"2158,2188"
10814,01837451,n,9,a variety of rodent,"2158,2188"
10815,01837569,n,9,New World harvest mice,"2158,2188"
10816,01837715,n,9,any of several small grayish New World mice inhabiting e.g. grain fields,"2158,2188"
10817,01837891,n,9,New World wood mice,"2158,2188"
10818,01838081,n,9,any of various New World woodland mice,"2158,2188"
10819,01838266,n,9,American woodland mouse with white feet and underparts,"2158,2188"
10821,01838611,n,9,burrowing mouse of desert areas of southwestern United States,"2158,2188"
10822,01838772,n,9,large dark mouse of southeastern United States,"2158,2188"
16859,02786592,n,9,a large building for meetings or entertainment,2415
16862,02787084,n,9,a building containing trophies honoring famous people,2415
17227,02841684,n,9,a deck at the top of a passenger ship,"1942,2772"
44962,07248781,n,9,a zoologist who studies the behavior of animals in their natural habitats,"2158,2188"
17250,02845467,n,9,"having a cross section resembling the letter ""I""",2415
17263,02847293,n,9,"a rink with a floor of ice for ice hockey or ice skating: ""the crowd applauded when she skated out onto the ice""","2415,2646"
17235,02843066,n,9,a water pump that uses the kinetic energy of flowing water to force a small fraction of that water to a reservoir at a higher level,2098
17236,02843274,n,9,a mechanism operated by the resistance offered or the pressure transmitted when a liquid is forced through a small opening or tube,2098
17237,02843467,n,9,a diuretic drug (trade name Esidrix and HydroDIURIL) used in the treatment of hypertension,2248
17238,02843666,n,9,a large and efficient version of a water wheel used to drive an electric generator,2098
18114,02973477,n,9,the equipment and supplies of a military force,1781
18117,02973814,n,9,"a coarse fabric, usually of straw or hemp",1787
18120,02974373,n,9,a cover to protect the mattress,2875
18121,02974465,n,9,a protective covering over a mattress to protect it,2410
18122,02974575,n,9,a heavy long-handle hammer used to drive stakes or wedges,"2415,2425"
18123,02974707,n,9,a long stick that a painter uses to support the hand holding the brush,2511
18124,02974845,n,9,"a large tomb, usually above ground","1565,2800"
18125,02974935,n,9,records the highest and lowest temperatures reached during a period of time,1951
18147,02980599,n,9,a nonsteroidal anti-inflammatory (trade name Meclomen) used to treat arthritis,2248
19872,03244591,n,9,a foundation of earth or rock supporting a road,1946
19873,03244730,n,9,a barrier set up by police to stop traffic on a street or road in order to catch a fugitive or inspect traffic etc.,1946
19932,03254490,n,9,a bag filled with rosin; used by baseball pitchers to improve their grip on the ball,2871
19905,03249285,n,9,a woman's foundation garment rolled on to the hips,2875
20596,03351953,n,9,a device for locking together two toothed edges by means of a sliding tab,2875
20609,03353804,n,9,pliers with a joint adjustable to two positions in order to increase the opening of the jaws,"1787,2415"
20611,03354149,n,9,an article of clothing (garment or shoe) that is easily slipped on or off,2875
20614,03354633,n,9,"loose stitch catching only a thread or two of fabric, designed to be invisible from the right side",2425
20616,03354879,n,9,narrow trench for shelter in battle,1946
20617,03354972,n,9,a single-masted sailing vessel,1942
20618,03355090,n,9,a sailing or steam warship having cannons on only one deck,"1781,1942"
20619,03355207,n,9,(British) a bowl into which the dregs of teacups and coffee cups are emptied at table,1957
20620,03355361,n,9,merchandise maintained aboard merchant ships for sale to crew,"1781,2872"
20622,03355618,n,9,cheap clothing (as issued to sailors),2875
20623,03355707,n,9,a store that sells cheap ready-made clothing,2872
20625,03355970,n,9,a slot machine that is used for gambling,"1753,2600"
20626,03356080,n,9,(computers) a socket in a microcomputer that will accept a plug-in circuit board,1355
20627,03356228,n,9,a machine that is operated by the insertion of a coin in a slot,2872
20628,03356439,n,9,the lane for vehicles that are moving slowly,"1707,1946"
20629,03356557,n,9,match or fuse made to burn slowly and evenly,2107
20630,03356658,n,9,carries a rapid flow of water controlled by a sluicegate,2306
20631,03356809,n,9,valve or gate that controls rate of water flow through a sluice,2098
20633,03357161,n,9,a boat that is small,1942
20634,03357382,n,9,a standard port between a computer and its peripherals that is used in some computers,1355
20635,03357552,n,9,a ship that is small,1942
20636,03357648,n,9,personal items sold aboard ship or at a naval base,"1781,2872"
20639,03357997,n,9,an industrial plant for smelting,1787
20640,03358094,n,9,ornamental needlework on a garment that is made by gathering the cloth tightly in stitches,"2425,2875"
20643,03358511,n,9,a small building where smoke is used to cure meat or fish,2415
20646,03358889,n,9,a large tall chimney through which combustion gases and smoke can be evacuated,"2415,2446"
20649,03359258,n,9,a small plane for finish work,"2415,2425"
20650,03359364,n,9,usually inexpensive bar,"1707,2410"
20652,03359620,n,9,a long flexible steel coil for dislodging stoppages in curved pipes,"2415,2425"
21529,03492165,n,9,a stage in a theater on which actors can perform,"2415,2610"
21531,03492574,n,9,a printer that produces characters by applying heat to special heat-sensitive paper,1422
21534,03493289,n,9,a thermometer that uses thermoelectric current to measure temperature,1951
21585,03501507,n,9,a crosspiece spreading the gunnels of a boat; used as a seat in a rowboat,"1942,2415,2772"
21535,03493464,n,9,a thermometer that records temperature variations on a graph as a function of time,1951
21536,03493623,n,9,a hydrometer that includes a thermometer,1951
21538,03493877,n,9,for measuring temperature,1951
21539,03494357,n,9,a nuclear reactor that uses controlled nuclear fusion to generate energy,2097
21542,03494781,n,9,a device for automatically regulating temperature by starting or stoping the supply of heat,2098
21543,03495040,n,9,a pad worn by football players,2875
21549,03496063,n,9,an antineoplastic drug used to treat acute leukemias,2248
21551,03496436,n,9,a tranquilizer (trade name Mellaril) used to treat schizophrenia and other psychotic disorders,2248
21554,03496975,n,9,a rail through which electric current is supplied to an electric locomotive,"1940,2415"
21555,03497107,n,9,a public road from one place to another,1946
21557,03497651,n,9,an arch whose inner curve is drawn with circles having three centers,2446
21558,03497806,n,9,a warship carrying guns on three decks,"1781,1942"
21559,03497903,n,9,any ship having three decks,1942
21560,03497989,n,9,radar that will report altitude as well as azimuth and distance of a target,1951
21561,03498145,n,9,the spine and much of the sides are a different material from the rest of the cover,1422
21562,03498296,n,9,a machine for separating seeds or grain from the husks and straw,"2314,2876"
21564,03498567,n,9,a logic element that performs a threshold operation,"2107,2284"
21565,03498699,n,9,a shop that sells second-hand goods at reduced prices,2872
21567,03498987,n,9,an opening in the vamp of a shoe at the instep,2875
21568,03499105,n,9,worn by hockey goalkeeper and catcher in baseball,2875
21570,03499424,n,9,"the chair of state of a monarch, bishop, etc.","2410,2446"
21571,03499594,n,9,a spinning machine formerly used to twist and wind fibers of cotton or wool continuously,1787
21572,03499737,n,9,the amount passing through a system from input to output (especially of a computer program over a period of time),"1355,1753"
21573,03499907,n,9,a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something,2875
21574,03500051,n,9,a sling-like device used in various primitive societies to propel a dart or spear,"1675,1781"
21575,03500241,n,9,a small cushion that is used for decorative purposes,2410
21578,03500632,n,9,a hole made to fit the thumb (as in a bowling ball),2631
21579,03500758,n,9,the hole in a woodwind that is closed and opened with the thumb,2536
21582,03501147,n,9,formerly used to torture by squeezing the thumbs,1802
21583,03501252,n,9,covering to protect an injured thumb,2232
21584,03501345,n,9,a tack for attaching papers to a bulletin board or drawing board,2479
21586,03501667,n,9,a crown-like jewelled headdress worn by women on formal occasions,"2474,2875"
21587,03501784,n,9,a light mattress,2410
21588,03501851,n,9,automatically prints stock quotations on a paper tape,"1422,1769"
21589,03501972,n,9,paper strip on which a telegraphic ticker prints,1936
21590,03502077,n,9,a window through which tickets are sold,2415
21591,03502176,n,9,a strong fabric used for mattress and pillow covers,1787
21546,03495442,n,9,a light-colored crystalline powder used as a surgical antiseptic; Merthiolate is the trademark,2248
21630,03507762,n,9,a solution of iodine in ethyl alcohol; applied topically to wounds as an antiseptic,2248
21634,03508256,n,9,thin sheet iron or steel coated with tin to prevent rusting; used especially for cans and pots,1787
21640,03508995,n,9,"covering for a wheel: ""automobile tires are usually made of rubber and filled with compressed air""","1946,2875"
21646,03509972,n,9,a yellow crystalline compound that is a flammable toxic derivative of toluene; used as a high explosive,"2110,2111"
21598,03503247,n,9,a piece of jewelry that holds a man's tie in place,2474
21592,03502281,n,9,a small coil in series with the anode of a vacuum tube and coupled to the grid to provide feedback,2284
22647,03664422,n,9,the trait of being frivolous; not serious or sensible,1502
22588,03655506,n,9,unrestrained and exaggerated enthusiasm,"1502,2158"
22590,03655741,n,9,exhaustion resulting from lack of food,2232
22592,03656123,n,9,a activeness of an energetic personality,"1502,2158"
22594,03656520,n,9,an unusual lack of energy,1502
22597,03656931,n,9,the trait of lacking enthusiasm for or interest in things generally,1502
22598,03657083,n,9,inactivity resulting from torpidity and lack of vigor or energy,1502
22599,03657239,n,9,inactivity resulting from a dislike of work,1502
22600,03657385,n,9,the trait of being idle out of a reluctance to work,1502
22601,03657503,n,9,a disinclination to work or exert yourself,1502
22602,03657612,n,9,a failure to be active as a consequence of lack of initiative or ambition,1502
22604,03657928,n,9,a disposition to allow freedom of choice and behavior,1502
22605,03658162,n,9,a disposition to tolerate or accept people or situations,1502
22606,03658319,n,9,"an acceptance of yourself as you are, warts and all",1502
22609,03658769,n,9,too much permissiveness,1502
22610,03658852,n,9,lack of permissiveness or indulgence,1502
22611,03658987,n,9,uncompromising resolution,1502
22612,03659117,n,9,strictness and austerity in conduct and religion,1502
22614,03659390,n,9,"a cheerful, obliging disposition",1502
22616,03659752,n,9,good-natured tolerance of delay or incompetence,1502
22617,03659900,n,9,being without worry or concern,1502
22618,03659990,n,9,a disposition to laugh,1502
22619,03660069,n,9,a temperamental disposition to be agreeable,1502
22620,03660241,n,9,a disposition or tendency to yield to the will of others,1502
22622,03660662,n,9,a disposition to be ill tempered,1502
22623,03660777,n,9,a fussy and eccentric disposition,1502
22624,03660911,n,9,a sullen moody resentful disposition,1502
22626,03661288,n,9,a dislike of anything that causes delay,1502
22628,03661540,n,9,a nature given to nagging or scolding,1502
22629,03661636,n,9,the quality of being given to complaining,1502
22630,03661737,n,9,harshness of manner,1502
22631,03661841,n,9,an ill-tempered and offensive disposition,1502
22632,03662017,n,9,a sharp and bitter manner,1502
22633,03662132,n,9,a disposition to fight,1502
22634,03662296,n,9,obstreperous and defiant aggressiveness,1502
22638,03662887,n,9,undivided commitment or unreserved enthusiasm,1502
22641,03663435,n,9,(psychiatry) an unwillingness to bring repressed feelings into conscious awareness,"1502,1874,2232"
22644,03664048,n,9,a manner that is serious and solemn,1502
22645,03664203,n,9,a trait of dignified seriousness,1502
22646,03664328,n,9,dull and pompous gravity,1502
22648,03664619,n,9,an impulsive scatterbrained manner,1502
22649,03664739,n,9,the trait of being lighthearted and frivolous,1502
22650,03664844,n,9,lightness of manner,1502
22651,03664952,n,9,inappropriate levity,1502
22652,03665047,n,9,the trait of merry joking,1502
22595,03656625,n,9,"the attribute of being restful: ""he longed for the restfulness of home""",1502
22670,03667670,n,9,"the tendency to associate with others and to form social groups: ""mammals as a class are not strong on sociality""",1502
22666,03667153,n,9,"a refusal to speak when expected: ""his silence about my contribution was surprising""",1502
22688,03670730,n,9,an unsociable disposition; avoiding friendship or companionship,1502
22709,03673891,n,9,"the trait of thoughtfulness in action or decision: ""he was a man of judicial deliberation""",1502
22694,03671809,n,9,"a hostile (very unfriendly) disposition; ""he could not conceal his hostility""",1502
22715,03674754,n,9,"desperate recklessness: ""it was a policy of desperation""",1502
22668,03667434,n,9,"secrecy: ""mum's the word""",1502
22655,03665539,n,9,inappropriate playfulness,1502
22656,03665669,n,9,lively high-spirited playfulness,1502
22657,03665790,n,9,the trait of behaving like an imp,1502
22659,03666181,n,9,the trait of being communicative,1502
22660,03666367,n,9,the trait of being blunt and outspoken,1502
22661,03666495,n,9,good-natured frankness,1502
22662,03666573,n,9,a friendly open trait of a talkative person,1502
22663,03666691,n,9,the quality of being facile in speech and writing,1502
22664,03666824,n,9,the quality of being wordy and talkative,1502
22665,03666981,n,9,the trait of being uncommunicative,1502
22667,03667302,n,9,the trait of keeping things secret,1502
22672,03668248,n,9,a jovial nature,1502
22673,03668334,n,9,suitability to be a companion,1502
22674,03668446,n,9,the quality of affording easy familiarity and sociability,1502
22675,03668602,n,9,the quality of being gregarious--having a dislike of being alone,1502
22677,03668938,n,9,a friendly disposition,1502
22678,03669235,n,9,a disposition to be friendly and approachable (easy to talk to),1502
22681,03669778,n,9,spirit of friendly familiarity and goodwill between comrades,1502
22682,03669914,n,9,the attribute of being easy to meet or deal with,1502
23639,03821975,n,9,loyalty to the USA and its institutions,1718
23661,03825241,n,9,the trait of avoiding excesses,"1502,2234"
23693,03829724,n,9,"a disposition to be humble; a lack of false pride: ""not everyone regards humility as a virtue""",1502
23662,03825413,n,9,moderation in or abstinence from alcohol or drugs,"1502,2234"
23663,03825517,n,9,moderation in eating and drinking,"1502,2234"
23664,03825629,n,9,the quality of being inhibited,1502
23665,03825734,n,9,voluntary control over urinary and fecal discharge,1502
23666,03825841,n,9,an inhibition or ban resulting from social custom or emotional aversion,"1502,1960"
23667,03825971,n,9,the trait of lacking discipline,1502
23668,03826148,n,9,an inability to resist the gratification of whims and desires,1502
23669,03826302,n,9,indiscipline with regard to sensuous pleasures,1502
23671,03826540,n,9,the quality of lacking restraint,1502
23672,03826702,n,9,the quality of being intemperate,1502
23674,03827013,n,9,lack of restraint in use of alcohol,1502
23675,03827106,n,9,habitual eating to excess,1502
23676,03827240,n,9,an excessive desire for food,1502
23677,03827353,n,9,extreme gluttony,1502
23678,03827489,n,9,the trait of being spurred on by a dislike of falling below your standards,1502
23681,03828045,n,9,the trait of being vain and conceited,1502
23682,03828199,n,9,outspoken conceit,1502
23683,03828287,n,9,an exaggerated opinion of your own importance,1502
23684,03828437,n,9,adopting a vain conceited posture,1502
23685,03828526,n,9,an exaggerated estimate of your own value and importance,1502
23686,03828648,n,9,overbearing pride evidenced by a superior manner toward inferiors,1502
23687,03828886,n,9,overbearing pride or presumption,1502
23688,03828971,n,9,the trait of being imperious and overbearing,1502
23689,03829111,n,9,the trait of displaying arrogance by patronizing those considered inferior,1502
23691,03829442,n,9,the trait of condescending to those of lower social status,1502
23692,03829588,n,9,tendency to associate with only a select group,1502
23694,03829940,n,9,a disposition to be patient and long suffering,1502
23696,03830187,n,9,the trait of utilizing knowledge and experience with common sense and insight,1502
23697,03830400,n,9,the mental ability to form an opinion by distinguishing and evaluating,1502
23698,03830557,n,9,wisdom in the management of public affairs,1502
23700,03830857,n,9,the trait of being circumspect and prudent,1502
23701,03831006,n,9,the trait of acting stupidly or rashly,1502
23702,03831177,n,9,the trait of being injudicious,1502
23704,03831455,n,9,the capacity to assess situations or circumstances shrewdly and to draw sound conclusions,1502
24352,03926914,n,9,"the product of a body's mass and its velocity; ""the momentum of the particles was deduced from meteoritic velocities""",2097
24350,03926603,n,9,"the property of being comparatively small in weight: ""the lightness of balsa wood""",2097
24355,03927465,n,9,"the property of being physically or mentally strong: ""fatigue sapped his strength""",2234
24327,03922783,n,9,"the physical property of something that has lost its elasticity: ""he objected to the deadness of the tennis balls""",2097
24345,03925830,n,9,the weight of a person's body,2097
24311,03920078,n,9,(physics) the resistance of a material to the establishment of a magnetic field in it,2097
24313,03920487,n,9,(electronics) a response depicting the output-to-input ratio of a transducer as a function of frequency,2284
24314,03920674,n,9,the tendency of a body to return to its original shape after it has been stretched or compressed,"1787,2097"
24315,03920953,n,9,the physical property of a material that can return to its original shape or position after deformation,"1787,2097"
24318,03921400,n,9,the capacity for being stretched,2097
24320,03921687,n,9,the elasticity of a body that has been pulled out of shape by a shearing force,2097
24322,03922099,n,9,the malleability of something that can be drawing into wires or hammered into thin sheets,"1787,2097"
24323,03922244,n,9,the property of being flexible,2097
24324,03922383,n,9,the property of being easily bent without breaking,2097
24325,03922522,n,9,the property of being pliant,2097
24326,03922630,n,9,the lack of elasticity,"1787,2097"
24328,03922952,n,9,the physical property of being inflexible and hard to bend,2097
24329,03923066,n,9,the physical property of being stiff and resisting bending,2097
24330,03923209,n,9,a lack of malleability,"1787,2097"
24331,03923310,n,9,a lack of physical flexibility,2097
24332,03923435,n,9,the property of a body that causes it to have weight in a gravitational field,2097
24333,03923743,n,9,the total mass of living matter in a given unit area,2097
24336,03924293,n,9,the property possessed by a large mass,2097
24337,03924382,n,9,(physics) the mass of a body as measured by its gravitational attraction for other bodies,2097
24338,03924536,n,9,(physics) the mass of a body as determined by the second law of motion from the acceleration of the body when it is subjected to a force that is not due to gravity,2097
24339,03924759,n,9,(chemistry) the mass (in atomic mass units) of an isotope of an element,2111
24340,03924888,n,9,(chemistry) the ratio of the atomic mass of an element to half the atomic mass of carbon-12,2111
24341,03925098,n,9,(chemistry) the sum of the relative atomic masses of the constituent atoms of a molecule,2111
24343,03925511,n,9,one-thousandth of an equivalent,2111
24344,03925610,n,9,the vertical force exerted by a mass as a result of gravity,2097
24348,03926323,n,9,the property of being large in mass,2097
24349,03926465,n,9,the weight of the payload of a missile (not including the weight of the rocket),2097
24351,03926794,n,9,the property of something weightless and insubstantial,2097
24356,03927908,n,9,a place of especial strength,2234
24357,03928010,n,9,the strength of material expressed as the greatest longitudinal stress it can bear without tearing apart,1787
24358,03928177,n,9,muscular strength,2234
24359,03928263,n,9,physical strength,2234
24379,03931015,n,9,(chemistry) a property of atoms or radicals; their combining power given in terms of the number of hydrogen atoms (or the equivalent),2111
24396,03933851,n,9,the strength of a solution; number of molecules of a substance in a given volume (expressed as moles/cubic meter),2111
24415,03936796,n,9,"a vital part that is vulnerable to attack: ""he always goes for the jugular""",2234
24375,03930302,n,9,"the quality of being unaffected by something: ""immunity to criticism""",2234
24360,03928353,n,9,active strength of body or mind,2234
24368,03929314,n,9,"(informal) fortitude; ""he didn't have the guts to try it""","1502,2234"
24361,03928445,n,9,the property of strong in constitution,2234
24362,03928564,n,9,the property of being big and strong,2234
24363,03928681,n,9,the property of being strong and resolute,2234
24364,03928793,n,9,the property of something that is strongly built,2234
24366,03929027,n,9,the property being difficult or impossible to defeat,2234
24367,03929156,n,9,strength of mind that enables one to endure adversity with courage,"1502,2234"
24369,03929458,n,9,the power to withstand hardship or stress,2234
24370,03929627,n,9,patient endurance esp of pain or destress,2234
24371,03929725,n,9,enduring strength and energy,2234
24372,03929835,n,9,patient endurance of pain or unhappiness,2234
24373,03929954,n,9,the power or capacity of an organism to tolerate unfavorable environmental conditions,2234
24381,03931458,n,9,(biology) a relative capacity to unite or react or interact as with antigens or a biological substrate,2158
24382,03931714,n,9,naval strength,1781
24397,03934078,n,9,the concentration of a solution as determined by titration,2111
24398,03934196,n,9,the number of moles of hydrogen ions per cubic decimeter,2111
24400,03934672,n,9,pH values below 7,2111
24401,03934761,n,9,pH values above 7,2111
24402,03934853,n,9,pH value of 7,2111
24403,03934923,n,9,concentration measured by the number of moles of solute per liter of solvent,2111
24405,03935548,n,9,lack of strength or vigor esp from illness,2234
24407,03935817,n,9,the property of weakness by virtue of careless construction,2234
24408,03935946,n,9,lack of physical strength,2234
24409,03936038,n,9,lack of solid substance and strength,2234
24412,03936401,n,9,lack of vitality or energy,2234
24413,03936506,n,9,a place of especial vulnerability,2234
24414,03936691,n,9,a seemingly small but actual mortal weakness,2234
24417,03937076,n,9,susceptibility to injury or attack,2234
24418,03937278,n,9,the property of being helpless in the face of attack,2234
24481,03947354,n,9,"the infrared part of the electromagnetic spectrum; electromagnetic wave frequencies below the visible range: ""they could sense radiation in the infrared""","1951,2097"
24425,03938290,n,9,exposure to the rays of the sun,2234
24453,03942952,n,9,the timing of ignition relative to the position of the piston in an internal-combustion engine,2098
24475,03946500,n,9,(chemistry) the tendency of a gas to expand or escape,2111
24478,03946832,n,9,(of living things) capable of normal growth and development,2158
24479,03946947,n,9,an audible acoustic wave frequency,"1951,2097"
