00449197,r,9,"without assistance: ""I built this house single-handedly""",
100542,N0000163,n,10,,
100543,N0000164,n,10,,
100544,N0000165,n,10,,
100545,N0000166,n,10,,
100546,N0000167,n,10,,
100547,N0000128,n,10,,
100548,N0002190,n,10,,
100549,N0000170,n,10,,
100570,N0000210,n,10,,2446
100551,N0000171,n,10,,
100553,N0001230,n,10,,
100554,N0000189,n,10,,
100555,N0001798,n,10,,
100556,N0000528,n,10,,
100557,N0000360,n,10,,
100558,N0001991,n,10,,
100559,N0000841,n,10,,
100560,N0001787,n,10,,
100562,N0000177,n,10,,
100563,N0001042,n,10,,
100564,N0001043,n,10,,
100565,N0001978,n,10,,
100566,N0000183,n,10,,
100567,N0000437,n,10,,
100568,N0000144,n,10,,
100569,N0001836,n,10,,
100571,N0001031,n,10,,
100572,N0000921,n,10,,
100573,N0000386,n,10,,
100575,N0001760,n,10,,
100576,N0000184,n,10,,
100577,N0000195,n,10,,
100578,N0000777,n,10,,
100579,N0000152,n,10,,
100580,N0001873,n,10,,
100581,N0001878,n,10,,
100583,N0000136,n,10,,
100584,N0000198,n,10,,
100585,N0000199,n,10,,
100586,N0001776,n,10,,
100587,N0000203,n,10,,
100550,N0000172,n,10,,2446
100729,N0000478,n,10,,
100730,N0000483,n,10,,
100731,N0000216,n,10,,
100732,N0000484,n,10,,
100733,N0000489,n,10,,
100734,N0000420,n,10,,
100735,N0000493,n,10,,
100736,N0000660,n,10,,
100737,N0000466,n,10,,
100738,N0000461,n,10,,
100739,N0000458,n,10,,
100740,N0000465,n,10,,
100741,N0000497,n,10,,
100742,N0000498,n,10,,
100743,N0000513,n,10,,
100744,N0000800,n,10,,
100746,N0000260,n,10,,
100747,N0000008,n,10,,
100748,N0000446,n,10,,
100749,N0001130,n,10,,
100750,N0000883,n,10,,
100751,N0000589,n,10,,
100752,N0001886,n,10,,
100753,N0002215,n,10,,
100754,N0000509,n,10,,
100755,N0001770,n,10,,
100756,N0001972,n,10,,
100757,N0001718,n,10,,
100758,N0000799,n,10,,
100759,N0001834,n,10,,
100760,N0001539,n,10,,
100761,N0000363,n,10,,
100762,N0000365,n,10,,
100763,N0000362,n,10,,
100764,N0001057,n,10,,
100765,N0001058,n,10,,
100767,N0000516,n,10,,
100768,N0001431,n,10,,
100769,N0000776,n,10,,
100770,N0000519,n,10,,
100771,N0000520,n,10,,
100772,N0000231,n,10,,
100773,N0001417,n,10,,
100774,N0002280,n,10,,
100775,N0000525,n,10,,
100777,N0000531,n,10,,
100778,N0000529,n,10,,
100779,N0000530,n,10,,
100780,N0000543,n,10,,
100781,N0002149,n,10,,
100782,N0002044,n,10,,
100783,N0000782,n,10,,
100784,N0001146,n,10,,
100785,N0000948,n,10,,
100786,N0000947,n,10,,
100787,N0000533,n,10,,
100789,N0000580,n,10,,
100790,N0000535,n,10,,
100791,N0000537,n,10,,
100792,N0000538,n,10,,
100793,N0000539,n,10,,
100794,N0000191,n,10,,
100795,N0000541,n,10,,
100796,N0000278,n,10,,
100798,N0000545,n,10,,
100799,N0001973,n,10,,
100800,N0001977,n,10,,
100801,N0001586,n,10,,
100802,N0000547,n,10,,
100803,N0002241,n,10,,
100804,N0002242,n,10,,
100805,N0002244,n,10,,
100806,N0002247,n,10,,
100807,N0000582,n,10,,
100808,N0000551,n,10,,
100809,N0000667,n,10,,
100811,N0000552,n,10,,
100812,N0000559,n,10,,
100813,N0001823,n,10,,
100814,N0000561,n,10,,
100815,N0000565,n,10,,
100816,N0001840,n,10,,
100817,N0000574,n,10,,
100819,N0002017,n,10,,
100820,N0000200,n,10,,
100821,N0001795,n,10,,
100822,N0001916,n,10,,
100860,N0001224,n,10,,
100861,N0001767,n,10,,
100862,N0001849,n,10,,
100863,N0000180,n,10,,
100864,N0002109,n,10,,
100866,N0001233,n,10,,
100867,N0000590,n,10,,
100868,N0001569,n,10,,
100869,N0002099,n,10,,
100870,N0001799,n,10,,
100871,N0001349,n,10,,
100872,N0001350,n,10,,
100873,N0000557,n,10,,
100874,N0002226,n,10,,
100876,N0000633,n,10,,
100877,N0000634,n,10,,
100878,N0000635,n,10,,
100879,N0001930,n,10,,
100880,N0000920,n,10,,
100881,N0000640,n,10,,
100882,N0002257,n,10,,
100883,N0000852,n,10,,
100884,N0001244,n,10,,
100885,N0000643,n,10,,
100887,N0000049,n,10,,
100888,N0000645,n,10,,
100889,N0000628,n,10,,
100890,N0000646,n,10,,
100891,N0000647,n,10,,
100892,N0000649,n,10,,
100893,N0000648,n,10,,
100894,N0000658,n,10,,
100895,N0000656,n,10,,
100896,N0001802,n,10,,
100898,N0001092,n,10,,
100899,N0001757,n,10,,
100900,N0001758,n,10,,
100901,N0000682,n,10,,
100902,N0000683,n,10,,
100903,N0001880,n,10,,
100904,N0000687,n,10,,
100905,N0000688,n,10,,
100906,N0000691,n,10,,
100908,N0000792,n,10,,
100909,N0001618,n,10,,
100910,N0000664,n,10,,
100911,N0000663,n,10,,
100912,N0000829,n,10,,
100913,N0000666,n,10,,
100927,N0000467,n,10,,2446
100915,N0002046,n,10,,
100916,N0000690,n,10,,
100917,N0000403,n,10,,
100918,N0001465,n,10,,
100920,N0001412,n,10,,
100921,N0000587,n,10,,
100922,N0000588,n,10,,
100923,N0000586,n,10,,
100924,N0000585,n,10,,
100925,N0000714,n,10,,
100926,N0000608,n,10,,
100929,N0002373,n,10,,
100930,N0000034,n,10,,
100931,N0000773,n,10,,
100932,N0000742,n,10,,
100933,N0000566,n,10,,
100934,N0001526,n,10,,
100935,N0001963,n,10,,
100936,N0001900,n,10,,
100937,N0000434,n,10,,
100938,N0001421,n,10,,
100939,N0001817,n,10,,
100940,N0000732,n,10,,
100942,N0000740,n,10,,
100943,N0001643,n,10,,
100944,N0001647,n,10,,
100945,N0000229,n,10,,
100946,N0000504,n,10,,
100947,N0000370,n,10,,
100948,N0000374,n,10,,
100950,N0000770,n,10,,
100951,N0001826,n,10,,
100952,N0001179,n,10,,
100953,N0000748,n,10,,
100954,N0000749,n,10,,
100955,N0000006,n,10,,
100914,N0001521,n,10,,2446
100957,N0000208,n,10,,
100958,N0001483,n,10,,
100960,N0001018,n,10,,
100961,N0001676,n,10,,
100962,N0000235,n,10,,
100963,N0000381,n,10,,
100964,N0000752,n,10,,
100965,N0001885,n,10,,
100966,N0000965,n,10,,
100967,N0001060,n,10,,
100968,N0001237,n,10,,
100969,N0001874,n,10,,
100970,N0001075,n,10,,
100971,N0000757,n,10,,
100972,N0001533,n,10,,
100974,N0002133,n,10,,
100975,N0001827,n,10,,
100976,N0001235,n,10,,
100977,N0001000,n,10,,
100978,N0002025,n,10,,
100979,N0001385,n,10,,
100981,N0000331,n,10,,
100982,N0001464,n,10,,
100983,N0000765,n,10,,
100984,N0001587,n,10,,
100985,N0000761,n,10,,
100986,N0001640,n,10,,
100987,N0001621,n,10,,
100988,N0001641,n,10,,
100989,N0001642,n,10,,
100990,N0001638,n,10,,
100991,N0000778,n,10,,
100992,N0000775,n,10,,
100993,N0000973,n,10,,
100994,N0000781,n,10,,
100996,N0001979,n,10,,
100997,N0000784,n,10,,
100998,N0001520,n,10,,
100999,N0000790,n,10,,
101000,N0000788,n,10,,
101002,N0001338,n,10,,
101003,N0000787,n,10,,
101004,N0000793,n,10,,
101005,N0000796,n,10,,
101007,N0001203,n,10,,
101008,N0001204,n,10,,
101009,N0001205,n,10,,
101010,N0001419,n,10,,
101011,N0001183,n,10,,
101012,N0002360,n,10,,
101013,N0000811,n,10,,
101014,N0000014,n,10,,
101015,N0001811,n,10,,
101016,N0000825,n,10,,
101017,N0001511,n,10,,
101019,N0000828,n,10,,
101020,N0000202,n,10,,
101021,N0000832,n,10,,
101022,N0000367,n,10,,
101023,N0001876,n,10,,
101024,N0001030,n,10,,
101025,N0001969,n,10,,
101026,N0000858,n,10,,
101027,N0002367,n,10,,
101028,N0000860,n,10,,
101029,N0000214,n,10,,
101030,N0002229,n,10,,
101031,N0001472,n,10,,
101032,N0000873,n,10,,
101033,N0000874,n,10,,
101034,N0002232,n,10,,
101035,N0001094,n,10,,
101036,N0001143,n,10,,
101037,N0000274,n,10,,
101038,N0001110,n,10,,
101040,N0002261,n,10,,
101041,N0002364,n,10,,
101042,N0000842,n,10,,
101043,N0001162,n,10,,
101044,N0000068,n,10,,
101045,N0001786,n,10,,
101046,N0000937,n,10,,
101047,N0001093,n,10,,
101048,N0000753,n,10,,
101049,N0002126,n,10,,
101050,N0001858,n,10,,
101051,N0001394,n,10,,
101053,N0000137,n,10,,
101054,N0001367,n,10,,
101055,N0000935,n,10,,
101056,N0000890,n,10,,
101057,N0001170,n,10,,
101058,N0000273,n,10,,
101059,N0000284,n,10,,
101060,N0000269,n,10,,
101061,N0000281,n,10,,
101062,N0001772,n,10,,
101063,N0000293,n,10,,
101064,N0001939,n,10,,
101065,N0000836,n,10,,
101066,N0002064,n,10,,
101067,N0000652,n,10,,
101069,N0000651,n,10,,
101070,N0000672,n,10,,
101072,N0001507,n,10,,
101073,N0000685,n,10,,
101074,N0000644,n,10,,
101075,N0002015,n,10,,
101076,N0002016,n,10,,
101077,N0000892,n,10,,
101078,N0000122,n,10,,
101079,N0000891,n,10,,
101080,N0000907,n,10,,
101081,N0001780,n,10,,
101082,N0001318,n,10,,
101083,N0001777,n,10,,
101084,N0002273,n,10,,
101085,N0001323,n,10,,
101086,N0001324,n,10,,
101087,N0001831,n,10,,
101089,N0001340,n,10,,
101091,N0001463,n,10,,
101093,N0000230,n,10,,
101094,N0000913,n,10,,
101095,N0000630,n,10,,
101096,N0000999,n,10,,
101097,N0001002,n,10,,
101098,N0001227,n,10,,
101099,N0000823,n,10,,
101100,N0000822,n,10,,
101101,N0001535,n,10,,
101102,N0002174,n,10,,
101103,N0000910,n,10,,
101104,N0001981,n,10,,
101105,N0001108,n,10,,
101106,N0001079,n,10,,
101107,N0000923,n,10,,
101108,N0000924,n,10,,
101109,N0000925,n,10,,
101110,N0000936,n,10,,
101111,N0000938,n,10,,
101114,N0000941,n,10,,
101115,N0000942,n,10,,
101116,N0000945,n,10,,
101117,N0000946,n,10,,
101118,N0001273,n,10,,
101119,N0001374,n,10,,
101120,N0000943,n,10,,
101121,N0000963,n,10,,
101122,N0001597,n,10,,
101123,N0000966,n,10,,
101124,N0000969,n,10,,
101125,N0001059,n,10,,
101126,N0001763,n,10,,
101128,N0001905,n,10,,
101129,N0002221,n,10,,
101130,N0000971,n,10,,
101131,N0000986,n,10,,
101132,N0001176,n,10,,
101133,N0000337,n,10,,
101134,N0000334,n,10,,
101136,N0000979,n,10,,
101137,N0000980,n,10,,
101138,N0000987,n,10,,
101139,N0000988,n,10,,
101140,N0000994,n,10,,
101141,N0000995,n,10,,
101142,N0000996,n,10,,
101143,N0000720,n,10,,
101144,N0000719,n,10,,
101145,N0001891,n,10,,
101146,N0002009,n,10,,
101147,N0000251,n,10,,
101088,N0000247,n,10,,2446
101149,N0001536,n,10,,
101150,N0000894,n,10,,
101152,N0000895,n,10,,
101153,N0001148,n,10,,
101154,N0000856,n,10,,
101155,N0000896,n,10,,
101156,N0002368,n,10,,
101157,N0000147,n,10,,
101158,N0001714,n,10,,
101159,N0001734,n,10,,
101160,N0000857,n,10,,
101161,N0000898,n,10,,
101162,N0000899,n,10,,
101163,N0000310,n,10,,
101164,N0002078,n,10,,
101166,N0001736,n,10,,
101167,N0001542,n,10,,
101168,N0000845,n,10,,
101169,N0000846,n,10,,
101170,N0000814,n,10,,
101171,N0000084,n,10,,
101175,N0001105,n,10,,2446
101174,N0000019,n,10,,
101211,N0002219,n,10,,2446
101176,N0001879,n,10,,
101178,N0000674,n,10,,
101179,N0001015,n,10,,
101180,N0001167,n,10,,
101181,N0000569,n,10,,
101182,N0001906,n,10,,
101183,N0001016,n,10,,
101184,N0000150,n,10,,
101185,N0000032,n,10,,
101186,N0001490,n,10,,
101187,N0001825,n,10,,
101189,N0001023,n,10,,
101190,N0000192,n,10,,
101191,N0001020,n,10,,
101192,N0002195,n,10,,
101193,N0001869,n,10,,
101194,N0001429,n,10,,
101195,N0002104,n,10,,
101196,N0002193,n,10,,
101197,N0002010,n,10,,
101198,N0001544,n,10,,
101199,N0001986,n,10,,
101200,N0000469,n,10,,
101201,N0001136,n,10,,
101202,N0001589,n,10,,
101203,N0002274,n,10,,
101204,N0000870,n,10,,
101205,N0000268,n,10,,
101206,N0002268,n,10,,
101207,N0002267,n,10,,
101208,N0000341,n,10,,
101210,N0002217,n,10,,
101212,N0001415,n,10,,2446
101213,N0002218,n,10,,2446
101214,N0001416,n,10,,
101215,N0001045,n,10,,
101216,N0001044,n,10,,
101217,N0001810,n,10,,
101218,N0001377,n,10,,
101219,N0001800,n,10,,
101220,N0001039,n,10,,
101221,N0001041,n,10,,
101222,N0001442,n,10,,
101223,N0000650,n,10,,
101224,N0001364,n,10,,
101225,N0001049,n,10,,
101226,N0001051,n,10,,
101227,N0002263,n,10,,
101228,N0000201,n,10,,
101229,N0001975,n,10,,
101231,N0002132,n,10,,
101232,N0002369,n,10,,
101233,N0001074,n,10,,
101234,N0001062,n,10,,
101235,N0001063,n,10,,
101236,N0001065,n,10,,
101237,N0001424,n,10,,
101239,N0000013,n,10,,
101240,N0000820,n,10,,
101241,N0002005,n,10,,
101242,N0001067,n,10,,
101243,N0001068,n,10,,
101173,N0000406,n,10,,2446
101245,N0001805,n,10,,
101246,N0001069,n,10,,
101247,N0001070,n,10,,
101248,N0000564,n,10,,
101249,N0001250,n,10,,
101250,N0001251,n,10,,
101252,N0001941,n,10,,
101253,N0001082,n,10,,
101254,N0001064,n,10,,
101255,N0001090,n,10,,
101256,N0001095,n,10,,
101257,N0001096,n,10,,
101258,N0001098,n,10,,
101259,N0001097,n,10,,
101260,N0001100,n,10,,
101261,N0001047,n,10,,
101262,N0000340,n,10,,
101263,N0000279,n,10,,
101264,N0000926,n,10,,
101265,N0002177,n,10,,
101266,N0002029,n,10,,
101267,N0001593,n,10,,
101268,N0001109,n,10,,
101269,N0001525,n,10,,
101270,N0001123,n,10,,
101271,N0001138,n,10,,
101273,N0001554,n,10,,
101274,N0000636,n,10,,
101275,N0001137,n,10,,
101276,N0001337,n,10,,
101277,N0000416,n,10,,
101278,N0001127,n,10,,
101279,N0001140,n,10,,
101281,N0000275,n,10,,
101282,N0001532,n,10,,
101283,N0001437,n,10,,
101284,N0001565,n,10,,
101285,N0001147,n,10,,
101286,N0001145,n,10,,
101288,N0001152,n,10,,
101289,N0001317,n,10,,
101290,N0001153,n,10,,
101291,N0001155,n,10,,
101292,N0001156,n,10,,
101294,N0001166,n,10,,
101295,N0000815,n,10,,
101297,N0001172,n,10,,
101298,N0001182,n,10,,
101299,N0002359,n,10,,
101300,N0001184,n,10,,
101301,N0001186,n,10,,
101302,N0001187,n,10,,
101303,N0001178,n,10,,
101304,N0001177,n,10,,
101305,N0000863,n,10,,
101306,N0001026,n,10,,
101308,N0001258,n,10,,
101309,N0000780,n,10,,
101310,N0001189,n,10,,
101311,N0001191,n,10,,
101312,N0001602,n,10,,
101313,N0001192,n,10,,
101314,N0001194,n,10,,
101315,N0001195,n,10,,
101316,N0001193,n,10,,
101317,N0000581,n,10,,
101318,N0000839,n,10,,
101319,N0001198,n,10,,
101320,N0000023,n,10,,
101321,N0001208,n,10,,
101322,N0000911,n,10,,
101323,N0000912,n,10,,
101324,N0001987,n,10,,
101325,N0001211,n,10,,
101326,N0001218,n,10,,
101327,N0001219,n,10,,
101330,N0001226,n,10,,
101331,N0001228,n,10,,
101332,N0001232,n,10,,
101333,N0001234,n,10,,
101334,N0002075,n,10,,
101335,N0000508,n,10,,
101336,N0001243,n,10,,
101337,N0000112,n,10,,
101287,N0002036,n,10,,2446
101339,N0001240,n,10,,
101340,N0000111,n,10,,
101342,N0001225,n,10,,
101343,N0001247,n,10,,
101347,N0000158,n,10,,2446
101345,N0001252,n,10,,
101346,N0001253,n,10,,
101398,N0001310,n,10,,2446
101348,N0001497,n,10,,
101349,N0001257,n,10,,
101350,N0001254,n,10,,
101351,N0001498,n,10,,
101353,N0002065,n,10,,
101354,N0000795,n,10,,
101355,N0000744,n,10,,
101356,N0001236,n,10,,
101357,N0001213,n,10,,
101358,N0001259,n,10,,
101359,N0001200,n,10,,
101360,N0001202,n,10,,
101361,N0001201,n,10,,
101362,N0000957,n,10,,
101364,N0001274,n,10,,
101366,N0001276,n,10,,
101367,N0001277,n,10,,
101368,N0001278,n,10,,
101369,N0001281,n,10,,
101370,N0001279,n,10,,
101371,N0001282,n,10,,
101372,N0001283,n,10,,
101373,N0001284,n,10,,
101374,N0001286,n,10,,
101375,N0001285,n,10,,
101376,N0001288,n,10,,
101377,N0002063,n,10,,
101378,N0000642,n,10,,
101379,N0001174,n,10,,
101380,N0001294,n,10,,
101381,N0001296,n,10,,
101382,N0000555,n,10,,
101383,N0001291,n,10,,
101384,N0000186,n,10,,
101385,N0001290,n,10,,
101386,N0000689,n,10,,
101387,N0002365,n,10,,
101388,N0000228,n,10,,
101389,N0001297,n,10,,
101390,N0002077,n,10,,
101391,N0002254,n,10,,
101393,N0001307,n,10,,
101394,N0001309,n,10,,
101395,N0000798,n,10,,
101396,N0001590,n,10,,
101397,N0001450,n,10,,
101411,N0001968,n,10,,2446
101399,N0001149,n,10,,
101400,N0002225,n,10,,
101401,N0001311,n,10,,
101402,N0001314,n,10,,
101403,N0001315,n,10,,
101404,N0001316,n,10,,
101405,N0001929,n,10,,
101406,N0002198,n,10,,
101407,N0001217,n,10,,
101408,N0001216,n,10,,
101409,N0002200,n,10,,
101410,N0000606,n,10,,
101412,N0001344,n,10,,
101414,N0001104,n,10,,
101415,N0001332,n,10,,
101416,N0001333,n,10,,
101417,N0001336,n,10,,
101418,N0001804,n,10,,
101419,N0001351,n,10,,
101420,N0001947,n,10,,
101421,N0001950,n,10,,
101422,N0001951,n,10,,
101423,N0001438,n,10,,
101424,N0001928,n,10,,
101425,N0001319,n,10,,
101426,N0001949,n,10,,
101427,N0000106,n,10,,
101428,N0001358,n,10,,
101429,N0001596,n,10,,
101430,N0001410,n,10,,
101344,N0001248,n,10,apparecchio per il montaggio cinematografico,2606
101433,N0001478,n,10,,
101434,N0001651,n,10,,
101435,N0001368,n,10,,
101436,N0002275,n,10,,
101437,N0001376,n,10,,
101438,N0001372,n,10,,
101439,N0001378,n,10,,
101440,N0000304,n,10,,
101441,N0001812,n,10,,
101442,N0001379,n,10,,
101443,N0001383,n,10,,
101444,N0001384,n,10,,
101445,N0001382,n,10,,
101447,N0001388,n,10,,
101448,N0001578,n,10,,
101449,N0001386,n,10,,
101450,N0001181,n,10,,
101451,N0001856,n,10,,
101452,N0001841,n,10,,
101453,N0002224,n,10,,
101454,N0001397,n,10,,
101502,N0001475,n,10,,2446
101456,N0002370,n,10,,
101457,N0001423,n,10,,
101458,N0001966,n,10,,
101459,N0001371,n,10,,
101460,N0001648,n,10,,
101461,N0001401,n,10,,
101462,N0000276,n,10,,
101463,N0001245,n,10,,
101464,N0001154,n,10,,
101466,N0001806,n,10,,
101468,N0000558,n,10,,
101469,N0001408,n,10,,
101470,N0001414,n,10,,
101471,N0002363,n,10,,
101472,N0002362,n,10,,
101473,N0001967,n,10,,
101474,N0001982,n,10,,
101475,N0001430,n,10,,
101476,N0001432,n,10,,
101477,N0002231,n,10,periodo di venti anni,
101478,N0000156,n,10,,
101479,N0000544,n,10,,
101480,N0002253,n,10,,
101481,N0000901,n,10,,
101482,N0001330,n,10,,
101483,N0001449,n,10,,
101484,N0001447,n,10,,
101485,N0001448,n,10,,
101486,N0001580,n,10,,
101489,N0000712,n,10,,
101490,N0000726,n,10,,
101491,N0000888,n,10,,
101492,N0000758,n,10,,
101493,N0000774,n,10,,
101494,N0000769,n,10,,
101495,N0000771,n,10,,
101496,N0001534,n,10,,
101497,N0002115,n,10,,
101498,N0001456,n,10,,
101499,N0001828,n,10,,
101500,N0000876,n,10,,
101501,N0000190,n,10,,
101503,N0001451,n,10,,
101504,N0001452,n,10,,
101506,N0001528,n,10,,
101507,N0001527,n,10,,
101508,N0002176,n,10,,
101509,N0001467,n,10,,
101511,N0001477,n,10,,
101512,N0001476,n,10,,
101513,N0001471,n,10,,
101514,N0001485,n,10,,
101515,N0001732,n,10,,
101516,N0002266,n,10,,
101517,N0001487,n,10,,
101518,N0001488,n,10,,
101519,N0001458,n,10,,
101520,N0001847,n,10,,
101521,N0001454,n,10,,
101522,N0001455,n,10,,
101523,N0001491,n,10,,
101524,N0000934,n,10,,
101525,N0001940,n,10,,
101526,N0001426,n,10,,
101455,N0001398,n,10,,2446
101528,N0001493,n,10,,
101529,N0002276,n,10,,
101530,N0001499,n,10,,
101531,N0001506,n,10,,
101532,N0001508,n,10,,
101533,N0001514,n,10,,
101534,N0001513,n,10,,
101535,N0000708,n,10,,
101536,N0000521,n,10,,
101537,N0001512,n,10,,
101538,N0001515,n,10,,
101539,N0001524,n,10,,
101540,N0001531,n,10,,
101541,N0001530,n,10,,
101542,N0000266,n,10,,
101543,N0001118,n,10,,
101546,N0001555,n,10,,
101547,N0001556,n,10,,
101548,N0000598,n,10,periodo immediatamente successivo alla fine di una guerra,
101549,N0000306,n,10,,
101550,N0000307,n,10,,
101551,N0001818,n,10,,
101552,N0001413,n,10,,
101553,N0001797,n,10,,
101554,N0001516,n,10,,
101555,N0002168,n,10,,
101556,N0002236,n,10,,
101557,N0001575,n,10,,
101558,N0001005,n,10,,
101559,N0001860,n,10,,
101560,N0001568,n,10,,
101561,N0001571,n,10,,
101562,N0001706,n,10,,
101563,N0001572,n,10,,
101564,N0001988,n,10,,
101566,N0001564,n,10,,
101568,N0001756,n,10,,
101569,N0001989,n,10,,
101570,N0001582,n,10,,
101571,N0001583,n,10,,
101572,N0001581,n,10,,
101573,N0001567,n,10,,
101574,N0001566,n,10,,
101575,N0000009,n,10,,
101576,N0001584,n,10,,
101577,N0001594,n,10,,
101578,N0000542,n,10,,
101580,N0001425,n,10,,
101581,N0001588,n,10,,
101582,N0001591,n,10,,
101583,N0001592,n,10,,
101584,N0000982,n,10,,
101585,N0001595,n,10,,
101586,N0000213,n,10,,
101587,N0000728,n,10,,
101588,N0001433,n,10,,
101590,N0001604,n,10,,
101591,N0002138,n,10,,
101592,N0001606,n,10,,
101593,N0001481,n,10,,
101594,N0001622,n,10,,
101595,N0001620,n,10,periodo di quattro anni,
101596,N0001627,n,10,,
101597,N0000007,n,10,,
101598,N0001629,n,10,,
101599,N0001635,n,10,,
101600,N0001601,n,10,,
101601,N0001974,n,10,,
101602,N0000492,n,10,,
101603,N0001652,n,10,,
101604,N0001666,n,10,,
101605,N0000117,n,10,,
101606,N0001661,n,10,,
101607,N0001658,n,10,,
101608,N0001664,n,10,,
101609,N0001663,n,10,,
101611,N0001656,n,10,,
101612,N0001653,n,10,,
101613,N0001662,n,10,,
101614,N0001657,n,10,,
101615,N0001659,n,10,,
101616,N0001665,n,10,,
101617,N0000327,n,10,,
101618,N0002018,n,10,,
101619,N0001479,n,10,,
101620,N0001931,n,10,,
101622,N0001668,n,10,,
101623,N0001961,n,10,,
101624,N0002120,n,10,,
101625,N0001925,n,10,,
101626,N0001704,n,10,,
101628,N0001574,n,10,,
101629,N0000930,n,10,,
101630,N0001995,n,10,,
101631,N0001707,n,10,,
101632,N0001708,n,10,,
101633,N0001280,n,10,,
101634,N0000185,n,10,,
101635,N0001711,n,10,,
101636,N0001710,n,10,,
101638,N0000571,n,10,,
101639,N0000573,n,10,,
101640,N0000575,n,10,,
101641,N0000599,n,10,,
101642,N0001685,n,10,,
101643,N0001712,n,10,,
101644,N0000319,n,10,,
101645,N0001715,n,10,,
101646,N0001690,n,10,,
101647,N0000091,n,10,,
101649,N0001684,n,10,,
101650,N0001387,n,10,,
101651,N0001808,n,10,,
101652,N0001692,n,10,,
101653,N0000435,n,10,,
101654,N0000113,n,10,,
101655,N0000114,n,10,,
101656,N0001703,n,10,,
101657,N0001674,n,10,,
101658,N0001675,n,10,,
101660,N0000131,n,10,,
101661,N0001731,n,10,,
101662,N0001697,n,10,,
101663,N0001691,n,10,,
101664,N0000451,n,10,,
101665,N0001701,n,10,,
101666,N0000460,n,10,,
101667,N0001722,n,10,,
101668,N0001702,n,10,,
101670,N0001649,n,10,,
101671,N0001730,n,10,,
101686,N0001863,n,10,,2446
101673,N0002043,n,10,,
101674,N0001728,n,10,,
101675,N0001729,n,10,,
101676,N0000791,n,10,,
101677,N0000030,n,10,,
101678,N0000833,n,10,,
101679,N0000326,n,10,,
101680,N0002237,n,10,,
101682,N0001846,n,10,,
101683,N0002021,n,10,,
101684,N0001737,n,10,,
101685,N0001017,n,10,,
101687,N0001779,n,10,,2446
101688,N0001741,n,10,,
101689,N0001743,n,10,,
101691,N0000998,n,10,,
101692,N0001819,n,10,,
101693,N0001495,n,10,,
101694,N0000868,n,10,,
101695,N0000869,n,10,,
101696,N0001503,n,10,,
101697,N0001781,n,10,,
101698,N0001501,n,10,,
101699,N0000550,n,10,,
101700,N0001824,n,10,,
101701,N0001755,n,10,,
101702,N0002004,n,10,,
101704,N0001768,n,10,,
101705,N0001775,n,10,,
101706,N0001753,n,10,,
101707,N0001754,n,10,,
101708,N0002352,n,10,,
101709,N0001459,n,10,,
101710,N0002131,n,10,,
101712,N0001914,n,10,,
101713,N0001375,n,10,,
101714,N0001833,n,10,,
101715,N0001838,n,10,,
101716,N0001744,n,10,,
101717,N0000729,n,10,,
101672,N0000491,n,10,,2446
101719,N0000702,n,10,,
101720,N0000703,n,10,,
101721,N0000916,n,10,,
101722,N0000472,n,10,,
101723,N0001519,n,10,,
101725,N0000141,n,10,,
101726,N0001585,n,10,,
101727,N0001855,n,10,,
101728,N0001848,n,10,,
101729,N0001896,n,10,,
101730,N0001853,n,10,,
101731,N0000632,n,10,,
101732,N0000109,n,10,,
101733,N0000120,n,10,,
101735,N0001913,n,10,,
101736,N0001857,n,10,,
101737,N0001854,n,10,,
101738,N0001861,n,10,,
101739,N0000908,n,10,,
101740,N0001381,n,10,,
101741,N0001395,n,10,,
101742,N0001864,n,10,,
101743,N0001816,n,10,,
101744,N0000540,n,10,,
101746,N0001363,n,10,,
101747,N0001229,n,10,,
101748,N0001872,n,10,,
101749,N0000556,n,10,,
101750,N0001868,n,10,,
101751,N0001867,n,10,,
101752,N0001084,n,10,,
101753,N0000499,n,10,,
101754,N0001399,n,10,,
101755,N0001887,n,10,,
101757,N0002182,n,10,,
101759,N0000249,n,10,,2446
101760,N0000245,n,10,,2446
101780,N0001870,n,10,,2446
101761,N0001543,n,10,,
101762,N0001809,n,10,,
101763,N0000727,n,10,,
101764,N0001782,n,10,,
101765,N0000485,n,10,,
101767,N0001504,n,10,,
101768,N0001996,n,10,,
101769,N0001997,n,10,,
101770,N0001888,n,10,,
101771,N0000974,n,10,,
101772,N0001992,n,10,,
101773,N0000604,n,10,,
101774,N0001955,n,10,,
101775,N0000594,n,10,,
101776,N0000592,n,10,,
101777,N0001124,n,10,,
101779,N0001890,n,10,,
101781,N0000263,n,10,,
101782,N0001221,n,10,,
101783,N0001222,n,10,,
101784,N0001850,n,10,,
101785,N0001851,n,10,,
101786,N0001852,n,10,,
101788,N0001908,n,10,,
101789,N0001909,n,10,,
101790,N0001822,n,10,,
101791,N0001839,n,10,,
101792,N0001837,n,10,,
101793,N0001910,n,10,,
101794,N0002007,n,10,,
101795,N0001370,n,10,,
101796,N0000583,n,10,,
101797,N0000706,n,10,,
101798,N0001793,n,10,,
101799,N0001830,n,10,,
101801,N0001934,n,10,,
101802,N0001813,n,10,,
101803,N0001957,n,10,,
101804,N0001814,n,10,,
101805,N0001428,n,10,,
101806,N0000802,n,10,,
101807,N0001035,n,10,,
101809,N0000976,n,10,,
101810,N0001778,n,10,,
