11,νοσηρός,a,aps---mn1-,νοσηρός νοσηρά νοσηρόν,νοσηρός,0
70753,ο01752,ὄξυθριξ,n,----------,,ὄξυθριξ,0
70754,ο01753,ὀξυθυμέω,v,----------,,ὀξυθυμέω,0
70755,ο01754,ὀξυθύμησις,n,n-s---fn3v,ὀξυθυμησέως,ὀξυθύμησις,0
70756,ο01756,ὀξυθυμία,n,n-s---fn1l,ὀξυθυμίας,ὀξυθυμία,0
70757,ο01755,ὀξυθύμια,n,n-p---nn2-,ὀξυθυμίων,ὀξυθύμια,0
70758,ο01757,ὀξυθυμίας,n,n-s---mn1a,ὀξυθυμίου,ὀξυθυμίας,0
70759,ο01758,ὀξύθυμον,n,n-s---nn2-,ὀξυθύμου,ὀξύθυμον,0
70762,ο01761,ὀξυκαμπής,a,aps---cn5s,ὀξυκαμπής ὀξυκαμπής ὀξυκαμπές,ὀξυκαμπής,0
70764,ο01763,ὀξυκάρηνος,a,aps---cn2-,ὀξυκάρηνος ὀξυκάρηνος ὀξυκάρηνον,ὀξυκάρηνος,0
70765,ο01764,ὀξύκεδρος,n,----------,,ὀξύκεδρος,0
70766,ο01765,ὀξυκέλευθος,a,aps---cn2-,ὀξυκέλευθος ὀξυκέλευθος ὀξυκέλευθον,ὀξυκέλευθος,0
70719,ο01718,ὀξύγενυς,n,n-s---mn3v,ὀξυγένυος,ὀξύγενυς,0
70769,ο01768,ὀξυκέφαλος,a,aps---cn2-,ὀξυκέφαλος ὀξυκέφαλος ὀξυκέφαλον,ὀξυκέφαλος,0
70770,ο01769,ὀξυκινησία,n,n-s---fn1l,ὀξυκινησίας,ὀξυκινησία,0
70772,ο01771,ὀξυκοί̈α,n,----------,,ὀξυκοί̈α,0
70773,ο01772,ὀξυκόμινα,n,n-p---nn2-,ὀξυκομίνων,ὀξυκόμινα,0
70774,ο01773,ὀξυκόμμι,n,----------,,ὀξυκόμμι,0
70775,ο01774,ὀξύκομος,a,aps---cn2-,ὀξύκομος ὀξύκομος ὀξύκομον,ὀξύκομος,0
70776,ο01775,ὀξυκόρακος,a,aps---cn2-,ὀξυκόρακος ὀξυκόρακος ὀξυκόρακον,ὀξυκόρακος,0
70777,ο01776,ὀξύκραμα,n,n-s---nn3t,ὀξυκράματος,ὀξύκραμα,0
70779,ο01778,ὀξύκρατον,n,n-s---nn2-,ὀξυκράτου,ὀξύκρατον,0
70780,ο01779,ὀξυκυάμια,n,----------,,ὀξυκυάμια,0
70782,ο01781,ὀξυλάβεια,n,n-s---fn1s,ὀξυλάβειας,ὀξυλάβεια,0
70783,ο01782,ὀξυλαβέω,v,----------,,ὀξυλαβέω,0
70784,ο01783,ὀξυλάβη,n,n-s---fn1e,ὀξυλάβης,ὀξυλάβη,0
70785,ο01787,ὀξύλαβος,n,----------,,ὀξύλαβος,0
70787,ο01785,ὀξυλαβία,n,n-s---fn1l,ὀξυλαβίας,ὀξυλαβία,0
70788,ο01786,ὀξύλαβος,a,aps---cn2-,ὀξύλαβος ὀξύλαβος ὀξύλαβον,ὀξύλαβος,0
70789,ο01788,ὀξυλάλος,a,aps---cn2-,ὀξυλάλος ὀξυλάλος ὀξυλάλον,ὀξυλάλος,0
70790,ο01789,ὀξυλάπαθον,n,n-s---nn2-,ὀξυλαπάθου,ὀξυλάπαθον,0
70791,ο01790,ὀξυλίπαρος,a,aps---cn2-,ὀξυλίπαρος ὀξυλίπαρος ὀξυλίπαρον,ὀξυλίπαρος,0
70792,ο01791,ὀξυλιπὴς,a,----------,,ὀξυλιπὴς,0
70793,ο01792,ὀξυλοβέω,v,----------,,ὀξυλοβέω,0
70794,ο01793,ὀξυμάθεια,n,n-s---fn1s,ὀξυμάθειας,ὀξυμάθεια,0
70796,ο01795,ὀξύμαλον,v,----------,,ὀξύμαλον,0
70797,ο01796,ὀξυμελής,a,aps---cn5s,ὀξυμελής ὀξυμελής ὀξυμελές,ὀξυμελής,0
70800,ο01799,ὀξυμήνιτος,a,aps---cn2-,ὀξυμήνιτος ὀξυμήνιτος ὀξυμήνιτον,ὀξυμήνιτος,0
70801,ο01800,ὀξύμολπος,a,aps---cn2-,ὀξύμολπος ὀξύμολπος ὀξύμολπον,ὀξύμολπος,0
70802,ο01801,ὀξυμυρσίνη,n,n-s---fn1e,ὀξυμυρσίνης,ὀξυμυρσίνη,0
70803,ο01802,ὀξύμωρος,a,aps---cn2-,ὀξύμωρος ὀξύμωρος ὀξύμωρον,ὀξύμωρος,0
70804,ο01803,ὀξύνιτρον,n,n-s---nn2-,ὀξυνίτρου,ὀξύνιτρον,0
70805,ο01804,ὀξυνοσία,n,n-s---fn1l,ὀξυνοσίας,ὀξυνοσία,0
70806,ο01805,ὀξύνους,n,----------,,ὀξύνους,0
70807,ο01806,ὀξυντέον,a,----------,,ὀξυντέον,0
70808,ο01807,ὀξυντήρ,n,n-s---mn3r,ὀξυντῆρος,ὀξυντήρ,0
70810,ο01809,ὀξύνω,v,----------,,ὀξύνω,0
70811,ο01810,ὀξυόδους,n,----------,,ὀξυόδους,0
70812,ο01811,ὀξυόστρακος,a,aps---cn2-,ὀξυόστρακος ὀξυόστρακος ὀξυόστρακον,ὀξυόστρακος,0
70813,ο01812,ὀξυπαγής,a,aps---cn5s,ὀξυπαγής ὀξυπαγής ὀξυπαγές,ὀξυπαγής,0
70814,ο01813,ὀξυπαιδερώτινος,a,----------,,ὀξυπαιδερώτινος,0
70816,ο01815,ὀξυπαροπτάω,v,----------,,ὀξυπαροπτάω,0
70819,ο01818,ὀξυπετής,a,aps---cn5s,ὀξυπετής ὀξυπετής ὀξυπετές,ὀξυπετής,0
70822,ο01821,ὀξύπικρος,a,aps---cn2-,ὀξύπικρος ὀξύπικρος ὀξύπικρον,ὀξύπικρος,0
70823,ο01822,ὀξύπληκτος,a,aps---cn2-,ὀξύπληκτος ὀξύπληκτος ὀξύπληκτον,ὀξύπληκτος,0
70824,ο01823,ὀξυπλήξ,n,n-s---cn3e,ὀξυπλῆγος,ὀξυπλήξ,0
70825,ο01824,ὀξυποδέω,v,----------,,ὀξυποδέω,0
70826,ο01825,ὀξυποδητής,n,n-s---mn1e,ὀξυποδητού,ὀξυποδητής,0
70827,ο01826,ὀξυποδία,n,n-s---fn1l,ὀξυποδίας,ὀξυποδία,0
70828,ο01827,ὀξυπολυφαγία,n,n-s---fn1l,ὀξυπολυφαγίας,ὀξυπολυφαγία,0
70831,ο01830,ὀξύπρῳρος,a,aps---cn2-,ὀξύπρῳρος ὀξύπρῳρος ὀξύπρῳρον,ὀξύπρῳρος,0
70832,ο01831,ὀξυπτέριον,n,n-s---nn2-,ὀξυπτερίου,ὀξυπτέριον,0
70833,ο01832,ὀξύπτερος,a,aps---cn2-,ὀξύπτερος ὀξύπτερος ὀξύπτερον,ὀξύπτερος,0
70834,ο01833,ὀξύπυγος,a,aps---cn2-,ὀξύπυγος ὀξύπυγος ὀξύπυγον,ὀξύπυγος,0
70835,ο01834,ὀξυπύθμενος,a,aps---cn2-,ὀξυπύθμενος ὀξυπύθμενος ὀξυπύθμενον,ὀξυπύθμενος,0
70836,ο01835,ὀξυπύνδαξ,n,----------,,ὀξυπύνδαξ,0
70837,ο01836,ὀξυπώγων,a,aps---cn3n,ὀξυπώγων ὀξυπώγων ὀξυπῶγον,ὀξυπώγων,0
70838,ο01837,ὀξυρεγμία,n,n-s---fn1l,ὀξυρεγμίας,ὀξυρεγμία,0
70839,ο01838,ὀξυρεγμιάω,v,----------,,ὀξυρεγμιάω,0
70842,ο01841,ὀξύρριν,n,n-s---mn3n,ὀξύρρινος,ὀξύρριν,0
70843,ο01842,ὀξυρρόδινον,a,----------,,ὀξυρρόδινον,0
70844,ρ00674,ρροπία,n,n-s---fn1l,ρροπίας,ρροπία,0
70845,ο01843,ὀξύρροπος,a,aps---cn2-,ὀξύρροπος ὀξύρροπος ὀξύρροπον,ὀξύρροπος,0
70846,ο01844,ὀξυρρυγχιτικόν,n,----------,,ὀξυρρυγχιτικόν,0
70848,ο01846,ὀξύς,n,----------,,ὀξύς,0
70849,ο01847,ὀξύς,a,aps---mn4u,ὀξύς ὀξεῖα ὀξύ,ὀξύς,0
70850,ο01848,ὀξυσιτία,n,n-s---fn1l,ὀξυσιτίας,ὀξυσιτία,0
70851,ο01849,ὄξυσμα,n,n-s---nn3t,ὀξύσματος,ὄξυσμα,0
70853,ο01851,ὀξύστομος,a,aps---cn2-,ὀξύστομος ὀξύστομος ὀξύστομον,ὀξύστομος,0
70854,ο01852,ὀξύσχοινος,n,n-s---mn2-,ὀξυσχοίνου,ὀξύσχοινος,0
70855,ο01853,ὀξυτελής,a,aps---cn5s,ὀξυτελής ὀξυτελής ὀξυτελές,ὀξυτελής,0
70856,ο01854,ὀξύτης,n,n-s---fn3d,ὀξύτητος,ὀξύτης,0
70857,ο01855,ὀξυτόμος,a,aps---cn2-,ὀξυτόμος ὀξυτόμος ὀξυτόμον,ὀξυτόμος,0
70858,ο01856,ὀξυτονέω,v,----------,,ὀξυτονέω,0
70859,ο01857,ὀξυτόνησις,n,n-s---fn3v,ὀξυτονησέως,ὀξυτόνησις,0
70860,ο01858,ὀξυτονητέον,a,----------,,ὀξυτονητέον,0
70862,ο01860,ὀξυτόρος,a,aps---cn2-,ὀξυτόρος ὀξυτόρος ὀξυτόρον,ὀξυτόρος,0
70863,ο01861,ὀξυτρίφυλλον,n,n-s---nn2-,ὀξυτριφύλλου,ὀξυτρίφυλλον,0
70864,ο01862,ὀξυτυρία,n,n-s---fn1l,ὀξυτυρίας,ὀξυτυρία,0
70865,ο01863,ὀξύφαγρος,n,n-s---mn2-,ὀξυφάγρου,ὀξύφαγρος,0
70869,ο01867,ὀξυφλεγμασία,n,n-s---fn1l,ὀξυφλεγμασίας,ὀξυφλεγμασία,0
70870,ο01868,ὀξυφοίνικον,n,n-s---nn2-,ὀξυφοινίκου,ὀξυφοίνικον,0
70871,ο01869,ὀξύφρων,n,----------,,ὀξύφρων,0
70872,ο01870,ὀξύφυλλος,a,aps---cn2-,ὀξύφυλλος ὀξύφυλλος ὀξύφυλλον,ὀξύφυλλος,0
70873,ο01871,ὀξυφωνέω,v,----------,,ὀξυφωνέω,0
70874,ο01872,ὀξυφωνία,n,n-s---fn1l,ὀξυφωνίας,ὀξυφωνία,0
70876,ο01874,ὀξύχειρ,n,----------,,ὀξύχειρ,0
70877,ο01875,ὀξυχειρία,n,n-s---fn1l,ὀξυχειρίας,ὀξυχειρία,0
70879,ο01877,ὀξυωπέω,v,----------,,ὀξυωπέω,0
70880,ο01878,ὀξυωπής,a,aps---cn5s,ὀξυωπής ὀξυωπής ὀξυωπές,ὀξυωπής,0
70881,ο01879,ὀξυωπία,n,n-s---fn1l,ὀξυωπίας,ὀξυωπία,0
70882,ο01880,ὀξυωπίας,n,n-s---mn1a,ὀξυωπίου,ὀξυωπίας,0
70884,ο01882,ὀξυώριος,a,aps---cn2-,ὀξυώριος ὀξυώριος ὀξυώριον,ὀξυώριος,0
70885,ο01883,ὀξώδης,a,aps---cn3s,ὀξώδης ὀξώδης ὀξώ͂δες,ὀξώδης,0
70886,ο01884,ὀξωρεγμία,n,n-s---fn1l,ὀξωρεγμίας,ὀξωρεγμία,0
70887,ο01885,ὀξωτός,a,aps---mn1-,ὀξωτός ὀξωτή ὀξωτόν,ὀξωτός,0
70888,ο02715,ὅπᾳ,n,----------,,ὅπᾳ,0
70889,ο02716,ὀπαδός,n,----------,,ὀπαδός,0
70890,ο02717,ὀπάζω,v,----------,,ὀπάζω,0
70892,ο02718,ὀπάλλιος,n,n-s---mn2-,ὀπαλλίου,ὀπάλλιος,0
70893,ο02720,ὄπατρος,a,aps---cn2-,ὄπατρος ὄπατρος ὄπατρον,ὄπατρος,0
70894,ο02721,ὀπάων,n,----------,,ὀπάων,0
70895,ο02722,ὄπεας,n,----------,,ὄπεας,0
70896,ο02723,ὅπερ,n,----------,,ὅπερ,0
70897,ο02724,ὁπέρ,n,----------,,ὁπέρ,0
70898,ο02725,ὁπερδικίω,v,----------,,ὁπερδικίω,0
70899,ο02727,ὀπή,n,n-s---fn1e,ὀπῆς,ὀπή,0
70900,ο02726,ὅπη,r,----------,,ὅπη,0
70901,ο02728,ὀπηδεύω,v,----------,,ὀπηδεύω,0
70902,ο02729,ὀπηδέω,v,----------,,ὀπηδέω,0
70903,ο02730,ὀπήδησις,n,----------,,ὀπήδησις,0
70904,ο02731,ὀπηδός,n,----------,,ὀπηδός,0
70907,ο02879,ὁπῆμος,n,----------,,ὁπῆμος,0
70908,ο02734,ὁπηνίκα,r,----------,,ὁπηνίκα,0
70909,ο02892,ὁπῃοῦν,n,----------,,ὁπῃοῦν,0
70910,ο02958,ὁπῃτιοῦν,r,----------,,ὁπῃτιοῦν,0
70911,ο02735,ὀπίας,n,----------,,ὀπίας,0
70913,ο02737,ὀπιέλαιος,n,n-s---mn2-,ὀπιελαίου,ὀπιέλαιος,0
70914,ο02738,ὀπίζομαι,v,----------,,ὀπίζομαι,0
70915,ο02739,ὀπίζω,v,----------,,ὀπίζω,0
70916,ο02740,ὄπιθε,n,----------,,ὄπιθε,0
70918,,Ὀπικοί,n,----------,,Ὀπικοί,0
70919,ο02742,ὀπικός,a,aps---mn1-,ὀπικός ὀπική ὀπικόν,ὀπικός,0
70920,ο02743,ὄπιον,n,n-s---nn2-,ὀπίου,ὄπιον,0
70921,ο02744,ὀπίουρος,n,n-s---mn2-,ὀπιούρου,ὀπίουρος,0
70924,ο02747,ὄπις,n,n-s---fn3d,ὄπιδος,ὄπις,0
70925,ο02748,ὀπισαμβώ,n,----------,,ὀπισαμβώ,0
70926,ο02749,ὄπισθα,n,----------,,ὄπισθα,0
70927,ο02750,ὀπισθάγκωνα,r,----------,,ὀπισθάγκωνα,0
70929,ο02753,ὄπισθεν,r,rp--------,ὄπισθεν,ὄπισθεν,0
70930,ο02754,ὀπισθέναρ,n,n-s---nn3r,ὀπισθέναρος,ὀπισθέναρ,0
70931,ο02755,ὀπισθένη,n,----------,,ὀπισθένη,0
70934,ο02758,ὀπισθοβάμων,a,aps---cn3n,ὀπισθοβάμων ὀπισθοβάμων ὀπισθοβάμον,ὀπισθοβάμων,0
70935,ο02759,ὀπισθοβαρής,a,aps---cn5s,ὀπισθοβαρής ὀπισθοβαρής ὀπισθοβαρές,ὀπισθοβαρής,0
70936,ο02760,ὀπισθοβάτης,n,n-s---mn1e,ὀπισθοβάτου,ὀπισθοβάτης,0
70937,ο02761,ὀπισθόβολος,a,aps---cn2-,ὀπισθόβολος ὀπισθόβολος ὀπισθόβολον,ὀπισθόβολος,0
70938,ο02762,ὀπισθοβριθής,a,aps---cn5s,ὀπισθοβριθής ὀπισθοβριθής ὀπισθοβριθές,ὀπισθοβριθής,0
70941,ο02765,ὀπισθόδετος,a,aps---cn2-,ὀπισθόδετος ὀπισθόδετος ὀπισθόδετον,ὀπισθόδετος,0
70942,ο02766,ὀπισθοδίωξις,n,n-s---fn3v,ὀπισθοδιωξέως,ὀπισθοδίωξις,0
70943,ο02767,ὀπισθόδομος,n,n-s---mn2-,ὀπισθοδόμου,ὀπισθόδομος,0
70944,ο02768,ὀπισθοδρομέω,v,----------,,ὀπισθοδρομέω,0
70945,ο02769,ὀπισθοδρόμος,a,aps---cn2-,ὀπισθοδρόμος ὀπισθοδρόμος ὀπισθοδρόμον,ὀπισθοδρόμος,0
70947,ο02771,ὀπισθοκέλευθος,a,aps---cn2-,ὀπισθοκέλευθος ὀπισθοκέλευθος ὀπισθοκέλευθον,ὀπισθοκέλευθος,0
70948,ο02772,ὀπισθόκεντρος,a,aps---cn2-,ὀπισθόκεντρος ὀπισθόκεντρος ὀπισθόκεντρον,ὀπισθόκεντρος,0
70949,ο02773,ὀπισθοκέφαλον,n,n-s---nn2-,ὀπισθοκεφάλου,ὀπισθοκέφαλον,0
70950,ο02774,ὀπισθοκόμης,n,n-s---mn1e,ὀπισθοκόμου,ὀπισθοκόμης,0
70952,ο02776,ὀπισθοκράνιον,n,n-s---nn2-,ὀπισθοκρανίου,ὀπισθοκράνιον,0
70953,ο02777,ὀπισθοκρηπίς,n,n-s---fn3d,ὀπισθοκρηπῖδος,ὀπισθοκρηπίς,0
70954,ο02778,ὀπισθοκύφωσις,n,n-s---fn3v,ὀπισθοκυφωσέως,ὀπισθοκύφωσις,0
70956,ο02780,ὀπισθόμηρον,n,n-s---nn2-,ὀπισθομήρου,ὀπισθόμηρον,0
70957,ο02781,ὀπισθονόμος,a,aps---cn2-,ὀπισθονόμος ὀπισθονόμος ὀπισθονόμον,ὀπισθονόμος,0
70958,ο02782,ὀπισθονυγής,a,aps---cn5s,ὀπισθονυγής ὀπισθονυγής ὀπισθονυγές,ὀπισθονυγής,0
70960,ο02784,ὀπισθοπόρος,a,aps---cn2-,ὀπισθοπόρος ὀπισθοπόρος ὀπισθοπόρον,ὀπισθοπόρος,0
70961,ο02785,ὀπισθόπους,n,----------,,ὀπισθόπους,0
70962,ο02786,ὀπισθορμέω,v,----------,,ὀπισθορμέω,0
70963,ο02787,ὀπισθόρμητος,a,aps---cn2-,ὀπισθόρμητος ὀπισθόρμητος ὀπισθόρμητον,ὀπισθόρμητος,0
70964,ο02788,ὀπισθόρροια,n,n-s---fn1s,ὀπισθόρροιας,ὀπισθόρροια,0
71238,ο03062,ὀργιάω,v,----------,,ὀργιάω,0
70923,ο02746,ὀπιπεύω,v,----------,,ὀπιπεύω,0
70968,ο02792,ὀπισθοτονία,n,n-s---fn1l,ὀπισθοτονίας,ὀπισθοτονία,0
70970,ο02794,ὀπισθότονος,a,aps---cn2-,ὀπισθότονος ὀπισθότονος ὀπισθότονον,ὀπισθότονος,0
70971,ο02795,ὀπισθοτονώδης,a,aps---cn3s,ὀπισθοτονώδης ὀπισθοτονώδης ὀπισθοτονώ͂δες,ὀπισθοτονώδης,0
70973,ο02797,ὀπισθοφάλακρος,a,aps---cn2-,ὀπισθοφάλακρος ὀπισθοφάλακρος ὀπισθοφάλακρον,ὀπισθοφάλακρος,0
70974,ο02798,ὀπισθοφανής,a,aps---cn5s,ὀπισθοφανής ὀπισθοφανής ὀπισθοφανές,ὀπισθοφανής,0
70976,ο02800,ὀπισθοφυλακέω,v,----------,,ὀπισθοφυλακέω,0
70977,ο02801,ὀπισθοφυλακία,n,n-s---fn1l,ὀπισθοφυλακίας,ὀπισθοφυλακία,0
70978,ο02802,ὀπισθοφύλαξ,n,n-s---mn3e,ὀπισθοφύλακος,ὀπισθοφύλαξ,0
70979,ο02803,ὀπισθοχειμών,n,n-s---mn3n,ὀπισθοχειμῶνος,ὀπισθοχειμών,0
70980,ο02804,ὀπισθόχειρ,n,----------,,ὀπισθόχειρ,0
70981,ο02805,ὀπισθόψιλος,a,aps---cn2-,ὀπισθόψιλος ὀπισθόψιλος ὀπισθόψιλον,ὀπισθόψιλος,0
70982,ο02806,ὀπισθυπέρα,n,n-s---fn1l,ὀπισθυπέρας,ὀπισθυπέρα,0
70983,ο02807,ὄπισμα,n,n-s---nn3t,ὀπίσματος,ὄπισμα,0
70984,ο02808,ὀπισμός,n,----------,,ὀπισμός,0
70985,ο02809,ὀπισσόδομος,n,----------,,ὀπισσόδομος,0
70988,ο02812,ὀπίσω,r,rp--------,ὀπίσω,ὀπίσω,0
70989,ο02813,ὀπισώτατος,a,aps---mn1-,ὀπισώτατος ὀπισωτάτη ὀπισώτατον,ὀπισώτατος,0
70990,ο02814,ὀπιτθοτίλα,n,----------,,ὀπιτθοτίλα,0
70991,ο02815,ὀπιτίων,n,n-s---mn3n,ὀπιτίωνος,ὀπιτίων,0
70992,ο02816,ὁπλάριον,n,n-s---nn2-,ὁπλαρίου,ὁπλάριον,0
70993,ο02817,ὁπλασία,n,----------,,ὁπλασία,0
70994,ο02818,ὁπλέω,v,----------,,ὁπλέω,0
70995,ο02819,ὁπλή,n,n-s---fn1e,ὁπλῆς,ὁπλή,0
70996,ο02820,ὁπλήεις,a,aps---mn4i,ὁπλήεις ὁπλήεσσα ὁπλήεν,ὁπλήεις,0
70997,,Ὅπλητες,n,----------,,Ὅπλητες,0
70998,ο02821,ὁπλίζω,v,----------,,ὁπλίζω,0
70999,ο02822,ὁπλικός,a,aps---mn1-,ὁπλικός ὁπλική ὁπλικόν,ὁπλικός,0
71000,ο02823,ὁπλισία,n,n-s---fn1l,ὁπλισίας,ὁπλισία,0
71001,ο02824,ὅπλισις,n,n-s---fn3v,ὁπλισέως,ὅπλισις,0
71003,ο02826,ὁπλισμός,n,----------,,ὁπλισμός,0
71004,ο02827,ὁπλιστέον,a,----------,,ὁπλιστέον,0
71005,ο02828,ὁπλιστὴς,n,----------,,ὁπλιστὴς,0
71007,ο02830,ὁπλιτεία,n,n-s---fn1l,ὁπλιτείας,ὁπλιτεία,0
71008,ο02831,ὁπλιτεύω,v,----------,,ὁπλιτεύω,0
71009,ο02832,ὁπλίτης,n,n-s---mn1e,ὁπλίτου,ὁπλίτης,0
71011,ο02834,ὅπλιτις,n,----------,,ὅπλιτις,0
71012,ο02835,ὁπλιτοδρομέω,v,----------,,ὁπλιτοδρομέω,0
71014,ο02837,ὁπλιτοπάλης,n,n-s---mn1e,ὁπλιτοπάλου,ὁπλιτοπάλης,0
70967,ο02791,ὀπισθοτίλη,n,n-s---fn1e,ὀπισθοτίλης,ὀπισθοτίλη,0
71018,ο02841,ὁπλοδότης,n,n-s---mn1e,ὁπλοδότου,ὁπλοδότης,0
71019,ο02842,ὁπλόδουπος,a,aps---cn2-,ὁπλόδουπος ὁπλόδουπος ὁπλόδουπον,ὁπλόδουπος,0
71020,ο02843,ὁπλοθήκη,n,n-s---fn1e,ὁπλοθήκης,ὁπλοθήκη,0
71021,ο02844,ὁπλοκαθαρμός,n,----------,,ὁπλοκαθαρμός,0
71022,ο02845,ὁπλοκαθαρσία,n,n-s---fn1l,ὁπλοκαθαρσίας,ὁπλοκαθαρσία,0
71024,ο02847,ὁπλολογέω,v,----------,,ὁπλολογέω,0
71025,ο02848,ὅπλομαι,v,----------,,ὅπλομαι,0
71026,ο02849,ὁπλομανέω,v,----------,,ὁπλομανέω,0
71030,ο02853,ὁπλομαχία,n,n-s---fn1l,ὁπλομαχίας,ὁπλομαχία,0
71031,ο02854,ὁπλομαχικός,a,aps---mn1-,ὁπλομαχικός ὁπλομαχική ὁπλομαχικόν,ὁπλομαχικός,0
71032,ο02855,ὁπλομάχος,a,aps---cn2-,ὁπλομάχος ὁπλομάχος ὁπλομάχον,ὁπλομάχος,0
71033,ο02856,ὁπλομελέτη,n,n-s---fn1e,ὁπλομελέτης,ὁπλομελέτη,0
71034,ο02857,ὅπλον,n,n-s---nn2-,ὅπλου,ὅπλον,0
71035,ο02858,ὁπλοπαικτής,n,n-s---mn1e,ὁπλοπαικτού,ὁπλοπαικτής,0
71036,ο02859,ὁπλοπάροχος,n,----------,,ὁπλοπάροχος,0
71038,ο02861,ὁπλοποιέω,v,----------,,ὁπλοποιέω,0
71039,ο02862,ὁπλοποιητική,n,n-s---fn1e,ὁπλοποιητικῆς,ὁπλοποιητική,0
71040,ο02863,ὁπλοποιία,n,n-s---fn1l,ὁπλοποιίας,ὁπλοποιία,0
71041,ο02864,ὁπλοποιική,n,n-s---fn1e,ὁπλοποιικῆς,ὁπλοποιική,0
71042,ο02865,ὁπλοποιός,n,----------,,ὁπλοποιός,0
71043,ο02866,ὁπλορχηστής,n,n-s---mn1e,ὁπλορχηστού,ὁπλορχηστής,0
71044,ο02867,ὁπλοσκοπία,n,n-s---fn1l,ὁπλοσκοπίας,ὁπλοσκοπία,0
71045,,Ὁπλόσμιος,n,n-s---cn2-,Ὁπλοσμίου,Ὁπλόσμιος,0
71049,ο02871,ὁπλοφάγος,a,aps---cn2-,ὁπλοφάγος ὁπλοφάγος ὁπλοφάγον,ὁπλοφάγος,0
71050,ο02872,ὁπλοφορέω,v,----------,,ὁπλοφορέω,0
71051,ο02873,ὁπλοφόρος,a,aps---cn2-,ὁπλοφόρος ὁπλοφόρος ὁπλοφόρον,ὁπλοφόρος,0
71052,ο02874,ὁπλοφυλάκιον,n,n-s---nn2-,ὁπλοφυλακίου,ὁπλοφυλάκιον,0
71053,ο02875,ὁπλοφύλαξ,n,----------,,ὁπλοφύλαξ,0
71055,ο02877,ὁπλοχελώνη,n,n-s---fn1e,ὁπλοχελώνης,ὁπλοχελώνη,0
71056,ο02878,ὁπλωνέω,v,----------,,ὁπλωνέω,0
71058,ο02881,ὀποβάλσαμον,n,n-s---nn2-,ὀποβαλσάμου,ὀποβάλσαμον,0
71059,ο02882,ὁποδαπός,a,aps---mn1-,ὁποδαπός ὁποδαπή ὁποδαπόν,ὁποδαπός,0
71060,ο02883,ὀποειδής,a,aps---cn5s,ὀποειδής ὀποειδής ὀποειδές,ὀποειδής,0
71061,ο02884,ὀπόεις,a,----------,,ὀπόεις,0
71062,ο02885,ὁπόθεν,r,----------,,ὁπόθεν,0
71063,ο02886,ὁπόθι,r,----------,,ὁπόθι,0
71064,ο02887,ὅποι,r,----------,,ὅποι,0
71066,ο02888,ὀποκαλπαθίζω,v,----------,,ὀποκαλπαθίζω,0
71017,ο02840,ὁπλοδοτέω,v,----------,,ὁπλοδοτέω,0
71069,ο02891,ὀποκιννάμωμον,n,n-s---nn2-,ὀποκινναμώμου,ὀποκιννάμωμον,0
71070,ο02894,ὀποπάλσαμον,n,----------,,ὀποπάλσαμον,0
71071,ο02895,ὀποπανάκη,n,----------,,ὀποπανάκη,0
71073,ο02897,ὀπός,n,----------,,ὀπός,0
71074,ο02898,ὀπός,n,n-s---mn2-,,ὀπός,0
71075,ο02899,ὁποσάγωνον,n,n-s---nn2-,ὁποσαγώνου,ὁποσάγωνον,0
71076,ο02900,ὁποσάκις,r,----------,,ὁποσάκις,0
71078,ο02902,ὁποσαπλασιοσοῦν,r,----------,,ὁποσαπλασιοσοῦν,0
71079,ο02903,ὁποσάπους,n,----------,,ὁποσάπους,0
71080,ο02904,ὁποσαχῇ,r,----------,,ὁποσαχῇ,0
71081,ο02905,ὁποσαχοῦ,r,----------,,ὁποσαχοῦ,0
71083,ο02907,ὁπόσε,n,----------,,ὁπόσε,0
71084,ο02908,ὁπόσος,a,----------,,ὁπόσος,0
71085,ο02909,ὁποσταῖος,a,aps---mn1-,ὁποσταῖος ὁποσταῖα ὁποσταῖον,ὁποσταῖος,0
71087,ο02911,ὁπόστος,a,aps---mn1-,ὁπόστος ὁπόστη ὁπόστον,ὁπόστος,0
71089,ο02913,ὁπότε,r,rp--------,,ὁπότε,0
71090,ο02914,ὁπότερος,a,aps---mn1-,ὁπότερος ὁπότερα ὁπότερον,ὁπότερος,0
71091,ο02915,ὁποτέρωθε,r,----------,,ὁποτέρωθε,0
71068,ο02890,ὀποκάρπασον,n,n-s---nn2-,ὀποκαρπάσου,ὀποκάρπασον,0
71126,ο02950,ὀπτήτειρα,n,n-s---fn1s,ὀπτήτειρας,ὀπτήτειρα,0
71183,ο03007,ὁραματισμός,n,----------,,ὁραματισμός,0
71185,ο03009,ὄραμνος,n,n-s---mn2-,ὀράμνου,ὄραμνος,0
71241,ο03065,ὀργιλότης,n,n-s---fn3t,ὀργιλότητος,ὀργιλότης,0
71246,ο03070,ὀργιών,n,----------,,ὀργιών,0
71290,ο03113,ὀρειπλανής,a,aps---cn3s,ὀρειπλανής ὀρειπλανής ὀρειπλανές,ὀρειπλανής,0
71338,ο03162,ὀρεσσίχυτος,a,aps---cn2-,ὀρεσσίχυτος ὀρεσσίχυτος ὀρεσσίχυτον,ὀρεσσίχυτος,0
71394,ο03213,ὀρθοδοξέω,v,----------,,ὀρθοδοξέω,0
71863,ο03676,ὀρυχή,n,n-s---fn1e,ὀρυχῆς,ὀρυχή,0
