40,προγεωργός,n,----------,,,,,,0
100405,τ02405,τρέφος,n,n-s---nn3v,τρέφεος,,,,,0
100406,τ02406,τρεφουργία,n,n-s---fn1l,τρεφουργίας,,,,,0
100407,τ02408,τρέφω,v,----------,,,,/tré.pʰɔː/,,0
100408,,Τρεφώνιος,n,----------,,,,,,0
100410,τ02410,τρέχις,n,----------,,,,,,0
100411,τ02411,τρέχνος,n,n-s---nn3v,τρέχνεος,,,,,0
100412,τ02412,τρέχω,v,----------,,,,/tré.kʰɔː/,,0
100413,τ02413,τρέψις,n,n-s---fn3v,τρέψεως,,,,,0
100414,τ02414,τρεψίχρως,n,n-s---cn3d,τρεψίχρωτος,,,,,0
100415,τ02415,τρέω,v,----------,,,,/tré.ɔː/,,0
100416,τ02416,τρηδών,n,n-s---fn3n,τρηδόνος,,,,,0
100417,τ03161,τρῆμα,n,n-s---nn3t,τρήματος,,,/trɛ̂ː.ma/,,0
100418,τ02417,τρηματίζω,v,----------,,,,,,0
100419,τ02418,τρημάτιον,n,n-s---nn2-,τρηματίου,,,,,0
100420,τ02419,τρηματόεις,a,aps---mn4i,τρηματόεις τρηματόεσσα τρηματόεν,,,,,0
100421,τ02420,τρηματώδης,a,aps---cn3s,τρηματώδης τρηματώδης τρηματώ͂δες,,,,,0
100422,τ02421,τρήμη,n,n-s---fn1e,τρήμης,,,,,0
100423,τ03165,τρῆνυ,n,----------,,,,,,0
100424,τ02422,τρήρων,n,n-s---mn3n,τρήρωνος,,,,,0
100425,τ03317,τρῆσις,n,n-s---fn3v,τρήσεως,,,,,0
100426,τ02423,τρητός,a,aps---mn1-,τρητός τρητή τρητόν,,,,,0
100427,τ02424,τρηχαλέος,a,aps---mn1-,τρηχαλέος τρηχαλέη τρηχαλέον,,,,,0
100428,τ02425,τρηχυβατέω,v,----------,,,,,,0
100429,τ02426,τρήχω,n,----------,,,,,,0
100430,τ02427,τρηχώ,n,n-s---fn3c,τρηχοῦς,,,,,0
100433,τ02431,τριαγμός,n,n-s---mn2-,τριαγμοῦ,,,,,0
100434,τ02432,τριάδελφος,a,aps---cn2-,τριάδελφος τριάδελφος τριάδελφον,,,,,0
100435,τ02433,τριαδίζω,v,----------,,,,,,0
100436,τ02434,τριαδικός,a,aps---mn1-,τριαδικός τριαδική τριαδικόν,,,,,0
100437,τ02435,τριάζω,v,v1spia--1-,,,,/tri.áz.dɔː/,,0
100438,τ02436,τρίαινα,n,n-s---fn1s,τρίαινας,,,,,0
100439,τ02437,τριαινοειδής,a,aps---cn5s,τριαινοειδής τριαινοειδής τριαινοειδές,,,,,0
100440,τ02438,τριαινοῦχος,a,aps---cn2-,τριαινοῦχος τριαινοῦχος τριαινοῦχον,,,,,0
100441,τ02439,τριαινόω,v,----------,,,,,,0
100442,τ02440,τριαινώδης,a,aps---cn3s,τριαινώδης τριαινώδης τριαινώ͂δες,,,,,0
100443,τ02441,τριακάδαρχος,n,n-s---mn2-,τριακαδάρχου,,,,,0
100444,τ02442,τριακαιδεκέτης,n,n-s---cn1e,τριακαιδεκέτου,,,,,0
100445,τ02443,τριακάς,n,n-s---fn3d,τριακάδος,,,,,0
100446,τ02444,τριακάσιοι,n,n-p---mn2-,τριακασίων,,,,,0
100451,τ02449,τριακονθήμερος,n,----------,,,,,,0
100452,τ02450,τριάκοντα,n,,,,,,,0
100453,τ02451,τριακοντάδραχμοι,n,----------,,,,,,0
100454,τ02452,τριακονταδύο,n,----------,,,,,,0
100455,τ02453,τριακονταετηρίς,n,n-s---fn3d,τριακονταετηρίδος,,,,,0
100456,τ02454,τριακονταέτης,a,----------,,,,,,0
100457,τ02455,τριακονταετία,n,n-s---fn1l,τριακονταετίας,,,,,0
100459,τ02457,τριακόντακις,r,----------,,,,,,0
100460,τ02458,τριακοντάκλινος,a,aps---cn2-,τριακοντάκλινος τριακοντάκλινος τριακοντάκλινον,,,,,0
100461,τ02459,τριακοντάκωπος,a,aps---cn2-,τριακοντάκωπος τριακοντάκωπος τριακοντάκωπον,,,,,0
100462,τ02460,τριακοντάμερος,n,----------,,,,,,0
100463,τ02461,τριακονταμηνιαῖος,a,aps---cn2-,τριακονταμηνιαῖος τριακονταμηνιαῖος τριακονταμηνιαῖον,,,,,0
100464,τ02462,τριακοντάμηνος,a,aps---cn2-,τριακοντάμηνος τριακοντάμηνος τριακοντάμηνον,,,,,0
100465,τ02463,τριακονταμναῖος,a,aps---mn1-,τριακονταμναῖος τριακονταμναῖα τριακονταμναῖον,,,,,0
100466,τ02464,τριακονταμοιρία,n,n-s---fn1l,τριακονταμοιρίας,,,,,0
100467,τ02465,τριακοντάμοιρος,a,aps---cn2-,τριακοντάμοιρος τριακοντάμοιρος τριακοντάμοιρον,,,,,0
100468,τ02466,τριακονταμόριος,a,aps---cn2-,τριακονταμόριος τριακονταμόριος τριακονταμόριον,,,,,0
100469,τ02467,τριακοντάπεδος,a,aps---cn2-,τριακοντάπεδος τριακοντάπεδος τριακοντάπεδον,,,,,0
100470,τ02468,τριακονταπεντάπηχυς,n,----------,,,,,,0
100471,τ02469,τριακονταπέντε,n,----------,,,,,,0
100472,τ02470,τριακοντάπηχυς,n,----------,,,,,,0
100473,τ02471,τριακονταπλάσιος,a,aps---cn2-,τριακονταπλάσιος τριακονταπλάσιος τριακονταπλάσιον,,,,,0
100474,τ02472,τριακοντάπους,n,----------,,,,,,0
100475,τ02473,τριακοντάρουρος,n,n-s---mn2-,τριακονταρούρου,,,,,0
100476,τ02474,τριακοντάρχης,n,n-s---mn1e,τριακοντάρχου,,,,,0
100477,τ02475,τριακονταρχία,n,n-s---fn1l,τριακονταρχίας,,,,,0
100478,τ02476,τριακοντάς,n,n-s---fn3d,τριακοντάδος,,,,,0
100479,τ02477,τριακοντάσημος,a,aps---cn2-,τριακοντάσημος τριακοντάσημος τριακοντάσημον,,,,,0
100480,τ02478,τριακονταστάδιος,a,aps---cn2-,τριακονταστάδιος τριακονταστάδιος τριακονταστάδιον,,,,,0
100481,τ02479,τριακοντάσχοινος,a,aps---cn2-,τριακοντάσχοινος τριακοντάσχοινος τριακοντάσχοινον,,,,,0
100482,τ02480,τριακοντατέσσαρες,n,----------,,,,,,0
100483,τ02481,τριακοντατρεῖς,n,----------,,,,,,0
100484,τ02482,τριακοντάφυλλος,n,n-s---mn2-,τριακονταφύλλου,,,,,0
100486,τ02484,τριακοντάχους,n,----------,,,,,,0
100487,τ02485,τριακοντάχρονος,a,aps---cn2-,τριακοντάχρονος τριακοντάχρονος τριακοντάχρονον,,,,,0
100488,τ02486,τριακόντερος,n,----------,,,,,,0
100489,τ02487,τριακοντετηρίς,n,n-s---fn3d,τριακοντετηρίδος,,,,,0
100494,τ02492,τριακοντόκωπος,n,----------,,,,,,0
100495,τ02493,τριακοντόριον,n,n-s---nn2-,τριακοντορίου,,,,,0
100496,τ02494,τριακόντορος,n,----------,,,,,,0
100497,τ02495,τριακοντούτης,n,----------,,,,,,0
100498,τ02496,τριακοντώρυγος,a,aps---cn2-,τριακοντώρυγος τριακοντώρυγος τριακοντώρυγον,,,,,0
100499,τ02497,τριακοσιεξήκοντα,n,----------,,,,,,0
100501,τ02499,τριακοσιοστός,a,aps---mn1-,τριακοσιοστός τριακοσιοστή τριακοσιοστόν,,,,,0
100502,τ02500,τριακοσιόχους,n,----------,,,,,,0
100503,τ02501,τριακοσταῖος,a,aps---mn1-,τριακοσταῖος τριακοσταῖα τριακοσταῖον,,,,,0
100504,τ02502,τριακοστημόριον,n,n-s---nn2-,τριακοστημορίου,,,,,0
100505,τ02503,τριακόστια,n,n-p---nn2-,τριακοστ[ίων,,,,,0
100506,τ02504,τριακοστόδυος,a,aps---cn2-,τριακοστόδυος τριακοστόδυος τριακοστόδυον,,,,,0
100508,τ02506,τριακοστός,a,aps---mn1-,τριακοστός τριακοστή τριακοστόν,,,,,0
100509,τ02507,τριακτήρ,n,n-s---mn3r,τριακτῆρος,,,,,0
100510,τ02509,τριανδρικὸν,n,----------,,,,,,0
100511,τ02510,τρίανδρος,n,n-s---mn2-,τριάνδρου,,,,,0
100512,τ02511,τριάντα,n,----------,,,,,,0
100513,τ02512,τριαντέτης,a,aps---cn3s,τριαν[τέτης τριαν[τέτης τριαν[τέτες,,,,,0
100514,τ02513,τριάνωρ,n,n-s---fn3r,τριάνορος,,,,,0
100515,τ02514,τριάξ,n,----------,,,,,,0
100516,τ02515,τριάριοι,n,n-p---mn2-,τριαρίων,,,,,0
100517,τ02516,τριάρμενος,a,aps---cn2-,τριάρμενος τριάρμενος τριάρμενον,,,,,0
100518,τ02517,τριαρχία,n,n-s---fn1l,τριαρχίας,,,,,0
100519,τ02518,τριάς,n,n-s---fn3d,τριάδος,,,,,0
100520,τ02894,τριᾶς,n,n-s---mn2c,τριᾶ,,,,,0
100521,τ02519,τριασμός,n,----------,,,,,,0
100522,τ02520,τριάσσω,v,----------,,,,,,0
100523,τ02521,τριατέτταρα,n,n-p---nn2-,τριατεττάρων,,,,,0
100524,τ02508,τριαῦλαξ,n,----------,,,,,,0
100526,τ02523,τριαύχην,n,----------,,,,,,0
100527,τ02524,τριβαία,n,n-s---fn1l,τριβαίας,,,,,0
100528,τ02525,τριβακός,a,aps---mn1-,τριβακός τριβακή τριβακόν,,,,,0
100529,,Τριβαλλοί,n,----------,,,,,,0
100530,τ02526,τρίβανον,n,n-s---nn2-,τριβάνου,,,,,0
100531,τ02527,τριβανόω,v,----------,,,,,,0
100532,τ02528,τρίβαξ,n,----------,,,,,,0
100533,τ02529,τριβάρβαρος,a,aps---cn2-,τριβάρβαρος τριβάρβαρος τριβάρβαρον,,,,,0
100534,τ02530,τριβάς,n,n-s---fn3d,τριβάδος,,,,,0
100535,τ02531,τρίβασμος,n,n-s---mn2-,τριβάσμου,,,,,0
100536,τ02532,τρίβαφος,a,aps---cn2-,τρίβαφος τρίβαφος τρίβαφον,,,,,0
100537,τ02533,τριβελής,a,aps---cn5s,τριβελής τριβελής τριβελές,,,,,0
100538,τ02534,τριβεύς,n,n-s---mn3v,τριβέως,,,,,0
100539,τ02535,τριβή,n,n-s---fn1e,τριβῆς,,,/tri.bɛ̌ː/,,0
100540,τ02536,τριβήν,n,n-s---mn3n,τριβῆνος,,,,,0
100544,τ02540,τριβολεκτράπελος,n,----------,,,,,,0
100545,τ02541,τριβολοειδῶς,r,----------,,,,,,0
100546,τ02542,τρίβολος,n,n-s---mn2-,τριβόλου,,,,,0
100547,τ02543,τρίβος,n,n-s---fn2-,τρίβου,,,/trí.bos/,,0
100548,τ02544,τρίβραχυς,n,n-s---mn3s,τριβράχεος,,,/trí.bra.kʰys/,,0
100549,τ02545,τρίβροχος,a,aps---cn2-,τρίβροχος τρίβροχος τρίβροχον,,,,,0
100550,τ02546,τριβυνάριον,n,n-s---nn2-,τριβυναρίου,,,,,0
100551,τ02547,τρίβω,v,----------,,,,/trǐː.bɔː/,,0
100552,τ02548,τριβώλετερ,n,----------,,,,,,0
100553,τ02549,τρίβωμος,n,n-s---mn2-,τριβώμου,,,,,0
100554,τ02550,τρίβων,n,----------,,,,,,0
100555,τ02551,τρίβων,a,----------,,,,,,0
100556,τ02552,τριβωνάριον,n,n-s---nn2-,τριβωναρίου,,,,,0
100557,τ02553,τριβωνεύομαι,v,----------,,,,,,0
100558,τ02554,τριβωνικῶς,r,----------,,,,,,0
100559,τ02555,τριβώνιον,n,n-s---nn2-,τριβωνίου,,,,,0
100561,τ02557,τριβωνοφορέω,v,----------,,,,,,0
100562,τ02558,τριβωνοφορία,n,n-s---fn1l,τριβωνοφορίας,,,,,0
100563,τ02559,τριβωνοφόρος,a,aps---cn2-,τριβωνοφόρος τριβωνοφόρος τριβωνοφόρον,,,,,0
100564,τ02560,τριβωνώδης,a,aps---cn3s,τριβωνώδης τριβωνώδης τριβωνώ͂δες,,,,,0
100565,τ02561,τρίγαμος,a,aps---cn2-,τρίγαμος τρίγαμος τρίγαμον,,,,,0
100566,τ02562,τριγένεια,n,n-s---fn1s,τριγένειας,,,,,0
100567,τ02563,τριγενής,a,aps---cn5s,τριγενής τριγενής τριγενές,,,/tri.ɡe.nɛ̌ːs/,,0
100568,τ02564,τριγέννητος,a,aps---cn2-,τριγέννητος τριγέννητος τριγέννητον,,,,,0
100569,τ02565,τριγερήνιος,a,aps---cn2-,τριγερήνιος τριγερήνιος τριγερήνιον,,,,,0
100570,τ02566,τριγέρων,n,n-s---cn3t,τριγέροντος,,,,,0
100571,τ02567,τριγίγας,n,n-s---mn3d,τριγίγαντος,,,,,0
100572,,Τριγκαῖος,n,----------,,,,,,0
100573,τ02568,τρίγλη,n,n-s---fn1e,τρίγλης,,,,,0
100574,τ02569,τρίγληνος,a,aps---cn2-,τρίγληνος τρίγληνος τρίγληνον,,,,,0
100575,τ02570,τριγλίζω,v,----------,,,,,,0
100576,τ02571,τριγλίον,n,n-s---nn2-,τριγλίου,,,,,0
100577,τ02572,τριγλίς,n,n-s---fn3d,τριγλίδος,,,,,0
100578,τ02576,τριγλῖτις,n,n-s---fn3d,τριγλίτιδος,,,,,0
100579,τ02573,τριγλοβόλος,a,aps---cn2-,τριγλοβόλος τριγλοβόλος τριγλοβόλον,,,,,0
100580,τ02574,τριγλοφία,n,----------,,,,,,0
100582,τ02577,τριγλυφία,n,n-s---fn1e,τριγλυφου,,,,,0
100583,τ02578,τρίγλυφος,a,aps---cn2-,τρίγλυφος τρίγλυφος τρίγλυφον,,,,,0
100584,τ02727,τριλγλώχις,n,----------,,,,,,0
100585,τ02579,τριγμός,n,----------,,,,,,0
100586,τ02580,τριγόλας,n,n-s---mn1a,τριγόλου,,,,,0
100587,τ02581,τρίγομφος,a,aps---cn2-,τρίγομφος τρίγομφος τρίγομφον,,,,,0
100588,τ02582,τριγονέω,v,----------,,,,,,0
100589,τ02583,τριγονία,n,n-s---fn1l,τριγονίας,,,,,0
100590,τ02584,τρίγονος,a,aps---cn2-,τρίγονος τρίγονος τρίγονον,,,,,0
100591,τ02585,τριγράμματος,a,aps---cn2-,τριγράμματος τριγράμματος τριγράμματον,,,,,0
100592,τ02586,τρίγυον,n,n-s---nn2-,τριγύου,,,,,0
100597,τ02591,τριγωνισμός,n,----------,,,,,,0
100598,τ02592,τριγωνιστί,r,----------,,,,,,0
100599,τ02593,τριγωνίστρια,n,n-s---fn1s,τριγωνίστριας,,,,,0
100600,τ02594,τριγωνοδεσπότης,n,n-s---mn1e,τριγωνοδεσπότου,,,,,0
100602,τ02596,τριγωνοκρατορέω,v,----------,,,,,,0
100603,τ02597,τριγωνοκράτωρ,n,n-s---mn3r,τριγωνοκράτορος,,,,,0
100604,τ02599,τρίγωνος,a,aps---cn2-,τρίγωνος τρίγωνος τρίγωνον,,,,,0
100605,τ02600,τριγωνότης,n,n-s---fn3t,τριγωνότητος,,,,,0
100606,τ02601,τρίδακνος,a,aps---cn2-,τρίδακνος τρίδακνος τρίδακνον,,,,,0
100607,τ02602,τριδακτυλιαῖος,a,aps---mn1-,τριδακτυλιαῖος τριδακτυλιαῖα τριδακτυλιαῖον,,,,,0
100608,τ02603,τριδάκτυλος,a,aps---cn2-,τριδάκτυλος τριδάκτυλος τριδάκτυλον,,,,,0
100609,τ02604,τρίδειρος,a,aps---cn2-,τρίδειρος τρίδειρος τρίδειρον,,,,,0
100610,τ02606,τριδέσποτος,a,aps---cn2-,τριδέσποτος τριδέσποτος τριδέσποτον,,,,,0
100611,τ02607,τρίδουλος,a,aps---cn2-,τρίδουλος τρίδουλος τρίδουλον,,,,,0
100612,τ02608,τρίδραχμος,a,aps---cn2-,τρίδραχμος τρίδραχμος τρίδραχμον,,,,,0
100613,τ02609,τρίδυμος,a,aps---cn2-,τρίδυμος τρίδυμος τρίδυμον,,,,,0
100614,τ02610,τριδύναμος,a,aps---cn2-,τριδύναμος τριδύναμος τριδύναμον,,,,,0
100615,τ02611,τρίδωρος,a,aps---cn2-,τρίδωρος τρίδωρος τρίδωρον,,,,,0
100616,τ02612,τριέγγονος,n,----------,,,,,,0
100617,τ02613,τρίειδος,a,aps---cn2-,τρίειδος τρίειδος τρίειδον,,,,,0
100619,τ02615,τριέλιξ,n,n-s---fn3v,τριέλικος,,,,,0
100620,τ02616,τριέμβολος,a,aps---cn2-,τριέμβολος τριέμβολος τριέμβολον,,,,,0
100621,τ02617,τρίενος,a,aps---cn2-,τρίενος τρίενος τρίενον,,,,,0
100622,τ02618,τριέσπερος,a,aps---cn2-,τριέσπερος τριέσπερος τριέσπερον,,,,,0
100623,τ02619,τριετήρ,n,n-s---mn3r,τριετῆρος,,,,,0
100624,τ02620,τριετήρης,a,aps---cn3s,τριετήρης τριετήρης τριετή͂ρες,,,,,0
100625,τ02621,τριετηρικός,a,aps---mn1-,τριετηρικός τριετηρική τριετηρικόν,,,,,0
100626,τ02622,τριετηρίς,n,n-s---fn3d,τριετηρίδος,,,,,0
100627,τ02623,τριέτηρος,a,aps---cn2-,τριέτηρος τριέτηρος τριέτηρον,,,,,0
100628,τ02624,τριέτης,a,----------,,,,,,0
100629,τ02625,τριετία,n,n-s---fn1l,τριετίας,,,,,0
100630,τ02626,τριετίζω,v,----------,,,,,,0
100631,τ02628,τριζυγής,a,aps---cn5s,τριζυγής τριζυγής τριζυγές,,,,,0
100632,τ02629,τρίζυγος,n,----------,,,,,,0
100633,τ02630,τρίζω,v,----------,,,,,,0
100634,τ02627,τριζῳδία,n,n-s---fn1l,τριζῳδίας,,,,,0
100635,τ02631,τρίζωος,a,aps---cn2-,τρίζωος τρίζωος τρίζωον,,,,,0
100636,τ02632,τριηκάς,n,----------,,,,,,0
100637,τ02633,τριηκοντήμερος,n,----------,,,,,,0
100638,τ02634,τριημερία,n,n-s---fn1l,τριημερίας,,,,,0
100639,τ02635,τριήμερος,a,aps---cn2-,τριήμερος τριήμερος τριήμερον,,,,,0
100640,τ02636,τριημιαρτάβιον,n,n-s---nn2-,τριημιαρταβίου,,,,,0
100641,τ02637,τριημίγυον,n,n-s---nn2-,τριημιγύου,,,,,0
100645,τ02641,τριημιπλίνθιον,n,n-s---nn2-,τριημιπλινθίου,,,,,0
100646,τ02642,τριημιπόδιον,n,n-s---nn2-,τριημιποδίου,,,,,0
100647,τ02643,τριημίςεον,n,----------,,,,,,0
100648,τ02648,τριημῖστατῆρα,n,----------,,,,,,0
100649,τ02644,τριημιτόνιον,n,n-s---nn2-,τριημιτονίου,,,,,0
100650,τ02645,τριημίτονον,n,n-s---nn2-,τριημιτόνου,,,,,0
100651,τ02646,τριημιχοῖνιξ,n,n-s---mn3v,τριημιχοίνικος,,,,,0
100652,τ02647,τριημιωβόλιον,n,n-s---nn2-,τριημιωβολίου,,,,,0
100653,τ02649,τριηραρχέω,v,----------,,,,,,0
100654,τ02650,τριηράρχημα,n,n-s---nn3t,τριηραρχήματος,,,,,0
100655,τ02651,τριηράρχης,n,----------,,,,,,0
100656,τ02652,τριηραρχία,n,n-s---fn1l,τριηραρχίας,,,,,0
100658,τ02654,τριήραρχος,n,n-s---mn2-,τριηράρχου,,,,,0
100659,τ02655,τριηραύλης,n,n-s---mn1e,τριηραύλου,,,,,0
100660,τ02656,τριηρέτης,n,----------,,,,,,0
100661,τ02657,τριηρημιολία,n,----------,,,,,,0
100662,τ02659,τριήρης,a,aps---cn5s,τριήρης τριήρης τριῆρες,,,/tri.ɛ̌ː.rɛːs/,,0
100663,τ02660,τριηρικός,a,aps---mn1-,τριηρικός τριηρική τριηρικόν,,,,,0
100664,τ02661,τριηριτεύω,v,----------,,,,,,0
100665,τ02662,τριηρίτης,n,n-s---mn1e,τριηρίτου,,,,,0
100666,τ02663,τριηριτικός,a,aps---mn1-,τριηριτικός τριηριτική τριηριτικόν,,,,,0
100667,τ02664,τριηρονόμος,n,n-s---mn2-,τριηρονόμου,,,,,0
100668,τ02665,τριηροποιικός,a,aps---mn1-,τριηροποιικός τριηροποιική τριηροποιικόν,,,,,0
100669,τ02666,τριηροποιός,a,aps---cn2-,τριηροποιός τριηροποιός τριηροποιόν,,,,,0
100670,τ02667,τριθάλασσος,a,aps---cn2-,τριθάλασσος τριθάλασσος τριθάλασσον,,,,,0
100671,τ02668,τριθάλεια,n,n-p---nn2-,τριθαλείων,,,,,0
100672,τ02669,τριθαλής,a,----------,,,,,,0
100673,τ02670,τριθέλυμνος,n,----------,,,,,,0
100674,τ02671,τρίθετος,a,aps---cn2-,τρίθετος τρίθετος τρίθετον,,,,,0
100675,τ02672,τριθημέρη,r,----------,,,,,,0
100676,τ02673,τριθημερινός,n,----------,,,,,,0
100677,τ02674,τρίθυρον,n,n-s---nn2-,τριθύρου,,,,,0
100678,τ02675,τρίιππον,n,n-s---nn2-,τριίππου,,,,,0
100679,τ02676,τρικαλάμιος,a,aps---mn1-,τρικαλάμιος τρικαλάμια τρικαλάμιον,,,,,0
100681,,Τρικάρανος,n,n-s---mn2-,Τρικαράνου,,,,,0
100682,τ02678,τρικάρηνος,a,aps---cn2-,τρικάρηνος τρικάρηνος τρικάρηνον,,,,,0
100683,τ02679,τρίκαρπος,a,aps---cn2-,τρίκαρπος τρίκαρπος τρίκαρπον,,,,,0
100684,τ02680,τρικέλλαρον,n,n-s---nn2-,τρικελλάρου,,,,,0
100685,τ02681,τρίκεντρον,n,n-s---nn2-,τρικέντρου,,,,,0
100686,τ02682,τρικεράμιον,n,n-s---nn2-,τρικεραμίου,,,,,0
100687,τ02683,τρικέραμον,n,n-s---nn2-,τρικεράμου,,,,,0
100688,τ02684,τρικέρβερος,a,aps---cn2-,τρικέρβερος τρικέρβερος τρικέρβερον,,,,,0
100689,τ02685,τρικέφαλος,a,aps---cn2-,τρικέφαλος τρικέφαλος τρικέφαλον,,,,,0
100690,τ02686,τρικλαρία,n,----------,,,,,,0
100693,τ02689,τρικλινικός,a,aps---mn1-,τρικλινικός τρικλινική τρικλινικόν,,,,,0
100694,τ02690,τρικλίνιον,n,n-s---nn2-,τρικλινίου,,,,,0
100695,τ02691,τρίκλινος,a,aps---cn2-,τρίκλινος τρίκλινος τρίκλινον,,,,,0
100696,τ02692,τρίκλυστος,a,aps---cn2-,τρίκλυστος τρίκλυστος τρίκλυστον,,,,,0
100697,τ02693,τρίκλωνος,a,aps---cn2-,τρίκλωνος τρίκλωνος τρίκλωνον,,,,,0
100699,τ02695,τρίκογχος,a,aps---cn2-,τρίκογχος τρίκογχος τρίκογχον,,,,,0
100700,τ02696,τρικόκκια,n,----------,,,,,,0
100701,τ02697,τρίκοκκος,a,aps---cn2-,τρίκοκκος τρίκοκκος τρίκοκκον,,,,,0
100702,τ02698,τρικόλλυβον,n,n-s---nn2-,τρικολλύβου,,,,,0
100703,τ02699,τρικόλουρος,a,aps---cn2-,τρικόλουρος τρικόλουρος τρικόλουρον,,,,,0
100704,τ02700,τρικόλωνος,a,aps---cn2-,τρικόλωνος τρικόλωνος τρικόλωνον,,,,,0
100705,τ02701,τρικόνητος,a,aps---cn2-,τρικόνητος τρικόνητος τρικόνητον,,,,,0
100706,τ02702,τρίκορος,a,aps---cn2-,τρίκορος τρίκορος τρίκορον,,,,,0
100707,τ02703,τρικόρυθος,a,aps---cn2-,τρικόρυθος τρικόρυθος τρικόρυθον,,,,,0
100708,τ02704,τρίκορυς,n,n-s---mn3d,τρικόρυθος,,,,,0
100709,τ02705,τρικόρυφος,a,aps---cn2-,τρικόρυφος τρικόρυφος τρικόρυφον,,,,,0
100710,τ02706,τρικόρωνος,a,aps---cn2-,τρικόρωνος τρικόρωνος τρικόρωνον,,,,,0
100711,τ02707,τρικοτυλιαῖος,a,aps---mn1-,τρικοτυλιαῖος τρικοτυλιαῖα τρικοτυλιαῖον,,,,,0
100712,τ02708,τρικότυλος,a,aps---mn1-,τρικότυλος τρικοτύλη τρικότυλον,,,,,0
100713,τ02709,τρίκρανος,a,aps---cn2-,τρίκρανος τρίκρανος τρίκρανον,,,,,0
100714,τ02710,τρικράσπεδος,a,aps---cn2-,τρικράσπεδος τρικράσπεδος τρικράσπεδον,,,,,0
100715,τ02711,τρίκροος,a,aps---mn1-,τρίκροος τρίκροα τρίκροον,,,,,0
100716,τ02712,τρίκροτος,a,aps---cn2-,τρίκροτος τρίκροτος τρίκροτον,,,,,0
100717,τ02713,τρίκτειρα,n,----------,,,,,,0
100718,τ02714,τρικτυαρχέω,v,----------,,,,,,0
100719,τ02715,τρίκτυπος,a,aps---cn2-,τρίκτυπος τρίκτυπος τρίκτυπον,,,,,0
100720,τ02716,τρικτύς,n,----------,,,,,,0
100721,τ02717,τρικύαθος,a,aps---cn2-,τρικύαθος τρικύαθος τρικύαθον,,,,,0
100723,τ02719,τρικύλιστος,a,aps---cn2-,τρικύλιστος τρικύλιστος τρικύλιστον,,,,,0
100724,τ02720,τρικυμία,n,n-s---fn1l,τρικυμίας,,,/tri.kyː.mí.aː/,,0
100725,τ02721,τρικώλιος,a,aps---cn2-,τρικώλιος τρικώλιος τρικώλιον,,,,,0
100726,τ02722,τρίκωλος,a,aps---cn2-,τρίκωλος τρίκωλος τρίκωλον,,,,,0
100727,τ02723,τρικώμαρχος,n,n-s---mn2-,τρικωμάρχου,,,,,0
100728,τ02724,τρικωμία,n,n-s---fn1l,τρικωμίας,,,,,0
100729,τ02725,τρίκωμος,n,n-s---mn2-,τρικώμου,,,,,0
100730,τ02726,τριλάγυνος,a,aps---cn2-,τριλάγυνος τριλάγυνος τριλάγυνον,,,,,0
100731,τ02728,τρίλεκτος,a,aps---cn2-,τρίλεκτος τρίλεκτος τρίλεκτον,,,,,0
100732,τ02729,τρίλινος,a,aps---cn2-,τρίλινος τρίλινος τρίλινον,,,,,0
100733,τ02730,τρίλλιστος,a,aps---cn2-,τρίλλιστος τρίλλιστος τρίλλιστον,,,,,0
100734,τ02731,τρίλοβος,a,aps---cn2-,τρίλοβος τρίλοβος τρίλοβον,,,,,0
100735,τ02732,τριλογέω,v,----------,,,,,,0
100736,τ02733,τριλογία,n,n-s---fn1l,τριλογίας,,,/tri.lo.ɡí.aː/,,0
100741,τ02738,τριμαστιγίας,n,n-s---mn1a,τριμαστιγίου,,,,,0
100742,τ02739,τριμάτιον,n,n-s---nn2-,τριματίου,,,,,0
100743,τ02740,τριμάχιον,n,n-s---nn2-,τριμαχίου,,,,,0
100744,τ02741,τριμελής,a,aps---cn5s,τριμελής τριμελής τριμελές,,,,,0
100745,τ02742,τριμέρεια,n,n-s---fn1s,τριμέρειας,,,,,0
100746,τ02743,τριμερής,a,aps---cn5s,τριμερής τριμερής τριμερές,,,,,0
100747,τ02744,τριμερίζω,v,----------,,,,,,0
100748,τ02745,τρίμετρος,a,aps---cn2-,τρίμετρος τρίμετρος τρίμετρον,,,,,0
100749,τ02746,τριμηνία,n,n-s---fn1l,τριμηνίας,,,,,0
100751,τ02748,τρίμηνος,a,aps---cn2-,τρίμηνος τρίμηνος τρίμηνον,,,,,0
100752,τ02749,τριμήσιον,n,n-s---nn2-,τριμησίου,,,,,0
100753,τ02750,τριμίγματος,a,aps---cn2-,τριμίγματος τριμίγματος τριμίγματον,,,,,0
100754,τ02751,τριμιτάριος,n,n-s---mn2-,τριμιταρίου,,,,,0
100755,τ02752,τριμίτινος,a,aps---mn1-,τριμίτινος τριμιτίνη τριμίτινον,,,,,0
100756,τ02753,τρίμιτος,a,aps---cn2-,τρίμιτος τρίμιτος τρίμιτον,,,,,0
100757,τ03164,τρῖμμα,n,n-s---nn3t,τρίμματος,,,,,0
100758,τ02754,τριμμάτιον,n,n-s---nn2-,τριμματίου,,,,,0
100759,τ02755,τριμματολογέω,v,----------,,,,,,0
100760,τ02756,τριμμός,n,----------,,,,,,0
100761,τ02757,τριμναῖος,a,aps---mn1-,τριμναῖος τριμναῖα τριμναῖον,,,,,0
100762,τ02758,τρίμνους,n,----------,,,,,,0
