ε05807,ἑληθερέω,v,----------,,,,,,0
35978,ε09913,ἐπαναγωγή,n,n-s---fn1e,ἐπαναγωγῆς,,,,,0
35979,ε09914,ἐπαναγωγὸς,n,----------,,,,,,0
35980,ε09915,ἐπαναδέρω,v,----------,,,,,,0
35981,ε09916,ἐπαναδίδωμι,v,----------,,,,,,0
35983,ε09918,ἐπαναδιπλασιασμός,n,----------,,,,,,0
35984,ε09919,ἐπαναδιπλόω,v,----------,,,,,,0
35985,ε09920,ἐπαναδίπλωμα,n,n-s---nn3t,ἐπαναδιπλώματος,,,,,0
35987,ε09922,ἐπανάδοσις,n,n-s---fn3v,ἐπαναδοσέως,,,,,0
35988,ε09923,ἐπανάζευξις,n,n-s---fn3v,ἐπαναζευξέως,,,,,0
35989,ε09924,ἐπαναζώννυμαι,v,----------,,,,,,0
35990,ε09925,ἐπαναθαρρέω,v,----------,,,,,,0
35991,ε09926,ἐπαναθεάομαι,v,----------,,,,,,0
35992,ε09927,ἐπαναθερμαίνομαι,v,----------,,,,,,0
35993,ε09928,ἐπαναθέω,v,----------,,,,,,0
35994,ε09929,ἐπαναίρεσις,n,n-s---fn3v,ἐπαναιρεσέως,,,,,0
35995,ε09930,ἐπαναιρέω,v,----------,,,,,,0
35997,ε09932,ἐπαναίσθητος,n,----------,,,,,,0
35998,ε09933,ἐπαναιτέω,v,----------,,,,,,0
35999,ε09934,ἐπαναιώρημα,n,n-s---nn3t,ἐπαναιωρήματος,,,,,0
36000,ε09935,ἐπανακαινίζω,v,----------,,,,,,0
36001,ε09936,ἐπανακαλέω,v,----------,,,,,,0
36004,ε09939,ἐπανάκειμαι,v,----------,,,,,,0
36005,ε09940,ἐπανακεφαλαιόομαι,v,----------,,,,,,0
36007,ε09942,ἐπανακλαγγάνω,v,----------,,,,,,0
36008,ε09943,ἐπανάκλησις,n,n-s---fn3v,ἐπανακλησέως,,,,,0
36009,ε09944,ἐπανακλίνω,v,----------,,,,,,0
36010,ε09945,ἐπανακοινόω,v,----------,,,,,,0
36011,ε09946,ἐπανακομίζω,v,----------,,,,,,0
36012,ε09947,ἐπανακράζω,v,----------,,,,,,0
36013,ε09948,ἐπανακρεμάννυμαι,v,----------,,,,,,0
36014,ε09949,ἐπανάκρουσις,n,n-s---fn3v,ἐπανακρουσέως,,,,,0
36015,ε09950,ἐπανακρούω,v,----------,,,,,,0
36016,ε09951,ἐπανακτάομαι,v,----------,,,,,,0
36017,ε09952,ἐπανακτέον,a,----------,,,,,,0
36019,ε09954,ἐπανακτυπέω,v,----------,,,,,,0
36020,ε09955,ἐπανακυκλέω,v,----------,,,,,,0
36021,ε09956,ἐπανακύκλησις,n,n-s---fn3v,ἐπανακυκλησέως,,,,,0
36022,ε09957,ἐπανακύπτω,v,----------,,,,,,0
35970,ε09905,ἐπαναγκάζω,v,----------,,,,,,0
36025,ε09960,ἐπαναλείφω,v,----------,,,,,,0
36027,ε09962,ἐπαναληπτικῶς,r,----------,,,,,,0
36028,ε09963,ἐπανάληψις,n,n-s---fn3v,ἐπαναληψέως,,,,,0
36029,ε09964,ἐπαναλίσκω,v,----------,,,,,,0
36030,ε09965,ἐπανάλυσις,n,n-s---fn3v,ἐπαναλυσέως,,,,,0
36031,ε09966,ἐπαναλύω,v,----------,,,,,,0
36033,ε09968,ἐπαναμένω,v,----------,,,,,,0
36034,ε09969,ἐπαναμιμνῄσκω,v,----------,,,,,,0
36035,ε09970,ἐπανάμνησις,n,n-s---fn3v,ἐπαναμνησέως,,,,,0
36036,ε09971,ἐπανανεάζω,v,----------,,,,,,0
36037,ε09972,ἐπανανεόομαι,v,----------,,,,,,0
36039,ε09974,ἐπανάπαυσις,n,n-s---fn3v,ἐπαναπαυσέως,,,,,0
36040,ε09975,ἐπαναπαύω,v,----------,,,,,,0
36041,ε09976,ἐπαναπέμπω,v,----------,,,,,,0
36042,ε09977,ἐπαναπεράω,v,----------,,,,,,0
36043,ε09978,ἐπαναπήγνυμι,v,----------,,,,,,0
36044,ε09979,ἐπαναπηδάω,v,----------,,,,,,0
36045,ε09980,ἐπαναπιπράσκω,v,----------,,,,,,0
36047,ε09982,ἐπαναπλάσσω,v,----------,,,,,,0
36049,ε09984,ἐπαναπληρόω,v,----------,,,,,,0
36050,ε09985,ἐπαναπνέω,v,----------,,,,,,0
36051,ε09986,ἐπαναποδίζω,v,----------,,,,,,0
36052,ε09987,ἐπαναποδιστέον,a,----------,,,,,,0
36053,ε09988,ἐπαναπολέω,v,----------,,,,,,0
36055,ε09990,ἐπαναπορεύομαι,v,----------,,,,,,0
36056,ε09991,ἐπαναπρίασθαι,v,----------,,,,,,0
36058,ε09993,ἐπαναπωλέω,v,----------,,,,,,0
36059,ε09994,ἐπαναρρήγνυμι,v,----------,,,,,,0
36060,ε09995,ἐπαναρριπίζω,v,----------,,,,,,0
36061,ε09996,ἐπαναρρίπτω,v,----------,,,,,,0
36063,ε09998,ἐπανάρρυσις,n,n-s---fn3v,ἐπαναρρυσέως,,,,,0
36064,ε09999,ἐπανάσεισις,n,n-s---fn3v,ἐπανασεισέως,,,,,0
36065,ε10000,ἐπανασείω,v,----------,,,,,,0
36066,ε10001,ἐπανασκοπέω,v,----------,,,,,,0
36067,ε10002,ἐπανασπείρω,v,----------,,,,,,0
36068,ε10003,ἐπανάστασις,n,n-s---fn3v,ἐπαναστασέως,,,,,0
36069,ε10004,ἐπαναστέλλω,v,----------,,,,,,0
36071,ε10006,ἐπαναστρέφω,v,----------,,,,,,0
36072,ε10007,ἐπαναστροφή,n,n-s---fn1e,ἐπαναστροφῆς,,,,,0
36073,ε10008,ἐπανασχίζω,v,----------,,,,,,0
36075,ε10010,ἐπανάτασις,n,n-s---fn3v,ἐπανατασέως,,,,,0
36076,ε10011,ἐπανατείνω,v,----------,,,,,,0
36077,ε10012,ἐπανατέλλω,v,----------,,,,,,0
36024,ε09959,ἐπαναλέγω,v,----------,,,,,,0
36081,ε10016,ἐπανατρέπω,v,----------,,,,,,0
36082,ε10017,ἐπανατρέφω,v,----------,,,,,,0
36083,ε10018,ἐπανατρέχω,v,----------,,,,,,0
36084,ε10019,ἐπανατρίβω,v,----------,,,,,,0
36086,ε10021,ἐπανατρυγάω,v,----------,,,,,,0
36088,ε10023,ἐπαναφορά,n,n-s---fn1l,ἐπαναφορᾶς,,,,,0
36089,ε10024,ἐπαναφορικός,a,aps---mn1-,ἐπαναφορικός ἐπαναφορική ἐπαναφορικόν,,,,,0
36090,ε10025,ἐπανάφορος,n,----------,,,,,,0
36091,ε10026,ἐπαναφυσάω,v,----------,,,,,,0
36092,ε10027,ἐπαναφύω,v,----------,,,,,,0
36093,ε10028,ἐπαναφωνέω,v,----------,,,,,,0
36095,ε10030,ἐπαναχέω,v,----------,,,,,,0
36097,ε10032,ἐπαναχρέμπτομαι,v,----------,,,,,,0
36098,ε10033,ἐπανάχρεμψις,n,n-s---fn3v,ἐπαναχρεμψέως,,,,,0
36099,ε10034,ἐπαναχωρέω,v,----------,,,,,,0
36101,ε10036,ἐπανδιπλάζω,v,----------,,,,,,0
36102,ε10037,ἔπανδρος,a,aps---cn2-,ἔπανδρος ἔπανδρος ἔπανδρον,,,,,0
36103,ε10038,ἐπανδρόω,v,----------,,,,,,0
36104,ε10039,ἐπανεγείρω,v,----------,,,,,,0
36105,ε10040,ἐπανέγερσις,n,n-s---fn3v,ἐπανεγερσέως,,,,,0
36106,ε10041,ἐπανειλέω,v,----------,,,,,,0
36107,ε10042,ἐπάνειμι,v,----------,,,,,,0
36108,ε10043,ἐπανειπεῖν,v,----------,,,,,,0
36109,ε10044,ἐπανείρομαι,v,----------,,,,,,0
36111,ε10046,ἐπανελευστέον,v,----------,,,,,,0
36112,ε10047,ἐπανελίττω,v,----------,,,,,,0
36113,ε10048,ἐπανέλκω,v,----------,,,,,,0
36114,ε10049,ἐπανεμέω,v,----------,,,,,,0
36115,ε10050,ἐπάνεμος,a,aps---cn2-,ἐπάνεμος ἐπάνεμος ἐπάνεμον,,,,,0
36116,ε10051,ἐπανερεύγομαι,v,----------,,,,,,0
36117,ε10053,ἐπανέρχομαι,v,----------,,,,,,0
36118,ε10052,ἐπανέρομαι,v,----------,,,,,,0
36120,ε10055,ἐπάνεσις,n,n-s---fn3v,ἐπανεσέως,,,,,0
36121,ε10056,ἐπανέχω,v,----------,,,,,,0
36122,ε10057,ἐπανήκω,v,----------,,,,,,0
36123,ε10058,ἐπανηλογέω,v,----------,,,,,,0
36124,ε10059,ἐπανήλωμα,n,n-s---nn3t,ἐπανηλώματος,,,,,0
36125,ε10060,ἐπάνθεμα,n,n-s---nn3t,ἐπανθέματος,,,,,0
36126,ε10061,ἐπανθεμίζω,v,----------,,,,,,0
36128,ε10063,ἐπάνθετα,n,n-p---nn2-,ἐπανθέτων,,,,,0
36129,ε10064,ἐπανθέω,v,----------,,,,,,0
36130,ε10065,ἐπάνθημα,n,n-s---nn3t,ἐπανθήματος,,,,,0
36131,ε10066,ἐπάνθησις,n,n-s---fn3v,ἐπανθησέως,,,,,0
36132,ε10067,ἐπανθιάω,v,----------,,,,,,0
36133,ε10068,ἐπανθίζω,v,----------,,,,,,0
36079,ε10014,ἐπανατίθημι,v,----------,,,,,,0
36136,ε10071,ἐπανθοπλοκέω,v,----------,,,,,,0
36137,ε10072,ἐπανθρακίδες,n,n-s---fn3d,ἐπανθρακίδων,,,,,0
36138,ε10073,ἐπανθρακίζω,v,----------,,,,,,0
36139,ε10074,ἐπανθρακόομαι,v,----------,,,,,,0
36140,ε10075,ἐπανιάομαι,v,----------,,,,,,0
36141,ε10076,ἐπανίημι,v,----------,,,,/e.pa.nǐː.ɛː.mi/,,0
36142,ε10077,ἐπανίπταμαι,v,----------,,,,,,0
36143,ε10078,ἐπανισόω,v,----------,,,,,,0
36144,ε10079,ἐπανίστημι,v,----------,,,,,,0
36145,ε10080,ἐπανίσωσις,n,n-s---fn3v,ἐπανισωσέως,,,,,0
36146,ε10081,ἐπανιτάω,v,----------,,,,,,0
36147,ε10082,ἐπανιτέον,v,----------,,,,,,0
36149,ε10084,ἐπάνοδος,n,----------,,,,,,0
36150,ε10085,ἐπανοίγω,v,----------,,,,,,0
36151,ε10096,ἐπανσιδέω,v,----------,,,,,,0
36153,ε10087,ἐπανοίκτωρ,n,n-s---mn3r,ἐπανοίκτορος,,,,,0
36154,ε10088,ἐπάνοιξις,n,n-s---fn3v,ἐπανοιξέως,,,,,0
36155,ε10089,ἐπανοιστέον,a,----------,,,,,,0
36156,ε10090,ἐπανορθόω,v,----------,,,,,,0
36158,ε10092,ἐπανόρθωσις,n,n-s---fn3v,ἐπανορθωσέως,,,,,0
36160,ε10094,ἐπανορθωτής,n,n-s---mn1e,ἐπανορθωτού,,,,,0
36162,ε10097,ἐπαντέλλω,v,----------,,,,,,0
36163,ε10098,ἐπάντης,a,aps---cn3s,ἐπάντης ἐπάντης ἐπάντες,,,,,0
36164,ε10099,ἐπαντιάζω,v,----------,,,,,,0
36166,ε10101,ἐπαντλαῖος,a,aps---cn2-,ἐπαντλαῖος ἐπαντλαῖος ἐπαντλαῖον,,,,,0
36167,ε10102,ἐπαντλέω,v,----------,,,,,,0
36168,ε10103,ἐπάντλημα,n,n-s---nn3t,ἐπαντλήματος,,,,,0
36169,ε10104,ἐπάντλησις,n,n-s---fn3v,ἐπαντλησέως,,,,,0
36170,ε10105,ἐπαντλησμός,n,----------,,,,,,0
36171,ε10106,ἐπαντλητέον,a,----------,,,,,,0
36172,ε10107,ἐπαντλητός,a,aps---mn1-,ἐπαντλητός ἐπαντλητή ἐπαντλητόν,,,,,0
36173,ε10108,ἐπανύω,v,----------,,,,,,0
36174,ε10109,ἐπάνω,r,rp--------,ἐπάνω,,,/e.pá.nɔː/,,0
36175,ε10110,ἐπάνωθεν,r,----------,,,,,,0
36177,ε10112,ἐπάξιος,v,----------,,,,,,0
36178,ε10113,ἐπαξιόω,v,----------,,,,,,0
36179,ε10114,ἐπαξίωσις,n,n-s---fn3v,ἐπαξιωσέως,,,,,0
36180,ε10115,ἐπαξονέω,v,----------,,,,,,0
36181,ε10116,ἐπαξόνιος,a,aps---cn2-,ἐπαξόνιος ἐπαξόνιος ἐπαξόνιον,,,,,0
36182,ε10117,ἐπαοιδέω,v,----------,,,,,,0
36183,ε10118,ἐπαοιδή,n,n-s---fn1e,ἐπαοιδῆς,,,,,0
36184,ε10119,ἐπαοιδία,n,n-s---fn1l,ἐπαοιδίας,,,,,0
36185,ε10120,ἐπαοιδός,n,----------,,,,,,0
36186,ε10121,ἐπαπειλέω,v,----------,,,,,,0
36187,ε10122,ἐπαπερείδομαι,v,----------,,,,,,0
36135,ε10070,ἐπανθισμός,n,----------,,,,,,0
36190,ε10125,ἐπαποδίδωμι,v,----------,,,,,,0
36191,ε10126,ἐπαποδρόμιον,n,----------,,,,,,0
36192,ε10127,ἐπαποδύω,v,----------,,,,,,0
36193,ε10128,ἐπαποθνήσκω,v,----------,,,,,,0
36194,ε10129,ἐπαποικίζω,v,----------,,,,,,0
36195,ε10130,ἐπαποκτείνω,v,----------,,,,,,0
36196,ε10131,ἐπαπολαύω,v,----------,,,,,,0
36199,ε10134,ἐπαπόλογος,a,aps---cn2-,ἐπαπόλογος ἐπαπόλογος ἐπαπόλογον,,,,,0
36200,ε10135,ἐπαπολύω,v,----------,,,,,,0
36201,ε10136,ἐπαπονίναμαι,v,----------,,,,,,0
36202,ε10137,ἐπαποπνίγω,v,----------,,,,,,0
36203,ε10138,ἐπαπορέω,v,----------,,,,,,0
36205,ε10140,ἐπαπορητικός,a,aps---mn1-,ἐπαπορητικός ἐπαπορητική ἐπαπορητικόν,,,,,0
36206,ε10141,ἐπαποστέλλω,v,----------,,,,,,0
36207,ε10142,ἐπαποστολή,n,n-s---fn1e,ἐπαποστολῆς,,,,,0
36208,ε10143,ἐπαποσφάζω,v,----------,,,,,,0
36209,ε10144,ἐπαποτίνω,v,----------,,,,,,0
36210,ε10145,ἐπάπτω,v,----------,,,,,,0
36211,ε10146,ἐπαρά,n,n-s---fn1l,ἐπαρᾶς,,,,,0
36212,ε10147,ἐπαράομαι,v,----------,,,,,,0
36213,ε10148,ἐπαραρίσκω,v,----------,,,,,,0
36216,ε10151,ἐπάρατος,a,aps---cn2-,ἐπάρατος ἐπάρατος ἐπάρατον,,,,,0
36217,ε10152,ἐπάργεμος,a,aps---cn2-,ἐπάργεμος ἐπάργεμος ἐπάργεμον,,,,,0
36218,ε10153,ἐπάργματα,n,n-p---nn2-,ἐπαργμάτων,,,,,0
36219,ε10154,ἐπαργυρόομαι,v,----------,,,,,,0
36221,ε10156,ἐπάρδευσις,n,n-s---fn3v,ἐπαρδευσέως,,,,,0
36222,ε10157,ἐπαρδευτής,n,n-s---mn1e,ἐπαρδευτού,,,,,0
36223,ε10158,ἐπαρδεύω,v,----------,,,,,,0
36224,ε10159,ἐπάρδια,n,n-p---nn2-,ἐπαρδίων,,,,,0
36225,ε10160,ἐπάρδω,v,----------,,,,,,0
36226,ε10161,ἐπαρέσκομαι,v,----------,,,,,,0
36227,ε10162,ἐπαρήγω,v,----------,,,,,,0
36228,ε10163,ἐπαρηγών,n,n-s---cn3n,ἐπαρηγόνος,,,,,0
36229,ε10165,ἐπάρηξις,n,n-s---fn3v,ἐπαρηξέως,,,,,0
36230,ε10164,ἐπάρην,n,----------,,,,,,0
36231,ε10166,ἐπαρήρει,n,----------,,,,,,0
36232,ε10167,ἐπαριθμέω,v,----------,,,,,,0
36235,ε10170,ἐπαριστερότης,n,n-s---fn3t,ἐπαριστερότητος,,,,,0
36236,,Ἐπάριτοι,n,n-p---mn2-,Ἐπαρίτων,,,,,0
36237,ε10171,ἐπάρκεια,n,n-s---fn1s,ἐπάρκειας,,,,,0
36238,ε10172,ἐπάρκεσις,n,n-s---fn3v,ἐπαρκεσέως,,,,,0
36239,ε10173,ἐπαρκέω,v,----------,,,,,,0
36240,ε10174,ἐπαρκής,a,aps---cn5s,ἐπαρκής ἐπαρκής ἐπαρκές,,,,,0
36242,ε10176,ἐπαρκούντως,r,----------,,,,,,0
36189,ε10124,ἐπαπογαμέω,v,----------,,,,,,0
36245,ε10179,ἐπαρνέομαι,v,----------,,,,,,0
36246,ε10180,ἔπαρξις,n,n-s---fn3v,ἐπαρξέως,,,,,0
36247,ε10181,ἐπαρότης,n,n-s---mn1e,ἐπαρότου,,,,,0
36248,ε10182,ἐπαρούριον,n,----------,,,,,,0
36249,ε10183,ἐπάρουρος,a,aps---cn2-,ἐπάρουρος ἐπάρουρος ἐπάρουρον,,,,,0
36250,ε10184,ἔπαρσις,n,n-s---fn3v,ἐπαρσέως,,,,,0
36251,ε10185,ἐπαρτάω,v,----------,,,,,,0
36252,ε10186,ἐπαρτής,a,aps---cn5s,ἐπαρτής ἐπαρτής ἐπαρτές,,,,,0
36253,ε10187,ἐπαρτίζω,v,----------,,,,,,0
36255,ε10189,ἐπαρτύω,v,----------,,,,,,0
36256,ε10190,ἐπαρυστήρ,n,n-s---mn3r,ἐπαρυστῆρος,,,,,0
36257,ε10191,ἐπαρυστρίς,n,n-s---fn3d,ἐπαρυστρίδος,,,,,0
36258,ε10192,ἐπαρύτω,v,----------,,,,,,0
36259,ε10193,ἐπαρχεία,n,n-s---fn1l,ἐπαρχείας,,,,,0
36260,ε10194,ἐπαρχεῖον,n,n-s---nn2-,ἐπαρχείου,,,,,0
36261,ε10195,ἐπαρχέω,v,----------,,,,,,0
36262,ε10196,ἐπαρχή,n,n-s---fn1e,ἐπαρχῆς,,,,,0
36263,ε10197,ἐπαρχία,n,n-s---fn1l,ἐπαρχίας,,,,,0
36265,ε10199,ἐπαρχιώτης,n,n-s---mn1e,ἐπαρχιώτου,,,,,0
36266,ε10200,ἔπαρχος,a,aps---cn2-,ἔπαρχος ἔπαρχος ἔπαρχον,,,,,0
36267,ε10201,ἐπαρχότης,n,n-s---fn3t,ἐπαρχότητος,,,,,0
36268,ε10202,ἐπάρχω,v,----------,,,,,,0
36269,ε10203,ἐπαρωγή,n,n-s---fn1e,ἐπαρωγῆς,,,,,0
36270,ε10204,ἐπαρωγής,a,aps---cn5s,ἐπαρωγής ἐπαρωγής ἐπαρωγές,,,,,0
36271,ε10205,ἐπαρωγός,n,----------,,,,,,0
36272,ε10206,ἐπασθμαίνω,v,----------,,,,,,0
36273,ε10207,ἐπάσιοι,n,----------,,,,,,0
36274,ε10208,ἔπασις,n,----------,,,,,,0
36275,ε10210,ἐπασκέω,v,----------,,,,,,0
36277,ε10212,ἐπασκητέον,a,----------,,,,,,0
36278,ε10213,ἐπασκητής,n,n-s---mn1e,ἐπασκητού,,,,,0
36279,ε10214,ἐπάσκιον,n,n-s---nn2-,ἐπασκίου,,,,,0
36280,ε13680,ἔπᾳσμα,n,n-s---nn3t,ἐπᾴσματος,,,,,0
36281,ε10216,ἐπασπαίρω,v,----------,,,,,,0
36282,ε10217,ἐπασπιδόομαι,v,----------,,,,,,0
36285,ε13681,ἐπᾳστέον,v,----------,,,,,,0
36287,ε10222,ἐπασφαλίζω,v,----------,,,,,,0
36288,ε10223,ἐπασχάλλω,v,----------,,,,,,0
36289,ε10224,ἐπατενίζω,v,----------,,,,,,0
36290,ε10225,ἐπατρεμέω,v,----------,,,,,,0
36291,ε10226,ἐπάττω,v,----------,,,,,,0
36292,ε10227,ἐπαυγάζω,v,----------,,,,,,0
36293,ε10228,ἐπαυδάω,v,----------,,,,,,0
36295,ε10230,ἐπαύλημα,n,n-s---nn3t,ἐπαυλήματος,,,,,0
36296,ε10231,ἐπαυλία,n,----------,,,,,,0
36297,ε10232,ἐπαυλίζομαι,v,----------,,,,,,0
36298,ε10233,ἐπαύλιον,n,n-s---nn2-,ἐπαυλίου,,,,,0
36244,ε10178,ἐπάρμενος,n,----------,,,,,,0
36302,ε10237,ἔπαυλος,n,n-s---mn2-,ἐπαύλου,,,,,0
36303,ε10238,ἐπαυλόσυνος,n,----------,,,,,,0
36304,ε10239,ἐπαυξάνω,v,----------,,,,,,0
36305,ε10240,ἐπαύξη,n,n-s---fn1e,ἐπαύξης,,,,,0
36307,ε10242,ἐπαυξής,a,aps---cn5s,ἐπαυξής ἐπαυξής ἐπαυξές,,,,,0
36308,ε10243,ἐπαύξησις,n,n-s---fn3v,ἐπαυξησέως,,,,,0
36309,ε10244,ἐπαύξω,v,----------,,,,,,0
36310,ε10245,ἐπαύρεσις,n,n-s---fn3v,ἐπαυρεσέως,,,,,0
36311,ε10246,ἐπαυρέω,v,----------,,,,,,0
36312,ε10247,ἐπαυρίζω,v,----------,,,,,,0
36313,ε10248,ἐπαύριον,r,----------,,,,,,0
36314,ε10249,ἐπαύ̈σας,n,----------,,,,,,0
36315,ε10250,ἐπαϋτέω,v,----------,,,,,,0
36316,ε10251,ἐπαυτίκα,r,----------,,,,,,0
36319,ε10254,ἐπαυχένλος,a,aps---cn2-,ἐπαυχένλος ἐπαυχένλος ἐπαυχένλον,,,,,0
36320,ε10255,ἐπαυχέω,v,----------,,,,,,0
36321,ε10256,ἐπαυχμέω,v,----------,,,,,,0
36322,ε10257,ἐπαύω,v,----------,,,,,,0
36323,ε10258,ἐπαφαίρεσις,n,n-s---fn3v,ἐπαφαιρεσέως,,,,,0
36324,ε10259,ἐπαφαιρετέον,a,----------,,,,,,0
36325,ε10260,ἐπαφαιρέω,v,----------,,,,,,0
36327,ε10261,ἐπαφαναίνομαι,v,----------,,,,,,0
36328,ε10263,ἐπαφάω,v,----------,,,,,,0
36329,ε10264,ἐπαφετέον,v,----------,,,,,,0
36330,ε10265,ἐπαφή,n,n-s---fn1e,ἐπαφῆς,,,,,0
36331,ε10266,ἐπάφημα,n,n-s---nn3t,ἐπαφήματος,,,,,0
36333,ε10268,ἐπαφίημι,v,----------,,,,,,0
36334,,Ἐπαφιος,n,----------,,,,,,0
36335,,Ἔπαφος,n,n-s---mn2-,Ἐπάφου,,,/é.pa.pʰos/,,0
36336,ε10269,ἐπαφριάω,v,----------,,,,,,0
36337,ε10270,ἐπαφρίζω,v,----------,,,,,,0
36338,ε10271,ἐπαφροδισία,n,n-s---fn1l,ἐπαφροδισίας,,,,,0
36340,ε10273,ἔπαφρος,a,aps---cn2-,ἔπαφρος ἔπαφρος ἔπαφρον,,,,,0
36341,ε10274,ἐπαφύσσω,v,----------,,,,,,0
36342,ε10275,ἐπάχθεια,n,n-s---fn1s,ἐπάχθειας,,,,,0
36343,ε10276,ἐπαχθέω,v,----------,,,,,,0
36345,ε10278,ἐπαχθίζομαι,v,----------,,,,,,0
36346,ε10279,ἐπάχθομαι,v,----------,,,,,,0
36347,ε10280,ἐπαχλύω,v,----------,,,,,,0
36348,ε10281,ἐπαχνίδιος,a,aps---mn1-,ἐπαχνίδιος ἐπαχνίδια ἐπαχνίδιον,,,,,0
36349,ε10282,ἐπάχνυμαι,v,----------,,,,,,0
36350,ε13806,ἐπὰψ,n,----------,,,,,,0
36351,ε10288,ἐπεάν,n,----------,,,,,,0
36352,ε10289,ἐπεγγελάω,v,----------,,,,,,0
36354,ε10291,ἐπεγγυάω,v,----------,,,,,,0
36355,ε10292,ἐπεγείρω,v,----------,,,,,,0
36356,ε10293,ἐπέγερσις,n,n-s---fn3v,ἐπεγερσέως,,,,,0
36301,ε10236,ἐπαυλισμός,n,----------,,,,,,0
36359,ε10296,ἐπεγκανάσσω,v,----------,,,,,,0
36360,ε10297,ἐπεγκάπτω,v,----------,,,,,,0
36361,ε10298,ἐπεγκαχάζω,v,----------,,,,,,0
36362,ε10299,ἐπέγκειμαι,v,----------,,,,,,0
36364,ε10301,ἐπεγκελεύω,v,----------,,,,,,0
36365,ε10302,ἐπεγκεράννυμαι,v,----------,,,,,,0
36366,ε10303,ἐπεγκλάω,v,----------,,,,,,0
36368,ε10305,ἐπεγκλίνω,v,----------,,,,,,0
36369,ε10306,ἐπεγκολάπτω,v,----------,,,,,,0
36370,ε10307,ἐπεγκρανίς,n,n-s---fn3d,ἐπεγκρανίδος,,,,,0
36371,ε10308,ἐπεγκρεμάννυμαι,v,----------,,,,,,0
36372,ε10309,ἐπεγκυκλέω,v,----------,,,,,,0
36374,ε10311,ἐπεγνωσμένως,r,----------,,,,,,0
36375,ε10312,ἐπεγρόμην,n,----------,,,,,,0
36376,ε10313,ἐπεγχαλάω,v,----------,,,,,,0
36377,ε10314,ἐπεγχάσκω,v,----------,,,,,,0
36378,ε10315,ἐπεγχειρέω,v,----------,,,,,,0
36379,ε10316,ἐπεγχέω,v,----------,,,,,,0
36380,ε10317,ἐπεγχυματίζω,v,----------,,,,,,0
36381,ε10318,ἐπεγχύνω,v,----------,,,,,,0
36382,ε10319,ἐπεγχύτης,n,n-s---mn1e,ἐπεγχύτου,,,,,0
36383,ε10321,ἐπέδραμον,n,----------,,,,,,0
36385,ε10323,ἐπέην,n,----------,,,,,,0
36386,ε10324,ἐπεθίζομαι,v,----------,,,,,,0
36387,ε10325,ἐπεί,r,----------,,,,,,0
36388,ε10326,ἐπείγω,v,----------,,,,,,0
36390,ε10328,ἐπειδάν,n,----------,,,,,,0
36391,ε10329,ἐπειδέ,n,----------,,,,,,0
36392,ε10330,ἐπειδή,c,----------,,,,,,0
36393,ε10320,ἐπεῖδον,v,v1spia----,,,,/e.pêː.don/,,0
36394,ε10287,ἐπεὶ,n,----------,,,,,,0
36396,ε10332,ἐπεικάζω,v,----------,,,,,,0
36397,ε10333,ἐπεικασμός,n,----------,,,,,,0
36398,ε10334,ἐπείκεια,n,----------,,,,,,0
36399,ε10335,ἐπείκελος,n,----------,,,,,,0
36400,ε10336,ἐπείκοστον,n,n-s---nn2-,ἐπεικόστου,,,,,0
36401,ε10337,ἐπεικτέον,a,----------,,,,,,0
36404,ε10340,ἐπεικώς,n,----------,,,,,,0
36405,ε10341,ἐπειλέω,v,----------,,,,,,0
36406,ε10342,ἐπείλησις,n,n-s---fn3v,ἐπειλησέως,,,,,0
36407,ε10343,ἔπειμι,v,----------,,,,,,0
36408,ε10344,ἔπειμι,v,----------,,,,,,0
36409,ε10345,ἐπείνυσθαι,v,----------,,,,,,0
36411,ε10347,ἔπειξις,n,n-s---fn3v,ἐπειξέως,,,,,0
36412,ε10348,ἐπείπερ,n,----------,,,,,,0
36413,ε10560,ἐπεῖπον,v,----------,,,,,,0
36414,ε10349,ἐπείρομαι,v,----------,,,,,,0
36415,ε10350,ἐπειρύω,v,----------,,,,,,0
36358,ε10295,ἐπεγκαλέω,v,----------,,,,,,0
36418,ε10353,ἐπεισάγω,v,----------,,,,,,0
36419,ε10354,ἐπεισαγωγή,n,n-s---fn1e,ἐπεισαγωγῆς,,,,,0
36421,ε10356,ἐπεισακτέον,v,----------,,,,,,0
36423,ε10358,ἐπεισβαίνω,v,----------,,,,,,0
36424,ε10359,ἐπεισβάλλω,v,----------,,,,,,0
36425,ε10360,ἐπεισβάτης,n,n-s---mn1e,ἐπεισβάτου,,,,,0
36426,ε10361,ἐπεισβιάζομαι,v,----------,,,,,,0
36427,ε10362,ἐπεισδέχομαι,v,----------,,,,,,0
36428,ε10363,ἐπείσειμι,v,----------,,,,,,0
36430,ε10365,ἐπεισενεκτέον,v,----------,,,,,,0
36431,ε10366,ἐπεισέρπω,v,----------,,,,,,0
36432,ε10367,ἐπεισέρρω,v,----------,,,,,,0
36433,ε10368,ἐπεισέρχομαι,v,----------,,,,,,0
36434,ε10369,ἐπεισηγέομαι,v,----------,,,,,,0
36435,ε10370,ἐπείσθεσις,n,n-s---fn3v,ἐπεισθεσέως,,,,,0
36436,ε10371,ἐπεισθρῴσκω,v,----------,,,,,,0
36437,ε10372,ἐπείσιον,n,----------,,,,,,0
36439,ε10374,ἐπείσκλητος,a,aps---cn2-,ἐπείσκλητος ἐπείσκλητος ἐπείσκλητον,,,,,0
