,ἐπιτετραμερής,a,aps---cn5s,ἐπιτετραμερής ἐπιτετραμερής ἐπιτετραμερές,,,,,0
41494,ε01331,εὐέκπλυτος,a,aps---cn2-,εὐέκπλυτος εὐέκπλυτος εὐέκπλυτον,,,,,0
41496,ε01333,εὐεκπόρθητος,a,aps---cn2-,εὐεκπόρθητος εὐεκπόρθητος εὐεκπόρθητον,,,,,0
41497,ε01334,εὐέκπτωτος,a,aps---cn2-,εὐέκπτωτος εὐέκπτωτος εὐέκπτωτον,,,,,0
41498,ε01335,εὐεκπύρωτος,r,----------,,,,,,0
41499,ε01336,εὐέκρυπτος,a,aps---cn2-,εὐέκρυπτος εὐέκρυπτος εὐέκρυπτον,,,,,0
41500,ε01337,εὐεκτέω,v,----------,,,,,,0
41501,ε01338,εὐέκτης,n,n-s---mn1e,εὐέκτου,,,,,0
41502,ε01339,εὐεκτία,n,n-s---fn1l,εὐεκτίας,,,,,0
41503,ε01340,εὐεκτικός,a,aps---mn1-,εὐεκτικός εὐεκτική εὐεκτικόν,,,,,0
41504,ε01341,εὐεκτός,a,aps---cn2-,εὐεκτός εὐεκτός εὐεκτόν,,,,,0
41505,ε01342,εὐέκφορος,a,aps---cn2-,εὐέκφορος εὐέκφορος εὐέκφορον,,,,,0
41507,ε01344,εὐέλαιος,a,aps---cn2-,εὐέλαιος εὐέλαιος εὐέλαιον,,,,,0
41508,ε01345,εὐέλατος,a,aps---cn2-,εὐέλατος εὐέλατος εὐέλατον,,,,,0
41509,ε01346,εὐέλεγκτος,a,aps---cn2-,εὐέλεγκτος εὐέλεγκτος εὐέλεγκτον,,,/eu̯.é.leŋk.tos/,,0
41465,ε01283,εὕδω,v,----------,,,,/heú̯.dɔː/,,0
41513,ε01350,εὔελπις,a,aps---cn5s,εὔελπις εὔελπις εὔελπι,,,/eú̯.el.pis/,,0
41514,ε01351,εὐελπιστία,n,n-s---fn1l,εὐελπιστίας,,,,,0
41515,ε01352,εὐέμβατος,a,aps---cn2-,εὐέμβατος εὐέμβατος εὐέμβατον,,,,,0
41517,ε01354,εὐέμβολος,a,aps---cn2-,εὐέμβολος εὐέμβολος εὐέμβολον,,,,,0
41518,ε01355,εὐέμετος,a,aps---cn2-,εὐέμετος εὐέμετος εὐέμετον,,,,,0
41520,ε01357,εὐεμπτωσία,n,n-s---fn1l,εὐεμπτωσίας,,,,,0
41521,ε01358,εὐέμπτωτος,a,aps---cn2-,εὐέμπτωτος εὐέμπτωτος εὐέμπτωτον,,,,,0
41522,ε01359,εὐέμφρακτος,a,aps---cn2-,εὐέμφρακτος εὐέμφρακτος εὐέμφρακτον,,,,,0
41523,ε02285,εὐἕν,n,----------,,,,,,0
41524,ε01360,εὐένδοτος,a,aps---cn2-,εὐένδοτος εὐένδοτος εὐένδοτον,,,,,0
41525,ε01361,εὐέντευκτος,a,aps---cn2-,εὐέντευκτος εὐέντευκτος εὐέντευκτον,,,,,0
41526,ε01362,εὐέντρεπτος,a,aps---cn2-,εὐέντρεπτος εὐέντρεπτος εὐέντρεπτον,,,,,0
41527,ε01363,εὐέντροπος,n,----------,,,,,,0
41528,ε01364,εὐεξάγωγος,a,----------,,,,,,0
41529,ε01365,εὐεξάλειπτος,a,----------,,,,,,0
41530,ε01366,εὐεξανάλωτος,a,----------,,,,,,0
41531,ε01367,εὐεξαπάτητος,r,----------,,,,,,0
41533,ε01369,εὐεξάρτυτος,a,aps---cn2-,εὐεξάρτυτος εὐεξάρτυτος εὐεξάρτυτον,,,,,0
41534,ε01370,εὐεξέλεγκτος,a,aps---cn2-,εὐεξέλεγκτος εὐεξέλεγκτος εὐεξέλεγκτον,,,,,0
41535,ε01371,εὐεξέλικτος,a,aps---cn2-,εὐεξέλικτος εὐεξέλικτος εὐεξέλικτον,,,,,0
41536,ε01372,εὐεξέλκυστος,a,aps---cn2-,εὐεξέλκυστος εὐεξέλκυστος εὐεξέλκυστον,,,,,0
41537,ε01373,εὐεξέταστος,a,aps---cn2-,εὐεξέταστος εὐεξέταστος εὐεξέταστον,,,,,0
41538,ε01374,εὐεξής,n,----------,,,,,,0
41539,ε01375,εὐεξία,n,n-s---fn1l,εὐεξίας,,,,,0
41540,ε01376,εὐεξίλαστος,a,----------,,,,,,0
41542,ε01378,εὐεπάγωγος,n,----------,,,,,,0
41544,ε01380,εὐεπακολούθητος,a,aps---cn2-,εὐεπακολούθητος εὐεπακολούθητος εὐεπακολούθητον,,,,,0
41545,ε01381,εὐεπανόρθωτος,a,aps---cn2-,εὐεπανόρθωτος εὐεπανόρθωτος εὐεπανόρθωτον,,,,,0
41546,ε01382,εὐέπεια,n,n-s---fn1s,εὐέπειας,,,,,0
41547,ε01383,εὐεπέκτατος,a,aps---cn2-,εὐεπέκτατος εὐεπέκτατος εὐεπέκτατον,,,,,0
41548,ε01384,εὐεπέραστος,a,aps---cn2-,εὐεπέραστος εὐεπέραστος εὐεπέραστον,,,,,0
41550,ε01386,εὐεπήκοος,a,aps---cn2-,εὐεπήκοος εὐεπήκοος εὐεπήκοον,,,,,0
41551,ε01387,εὐεπηρέαστος,a,aps---cn2-,εὐεπηρέαστος εὐεπηρέαστος εὐεπηρέαστον,,,,,0
41552,ε01388,εὐεπής,a,aps---cn5s,εὐεπής εὐεπής εὐεπές,,,,,0
41553,ε01389,εὐεπίβατος,a,aps---cn2-,εὐεπίβατος εὐεπίβατος εὐεπίβατον,,,,,0
41554,ε01390,εὐεπίβλεπτος,a,aps---cn2-,εὐεπίβλεπτος εὐεπίβλεπτος εὐεπίβλεπτον,,,,,0
41512,ε01349,εὔελκτος,a,aps---cn2-,εὔελκτος εὔελκτος εὔελκτον,,,,,0
41558,ε01394,εὐεπίβουλος,a,aps---cn2-,εὐεπίβουλος εὐεπίβουλος εὐεπίβουλον,,,,,0
41559,ε01395,εὐεπίγνωστος,a,aps---cn2-,εὐεπίγνωστος εὐεπίγνωστος εὐεπίγνωστον,,,,,0
41560,ε01396,εὐεπίδεκτος,a,aps---cn2-,εὐεπίδεκτος εὐεπίδεκτος εὐεπίδεκτον,,,,,0
41561,ε01397,εὐεπίδοτος,a,aps---cn2-,εὐεπίδοτος εὐεπίδοτος εὐεπίδοτον,,,,,0
41562,ε01398,εὐεπίδρομος,a,aps---cn2-,εὐεπίδρομος εὐεπίδρομος εὐεπίδρομον,,,,,0
41563,ε01399,εὐεπίη,n,n-s---fn1e,εὐεπίης,,,,,0
41564,ε01400,εὐεπίθετος,a,aps---cn2-,εὐεπίθετος εὐεπίθετος εὐεπίθετον,,,,,0
41566,ε01402,εὐεπίληπτος,a,aps---cn2-,εὐεπίληπτος εὐεπίληπτος εὐεπίληπτον,,,,,0
41567,ε01403,εὐεπιλόγιστος,a,aps---cn2-,εὐεπιλόγιστος εὐεπιλόγιστος εὐεπιλόγιστον,,,,,0
41568,ε01404,εὐεπίμεικτος,a,aps---cn2-,εὐεπίμεικτος εὐεπίμεικτος εὐεπίμεικτον,,,,,0
41569,ε01405,εὐεπινόητος,a,aps---cn2-,εὐεπινόητος εὐεπινόητος εὐεπινόητον,,,,,0
41570,ε01406,εὐεπιπόλαστος,a,aps---cn2-,εὐεπιπόλαστος εὐεπιπόλαστος εὐεπιπόλαστον,,,,,0
41571,ε01407,εὐεπίσημος,a,aps---cn2-,εὐεπίσημος εὐεπίσημος εὐεπίσημον,,,,,0
41572,ε01408,εὐεπίστρεπτος,a,aps---cn2-,εὐεπίστρεπτος εὐεπίστρεπτος εὐεπίστρεπτον,,,,,0
41573,ε01409,εὐεπίστροφος,a,aps---cn2-,εὐεπίστροφος εὐεπίστροφος εὐεπίστροφον,,,,,0
41574,ε01410,εὐεπίτακτος,a,aps---cn2-,εὐεπίτακτος εὐεπίτακτος εὐεπίτακτον,,,,,0
41576,ε01412,εὐεπιτήδευμα,n,n-s---nn3t,εὐεπιτηδεύματος,,,,,0
41577,ε01413,εὐεπιφορία,n,n-s---fn1l,εὐεπιφορίας,,,,,0
41578,ε01414,εὐεπίφορος,a,aps---cn2-,εὐεπίφορος εὐεπίφορος εὐεπίφορον,,,,,0
41579,ε01415,εὐεπιχείρητος,a,aps---cn2-,εὐεπιχείρητος εὐεπιχείρητος εὐεπιχείρητον,,,,,0
41580,ε01416,εὐεπίψογος,a,aps---cn2-,εὐεπίψογος εὐεπίψογος εὐεπίψογον,,,,,0
41581,ε01417,εὐέργεια,n,n-s---fn1s,εὐέργειας,,,,,0
41582,ε01418,εὐεργεσία,n,n-s---fn1l,εὐεργεσίας,,,,,0
41583,,Εὐεργέσια,n,n-p---nn2-,Εὐεργεσίων,,,,,0
41584,ε01419,εὐεργέτεια,n,n-s---fn1s,εὐεργέτειας,,,,,0
41585,ε01420,εὐεργετέω,v,----------,,,,,,0
41586,ε01421,εὐεργέτημα,n,n-s---nn3t,εὐεργετήματος,,,,,0
41587,ε01422,εὐεργέτης,n,n-s---mn1e,εὐεργέτου,,,/eu̯.er.ɡé.tɛːs/,,0
41588,ε01423,εὐεργετητέον,v,----------,,,,,,0
41591,ε01426,εὐεργετικός,a,aps---mn1-,εὐεργετικός εὐεργετική εὐεργετικόν,,,,,0
41592,ε01427,εὐέργετις,a,----------,,,,,,0
41593,ε01428,εὐεργέω,v,----------,,,,,,0
41594,ε01429,εὐέργημα,n,n-s---nn3t,εὐεργήματος,,,,,0
41595,ε01430,εὐεργής,a,aps---cn5s,εὐεργής εὐεργής εὐεργές,,,,,0
41596,ε01431,εὐεργός,a,aps---cn2-,εὐεργός εὐεργός εὐεργόν,,,,,0
41647,ε01482,εὐήκης,a,aps---cn3s,εὐήκης εὐήκης εὐή͂κες,,,,,0
41556,ε01392,εὐεπίβολος,a,aps---cn2-,εὐεπίβολος εὐεπίβολος εὐεπίβολον,,,,,0
41599,ε01434,εὐέριος,a,aps---cn2-,εὐέριος εὐέριος εὐέριον,,,,,0
41600,ε01435,εὐέρκεια,n,n-s---fn1s,εὐέρκειας,,,,,0
41601,ε01436,εὐερκής,a,aps---cn5s,εὐερκής εὐερκής εὐερκές,,,,,0
41602,ε01437,εὐέρκτης,n,n-s---mn1e,εὐέρκτου,,,,,0
41603,ε01438,εὐερμέω,v,----------,,,,,,0
41604,ε01439,εὐερμία,n,n-s---fn1l,εὐερμίας,,,,,0
41605,ε01440,εὐερνής,a,aps---cn5s,εὐερνής εὐερνής εὐερνές,,,,,0
41606,ε01441,εὔερος,a,aps---cn2-,εὔερος εὔερος εὔερον,,,,,0
41608,ε01443,εὐέστιος,a,aps---cn2-,εὐέστιος εὐέστιος εὐέστιον,,,,,0
41609,ε01444,εὐεστότερος,a,aps---cn2-,εὐεστότερος εὐεστότερος εὐεστότερον,,,,,0
41610,ε01445,εὐεστώ,n,n-s---fn3c,εὐεστοῦς,,,,,0
41611,ε01446,εὐετηρία,n,n-s---fn1l,εὐετηρίας,,,,,0
41612,ε01447,εὐετία,n,n-s---fn1l,εὐετίας,,,,,0
41613,ε01448,εὐεύρετος,a,aps---cn2-,εὐεύρετος εὐεύρετος εὐεύρετον,,,,,0
41615,ε01450,εὐεφόδευτος,a,aps---cn2-,εὐεφόδευτος εὐεφόδευτος εὐεφόδευτον,,,,,0
41616,ε01451,εὐέφοδος,a,aps---cn2-,εὐέφοδος εὐέφοδος εὐέφοδον,,,,,0
41617,ε01452,εὐέψητος,a,aps---cn2-,εὐέψητος εὐέψητος εὐέψητον,,,,,0
41618,ε01454,εὐζηλία,n,n-s---fn1l,εὐζηλίας,,,,,0
41619,ε01455,εὔζηλος,a,aps---cn2-,εὔζηλος εὔζηλος εὔζηλον,,,,,0
41620,ε01456,εὐζήτητος,a,aps---cn2-,εὐζήτητος εὐζήτητος εὐζήτητον,,,,,0
41621,ε01457,εὔζυγος,a,aps---cn2-,εὔζυγος εὔζυγος εὔζυγον,,,,,0
41622,ε01458,εὔζυμος,a,aps---cn2-,εὔζυμος εὔζυμος εὔζυμον,,,,,0
41623,ε01459,εὔζυξ,n,----------,,,,,,0
41624,ε01460,εὐζωέω,v,----------,,,,,,0
41626,ε01462,εὔζωμον,n,n-s---nn2-,εὐζώμου,,,,,0
41627,ε01463,εὐζωνία,n,n-s---fn1l,εὐζωνίας,,,,,0
41628,ε01464,εὔζωνος,a,aps---cn2-,εὔζωνος εὔζωνος εὔζωνον,,,,,0
41629,ε01465,εὔζωος,a,aps---cn2-,εὔζωος εὔζωος εὔζωον,,,,,0
41630,ε01466,εὔζωρος,a,aps---cn2-,εὔζωρος εὔζωρος εὔζωρον,,,,,0
41632,ε01468,εὐηγενής,a,aps---cn5s,εὐηγενής εὐηγενής εὐηγενές,,,,,0
41633,ε01469,εὐηγεσία,n,n-s---fn1l,εὐηγεσίας,,,,,0
41634,ε01470,εὐηγής,a,aps---cn5s,εὐηγής εὐηγής εὐηγές,,,,,0
41635,ε01471,εὐηγορέω,v,----------,,,,,,0
41636,ε01472,εὐηγορία,n,n-s---fn1l,εὐηγορίας,,,,,0
41637,ε01473,εὐήγορος,a,aps---cn2-,εὐήγορος εὐήγορος εὐήγορον,,,,,0
41638,ε01474,εὐήδεια,n,n-s---fn1s,εὐήδειας,,,,,0
41639,ε01475,εὐήδονος,a,aps---cn2-,εὐήδονος εὐήδονος εὐήδονον,,,,,0
41641,ε01477,εὐήθεια,n,n-s---fn1s,εὐήθειας,,,,,0
41642,ε01478,εὐήθης,a,aps---cn3s,εὐήθης εὐήθης εὐή͂θες,,,,,0
41643,ε01479,εὐηθία,n,----------,,,,,,0
41644,ε01480,εὐηθίζομαι,v,----------,,,,,,0
41646,,Εὐήιος,n,----------,,,,,,0
41598,ε01433,εὐερία,n,n-s---fn1l,εὐερίας,,,,,0
41650,ε01485,εὐηκοί̈α,n,n-s---fn1l,εὐηκοί̈ας,,,,,0
41651,ε01486,εὐήκοος,a,----------,,,,,,0
41653,ε01488,εὐήλατος,a,aps---cn2-,εὐήλατος εὐήλατος εὐήλατον,,,,,0
41654,ε02124,εὐῆλιξ,n,n-s---mn3v,εὐήλικος,,,,,0
41655,ε01489,εὐήλιος,a,----------,,,,,,0
41656,ε01490,εὐημερέω,v,----------,,,,,,0
41658,ε01492,εὐημερία,n,n-s---fn1l,εὐημερίας,,,,,0
41659,ε01493,εὐήμερος,a,aps---cn2-,εὐήμερος εὐήμερος εὐήμερον,,,,,0
41660,ε01494,εὐήμετος,n,----------,,,,,,0
41661,ε01495,εὐημονία,n,n-s---fn1l,εὐημονίας,,,,,0
41662,ε01497,εὐηνεμία,n,n-s---fn1l,εὐηνεμίας,,,,,0
41663,ε01498,εὐήνεμος,a,aps---cn2-,εὐήνεμος εὐήνεμος εὐήνεμον,,,,,0
41664,ε01499,εὐήνιος,a,aps---cn2-,εὐήνιος εὐήνιος εὐήνιον,,,,,0
41665,ε01500,εὐηνορία,n,n-s---fn1l,εὐηνορίας,,,,,0
41667,ε01502,εὐήνωρ,n,----------,,,,,,0
41668,ε01503,εὐηπελής,a,aps---cn5s,εὐηπελής εὐηπελής εὐηπελές,,,,,0
41669,ε01504,εὐηπελία,n,n-s---fn1l,εὐηπελίας,,,,,0
41670,ε01505,εὐήρατος,a,aps---cn2-,εὐήρατος εὐήρατος εὐήρατον,,,,,0
41672,ε01507,εὐήρης,a,aps---cn3s,εὐήρης εὐήρης εὐή͂ρες,,,,,0
41673,ε01508,εὐήροτος,a,aps---cn2-,εὐήροτος εὐήροτος εὐήροτον,,,,,0
41674,ε01509,εὐήρυτος,a,aps---cn2-,εὐήρυτος εὐήρυτος εὐήρυτον,,,,,0
41675,ε01510,εὐήτριος,a,----------,,,,,,0
41676,ε01511,εὐήτριος,a,aps---cn2-,εὐήτριος εὐήτριος εὐήτριον,,,,,0
41677,ε01512,εὐηφενέω,v,----------,,,,,,0
41678,ε01513,εὐηφενής,a,aps---cn5s,εὐηφενής εὐηφενής εὐηφενές,,,,,0
41679,ε01514,εὐήχεια,n,n-s---fn1s,εὐήχειας,,,,,0
41680,ε01515,εὐηχέομαι,v,----------,,,,,,0
41682,ε01517,εὐήχητος,n,----------,,,,,,0
41683,ε01518,εὔηχος,a,aps---cn2-,εὔηχος εὔηχος εὔηχον,,,,,0
41684,ε01519,εὐθάλαμος,n,----------,,,,,,0
41685,ε01520,εὐθάλασσος,a,----------,,,,,,0
41686,ε01521,εὐθάλεια,n,n-s---fn1s,εὐθάλειας,,,,,0
41687,ε01522,εὐθαλέω,v,----------,,,,,,0
41688,ε01524,εὐθαλής,a,----------,,,,,,0
41689,ε01523,εὐθαλής,a,aps---cn5s,εὐθαλής εὐθαλής εὐθαλές,,,,,0
41691,ε01526,εὐθανασία,n,n-s---fn1l,εὐθανασίας,,,,,0
41692,ε01527,εὐθανατέω,v,----------,,,,,,0
41694,ε01530,εὐθάρσεια,n,n-s---fn1s,εὐθάρσειας,,,,,0
41695,ε01533,εὐθαρσία,n,----------,,,,,,0
41696,ε01531,εὐθαρσέω,v,----------,,,,,,0
41697,ε01532,εὐθαρσής,a,aps---cn5s,εὐθαρσής εὐθαρσής εὐθαρσές,,,,,0
41698,ε01535,εὐθέατος,a,aps---cn2-,εὐθέατος εὐθέατος εὐθέατον,,,,,0
41699,ε01536,εὐθέμιτος,a,aps---cn2-,εὐθέμιτος εὐθέμιτος εὐθέμιτον,,,,,0
41700,ε01537,εὐθένεια,n,n-s---fn1s,εὐθένειας,,,,,0
41649,ε01484,εὐηκοέω,v,----------,,,,,,0
41704,ε01541,εὐθενιαρχέω,v,----------,,,,,,0
41706,ε01543,εὐθεράπευτος,a,aps---cn2-,εὐθεράπευτος εὐθεράπευτος εὐθεράπευτον,,,,,0
41707,ε01544,εὐθέριστος,a,aps---cn2-,εὐθέριστος εὐθέριστος εὐθέριστον,,,,,0
41708,ε01545,εὐθέρμαντος,a,aps---cn2-,εὐθέρμαντος εὐθέρμαντος εὐθέρμαντον,,,,,0
41709,ε01546,εὔθερμος,a,aps---cn2-,εὔθερμος εὔθερμος εὔθερμον,,,,,0
41710,ε01547,εὔθερος,a,aps---cn2-,εὔθερος εὔθερος εὔθερον,,,,,0
41711,ε01548,εὐθεσία,n,n-s---fn1l,εὐθεσίας,,,,,0
41712,ε01549,εὐθέσμως,r,----------,,,,,,0
41713,ε01550,εὐθετέω,v,----------,,,,,,0
41714,ε01551,εὐθέτησις,n,n-s---fn3v,εὐθετησέως,,,,,0
41715,ε01552,εὐθετίζω,v,----------,,,,,,0
41716,ε01553,εὐθετισμός,n,----------,,,,,,0
41718,ε01555,εὐθεώρητος,a,aps---cn2-,εὐθεώρητος εὐθεώρητος εὐθεώρητον,,,,,0
41719,ε01556,εὐθέως,r,rp--------,εὐθέως,,,/eu̯.tʰé.ɔːs/,,0
41720,ε01557,εὐθηγής,a,aps---cn5s,εὐθηγής εὐθηγής εὐθηγές,,,,,0
41721,ε01558,εὔθηκτος,a,aps---cn2-,εὔθηκτος εὔθηκτος εὔθηκτον,,,,,0
41722,ε01559,εὐθηλέομαι,v,----------,,,,,,0
41723,ε01560,εὐθηλήμων,a,aps---cn3n,εὐθηλήμων εὐθηλήμων εὐθηλήμον,,,,,0
41724,ε01561,εὐθηλής,a,aps---cn5s,εὐθηλής εὐθηλής εὐθηλές,,,,,0
41725,ε01562,εὐθηλία,n,n-s---fn1l,εὐθηλίας,,,,,0
41728,ε01565,εὐθημονέομαι,v,----------,,,,,,0
41729,ε01566,εὐθημοσύνη,n,n-s---fn1e,εὐθημοσύνης,,,,,0
41730,ε01567,εὐθήμων,a,aps---cn3n,εὐθήμων εὐθήμων εὐθήμον,,,,,0
41731,ε01568,εὐθηνέω,v,----------,,,,,,0
41732,ε01569,εὐθήνησις,n,n-s---fn3v,εὐθηνησέως,,,,,0
41733,ε01570,εὐθηνία,n,n-s---fn1l,εὐθηνίας,,,,,0
41734,ε01571,εὐθηνιάρχης,n,----------,,,,,,0
41735,ε01572,εὐθηνιαρχία,n,n-s---fn1l,εὐθηνιαρχίας,,,,,0
41737,ε01574,εὐθηνός,a,aps---cn2-,εὐθηνός εὐθηνός εὐθηνόν,,,,,0
41738,ε01575,εὐθήξ,n,----------,,,,,,0
41739,ε01576,εὐθήρατος,a,aps---cn2-,εὐθήρατος εὐθήρατος εὐθήρατον,,,,,0
41740,ε01577,εὐθηρία,n,n-s---fn1l,εὐθηρίας,,,,,0
41741,ε01578,εὔθηρος,a,aps---cn2-,εὔθηρος εὔθηρος εὔθηρον,,,,,0
41742,ε01579,εὐθής,a,aps---cn5s,εὐθής εὐθής εὐθές,,,,,0
41743,ε01580,εὐθήσαυρος,a,aps---cn2-,εὐθήσαυρος εὐθήσαυρος εὐθήσαυρον,,,,,0
41744,ε01582,εὐθικός,a,aps---mn1-,εὐθικός εὐθική εὐθικόν,,,,,0
41745,ε01583,εὐθικτέω,v,----------,,,,,,0
41746,ε01584,εὔθικτος,a,aps---cn2-,εὔθικτος εὔθικτος εὔθικτον,,,,,0
41747,ε01585,εὐθιξία,n,n-s---fn1l,εὐθιξίας,,,,,0
41748,ε01587,εὔθλαστος,a,aps---cn2-,εὔθλαστος εὔθλαστος εὔθλαστον,,,,,0
41749,ε01588,εὐθλίζοντι,n,----------,,,,,,0
41893,ε01754,εὐκαιρία,n,n-s---fn1l,εὐκαιρίας,,,,,0
41702,ε01539,εὐθενία,n,n-s---fn1l,εὐθενίας,,,,,0
41752,ε01591,εὐθορύβητος,r,----------,,,,,,0
41753,ε01592,εὔθραυστος,a,aps---cn2-,εὔθραυστος εὔθραυστος εὔθραυστον,,,,,0
41754,ε01593,εὔθρεπτος,a,aps---cn2-,εὔθρεπτος εὔθρεπτος εὔθρεπτον,,,,,0
41756,ε01595,εὖθριξ,n,----------,,,,,,0
41757,ε01596,εὔθρονος,a,aps---cn2-,εὔθρονος εὔθρονος εὔθρονον,,,,,0
41758,ε01597,εὔθροος,a,aps---cn2-,εὔθροος εὔθροος εὔθροον,,,,,0
41759,ε01598,εὐθρυβής,a,aps---cn5s,εὐθρυβής εὐθρυβής εὐθρυβές,,,,,0
41761,ε01600,εὔθρυπτος,a,aps---cn2-,εὔθρυπτος εὔθρυπτος εὔθρυπτον,,,,,0
41762,ε01601,εὐθύ,r,----------,,,,,,0
41763,,Εὐθυαῖος,n,n-s---mn2-,Εὐθυαίου,,,,,0
41764,ε01602,εὐθυβολέω,v,----------,,,,,,0
41765,ε01603,εὐθυβολία,n,n-s---fn1l,εὐθυβολίας,,,,,0
41767,ε01605,εὐθυγένειος,a,aps---cn2-,εὐθυγένειος εὐθυγένειος εὐθυγένειον,,,,,0
41768,ε01606,εὐθυγενής,n,----------,,,,,,0
41769,ε01607,εὐθύγλωσσος,a,aps---cn2-,εὐθύγλωσσος εὐθύγλωσσος εὐθύγλωσσον,,,,,0
41770,ε01608,εὐθυγνωμίας,n,n-s---mn1a,εὐθυγνωμίου,,,,,0
41771,ε01609,εὐθύγνωμος,a,aps---cn2-,εὐθύγνωμος εὐθύγνωμος εὐθύγνωμον,,,,,0
41772,ε01610,εὐθυγραμματίζω,v,----------,,,,,,0
41774,ε01612,εὐθύγραμμος,a,aps---cn2-,εὐθύγραμμος εὐθύγραμμος εὐθύγραμμον,,,,,0
41775,ε01613,εὐθυδήμονα,n,----------,,,,,,0
41776,ε01614,εὐθυδίκαι,n,----------,,,,,,0
41777,ε01615,εὐθυδικία,n,n-s---fn1l,εὐθυδικίας,,,,,0
41779,ε01617,εὐθυδρομέω,v,----------,,,,,,0
41780,ε01618,εὐθυδρόμος,a,aps---cn2-,εὐθυδρόμος εὐθυδρόμος εὐθυδρόμον,,,,,0
41781,ε01619,εὐθυέντερος,a,aps---cn2-,εὐθυέντερος εὐθυέντερος εὐθυέντερον,,,,,0
41782,ε01620,εὐθυέπεια,n,n-s---fn1s,εὐθυέπειας,,,,,0
41783,ε01621,εὐθυεπής,a,aps---cn5s,εὐθυεπής εὐθυεπής εὐθυεπές,,,,,0
41784,ε01622,εὐθυεργής,a,aps---cn5s,εὐθυεργής εὐθυεργής εὐθυεργές,,,,,0
41785,ε01623,εὐθύζωμον,n,n-s---nn2-,εὐθυζώμου,,,,,0
41787,ε01625,εὔθυθριξ,n,----------,,,,,,0
41788,ε01627,εὐθυκταίνα,n,----------,,,,,,0
41789,ε01626,εὐθύκαυλος,a,aps---cn2-,εὐθύκαυλος εὐθύκαυλος εὐθύκαυλον,,,,,0
41790,ε01628,εὐθύληπτος,a,aps---cn2-,εὐθύληπτος εὐθύληπτος εὐθύληπτον,,,,,0
41791,ε01629,εὐθυλογία,n,n-s---fn1l,εὐθυλογίας,,,,,0
41792,ε01630,εὐθυλόγος,a,aps---cn2-,εὐθυλόγος εὐθυλόγος εὐθυλόγον,,,,,0
41793,ε01631,εὐθυμαχέω,v,----------,,,,,,0
41794,ε01632,εὐθυμάχης,n,n-s---mn1e,εὐθυμάχου,,,,,0
41795,ε01633,εὐθυμαχία,n,n-s---fn1l,εὐθυμαχίας,,,,,0
41796,ε01634,εὐθύμαχος,a,aps---cn2-,εὐθύμαχος εὐθύμαχος εὐθύμαχον,,,,,0
42178,ε02217,εὐμελιτέω,v,----------,,,,,,0
41751,ε01590,εὔθοινος,a,aps---cn2-,εὔθοινος εὔθοινος εὔθοινον,,,,,0
41799,ε01637,εὐθυμετρικός,a,aps---mn1-,εὐθυμετρικός εὐθυμετρική εὐθυμετρικόν,,,,,0
41800,ε01638,εὐθυμέω,v,----------,,,,,,0
41801,ε01639,εὐθυμητέον,a,----------,,,,,,0
41802,ε01640,εὐθυμία,n,n-s---fn1l,εὐθυμίας,,,/eu̯.tʰyː.mí.aː/,,0
41803,ε01641,εὔθυμος,a,aps---cn2-,εὔθυμος εὔθυμος εὔθυμον,,,,,0
41804,ε01642,εὔθυνα,n,n-s---fn1s,εὔθυνας,,,,,0
41805,ε01643,εὐθυνία,n,----------,,,,,,0
41807,ε01645,εὔθυνος,n,n-s---mn2-,εὐθύνου,,,,,0
41808,ε01646,εὔθυνσις,n,n-s---fn3v,εὐθυνσέως,,,,,0
41809,ε01647,εὐθυντέον,a,----------,,,,,,0
41810,ε01648,εὐθυντήρ,n,n-s---mn3r,εὐθυντῆρος,,,,,0
41811,ε01649,εὐθυντηριαῖος,a,aps---mn1-,εὐθυντηριαῖος εὐθυντηριαῖα εὐθυντηριαῖον,,,,,0
41813,ε01651,εὐθυντής,n,n-s---mn1e,εὐθυντού,,,,,0
41814,ε01652,εὐθυντικός,a,aps---mn1-,εὐθυντικός εὐθυντική εὐθυντικόν,,,,,0
41815,ε01653,εὐθυντός,a,aps---mn1-,εὐθυντός εὐθυντή εὐθυντόν,,,,,0
41816,ε01655,εὐθύνω,v,----------,,,,/eu̯.tʰy̌ː.nɔː/,,0
41817,ε01656,εὐθυονειρία,n,n-s---fn1l,εὐθυονειρίας,,,,,0
41818,ε01657,εὐθυόνειρος,a,aps---cn2-,εὐθυόνειρος εὐθυόνειρος εὐθυόνειρον,,,,,0
41819,ε01658,εὐθυορϝία,n,----------,,,,,,0
41820,ε01659,εὐθυπλοέω,v,----------,,,,,,0
41821,ε01660,εὐθύπλοια,n,n-s---fn1s,εὐθύπλοιας,,,,,0
41824,ε01663,εὐθύπνοος,a,aps---cn2-,εὐθύπνοος εὐθύπνοος εὐθύπνοον,,εὐθύπνους εὐθύπνους εὐθύπνουν,,,0
41825,ε01664,εὐθυπομπός,a,aps---cn2-,εὐθυπομπός εὐθυπομπός εὐθυπομπόν,,,,,0
41826,ε01665,εὐθυπορέω,v,----------,,,,,,0
41827,ε01666,εὐθυπορία,n,n-s---fn1l,εὐθυπορίας,,,,,0
41828,ε01667,εὐθυπορικός,a,aps---mn1-,εὐθυπορικός εὐθυπορική εὐθυπορικόν,,,,,0
41829,ε01668,εὐθύπορος,a,aps---cn2-,εὐθύπορος εὐθύπορος εὐθύπορον,,,,,0
